Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Energiesystem,Spannungswandlungssystem,48V-Boostsystem,6fe3d464-6022-4912-a0cd-f441a7da56ff,Leistungswandler
Energiesystem,Spannungswandlungssystem,48V-Boostsystem,88b3b443-6efe-4f33-964c-9c3adefd6490,Spannungsregler
Energiesystem,Spannungswandlungssystem,48V-Boostsystem,0caee253-8ded-40b9-9981-433b966a7f24,DC-DC-Wandler
Energiesystem,Spannungswandlungssystem,48V-Boostsystem,52131d5e-33a7-4360-86c4-7a014100cbbd,48V-Batterie
Energiesystem,Spannungswandlungssystem,48V-Boostsystem,cb9e83fc-c743-45f3-b5ae-42108259e4fc,Leistungselektronikmodul
Energiesystem,Spannungswandlungssystem,48V-Boostsystem,83125698-63d7-49f8-8f4b-2e478125de2d,Kühlkörper
Energiesystem,Spannungswandlungssystem,48V-Boostsystem,932c7287-4d1c-4482-a85c-046e7eb96005,Temperatursensor
Energiesystem,Spannungswandlungssystem,48V-Boostsystem,589c425a-952a-4242-b039-fd2882bb65b2,Stromsensor
Energiesystem,Spannungswandlungssystem,48V-Boostsystem,edf041e7-2ff2-4a37-b496-34228d48acf5,Spannungssensor
Energiesystem,Spannungswandlungssystem,48V-Boostsystem,645b94a6-3924-4f7a-9a64-f06810a950d3,Leistungsrelais
Energiesystem,Spannungswandlungssystem,48V-Boostsystem,9cfc0389-fd51-45cf-bc75-b1b3d7d6eaff,Schutzdiode
Energiesystem,Spannungswandlungssystem,48V-Boostsystem,9a3ff45b-fff7-4f21-ad7d-6fdcd47cb132,Induktivität
Energiesystem,Spannungswandlungssystem,48V-Boostsystem,8d36caf9-9bf2-4024-b2c3-aab0cc6764f2,Kapazität
Energiesystem,Spannungswandlungssystem,48V-Boostsystem,9367fd84-bae5-4338-a8d9-0c4c70136e05,Schalttransistor
Energiesystem,Spannungswandlungssystem,48V-Boostsystem,e4d741aa-372a-470c-9f8d-2a2f54018241,Leistungsstecker
Energiesystem,Spannungswandlungssystem,48V-Boostsystem,119709d2-e381-422b-9501-e1d252ef0ac8,Kabelbaum
Energiesystem,Spannungswandlungssystem,48V-Boostsystem,3f588c43-ad8d-4e47-817e-31cce297432c,Isolationsmaterial
Energiesystem,Spannungswandlungssystem,48V-Boostsystem,115455e1-09be-4a0d-8c14-cdef72a47b2e,EMV-Filter
