Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Fahrsystem,Drehmomentverteilungssystem,Achsschlupfregelsystem,9f8904c2-8fb0-4acd-b1aa-d3db1fd560d8,Sensor für Raddrehzahl
Fahrsystem,Drehmomentverteilungssystem,Achsschlupfregelsystem,14f3f2c3-fd67-463b-bf2f-f8127df8d59e,Drehmomentsensor
Fahrsystem,Drehmomentverteilungssystem,Achsschlupfregelsystem,07ac9955-d9af-4655-89c7-9760176c6cf2,Lenkwinkelsensor
Fahrsystem,Drehmomentverteilungssystem,Achsschlupfregelsystem,879af687-63fe-463c-b469-260e56e81e59,Bremsdrucksensor
Fahrsystem,Drehmomentverteilungssystem,Achsschlupfregelsystem,094dd7bf-10c2-4d8b-a7c0-151b53975143,Gierwinkelsensor
Fahrsystem,Drehmomentverteilungssystem,Achsschlupfregelsystem,b45cc791-5f8a-42e0-86b7-1750d95c0560,Beschleunigungssensor
Fahrsystem,Drehmomentverteilungssystem,Achsschlupfregelsystem,0d039c59-b5a3-4e8a-ba95-544f297c9971,Temperatursensor
Fahrsystem,Drehmomentverteilungssystem,Achsschlupfregelsystem,d1be9ddf-4a2b-4ad5-8599-3e6659e5c686,Steuergerät für Achsschlupfregelung
Fahrsystem,Drehmomentverteilungssystem,Achsschlupfregelsystem,4b546c64-8123-492b-8c3e-5e5195854eb5,Hydraulikventil
Fahrsystem,Drehmomentverteilungssystem,Achsschlupfregelsystem,942d68d0-d123-4fa5-b2cc-5667b1a22c49,Hydraulikpumpe
Fahrsystem,Drehmomentverteilungssystem,Achsschlupfregelsystem,727a9242-0095-4db2-bd71-5a81434c1485,Elektronisches Steuergerät
Fahrsystem,Drehmomentverteilungssystem,Achsschlupfregelsystem,e03cd191-aa47-462b-a216-10fbff407d26,Kommunikationsmodul
Fahrsystem,Drehmomentverteilungssystem,Achsschlupfregelsystem,421d6359-8de9-4915-b958-b1875d20166a,Diagnoseanschluss
Fahrsystem,Drehmomentverteilungssystem,Achsschlupfregelsystem,3c1429ee-520f-46b0-aa13-fec5924ef31e,Spannungswandler
Fahrsystem,Drehmomentverteilungssystem,Achsschlupfregelsystem,a895cdd2-9ed1-48d4-a896-a86b94597f5a,Relais
Fahrsystem,Drehmomentverteilungssystem,Achsschlupfregelsystem,4781ab1b-1796-44ed-8236-41e184700860,Leistungsschalter
Fahrsystem,Drehmomentverteilungssystem,Achsschlupfregelsystem,aea2c44a-0cab-4c53-9c56-0d11ddd7a2ca,Kabelbaum
Fahrsystem,Drehmomentverteilungssystem,Achsschlupfregelsystem,81317cc2-a7f6-4071-be3b-1f0719b2d85b,Steckverbinder
Fahrsystem,Drehmomentverteilungssystem,Achsschlupfregelsystem,2d8ffd86-f5b5-4d49-a1e0-b0d47e56248b,Signalverstärker
Fahrsystem,Drehmomentverteilungssystem,Achsschlupfregelsystem,403dd9c3-8cce-4713-b92d-a4aae6ca6d4d,Stromversorgungseinheit
Fahrsystem,Drehmomentverteilungssystem,Achsschlupfregelsystem,a24a52fe-d674-47f5-b053-bb50c66831ad,Schutzgehäuse
Fahrsystem,Drehmomentverteilungssystem,Achsschlupfregelsystem,19b308d0-9694-415c-93f6-141ab675aa32,Montagehalterung
Fahrsystem,Drehmomentverteilungssystem,Achsschlupfregelsystem,92acf9fa-ec0e-4e03-b740-2692e619b84c,Schrauben und Befestigungselemente
Fahrsystem,Drehmomentverteilungssystem,Achsschlupfregelsystem,28ab3a83-7e1f-4c68-9e6b-1895985737b2,Steuerleitung
