Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Bodysystem,Beleuchtungssystem,AdaptivesFernlichtsystem,622a6937-23db-4299-a842-8ba0ecb8e594,LED-Modul
Bodysystem,Beleuchtungssystem,AdaptivesFernlichtsystem,a06fe421-4f3e-433e-87d7-589982da4501,Reflektor
Bodysystem,Beleuchtungssystem,AdaptivesFernlichtsystem,9d8baf6d-fce3-448a-8fa9-8877d1fb6c50,Projektionslinse
Bodysystem,Beleuchtungssystem,AdaptivesFernlichtsystem,0cb8834c-cd1d-43a4-8192-42a07146fbe7,Steuergerät
Bodysystem,Beleuchtungssystem,AdaptivesFernlichtsystem,6510d20c-fb8d-4b8e-aabd-2a1099391bad,Temperatursensor
Bodysystem,Beleuchtungssystem,AdaptivesFernlichtsystem,9f4e8d49-8d6c-4097-939e-520371d32369,Lichtsensor
Bodysystem,Beleuchtungssystem,AdaptivesFernlichtsystem,def8fa89-fad0-406c-9fae-3a130fd3f060,Spannungswandler
Bodysystem,Beleuchtungssystem,AdaptivesFernlichtsystem,c23ae07f-f128-4b87-902e-55c78068d1b4,Kühlkörper
Bodysystem,Beleuchtungssystem,AdaptivesFernlichtsystem,60ffe37b-e57d-470c-8ac7-ef422b7d1715,Gehäuse
Bodysystem,Beleuchtungssystem,AdaptivesFernlichtsystem,444a9f09-a2d5-43cd-b2a5-c0d3255d7a7d,Verbindungskabel
Bodysystem,Beleuchtungssystem,AdaptivesFernlichtsystem,50edb029-0c09-402e-a395-60f227d7b5a9,Steckverbinder
Bodysystem,Beleuchtungssystem,AdaptivesFernlichtsystem,e66d3dbb-9c16-4df6-bb43-a17b33b8a879,Montagehalterung
Bodysystem,Beleuchtungssystem,AdaptivesFernlichtsystem,a9a03a3e-1393-44f8-8f7d-e8fd702044fe,Schrauben
Bodysystem,Beleuchtungssystem,AdaptivesFernlichtsystem,a3dc0b41-4622-4348-8b6a-487c37f00eb3,Optische Filter
Bodysystem,Beleuchtungssystem,AdaptivesFernlichtsystem,dbf0383c-26bb-455c-a209-d48bed21ce59,Stromversorgungseinheit
Bodysystem,Beleuchtungssystem,AdaptivesFernlichtsystem,5fce9dcf-46cf-4d3c-bc36-a94b241226f3,Schutzabdeckung
Bodysystem,Beleuchtungssystem,AdaptivesFernlichtsystem,48fcd5bc-6757-44b8-80f6-6a97d2a17f81,Diagnoseanschluss
Bodysystem,Beleuchtungssystem,AdaptivesFernlichtsystem,c4743aa6-80fc-4177-9574-15eed8c0e9a6,Schwingungsdämpfer
Bodysystem,Beleuchtungssystem,AdaptivesFernlichtsystem,7eb28a9d-4710-4788-a82f-9c4c8676e618,Isolationsmaterial
Bodysystem,Beleuchtungssystem,AdaptivesFernlichtsystem,4aeb1dcb-7394-465e-9fdf-169fdc9fa8f2,Feuchtigkeitssensor
Bodysystem,Beleuchtungssystem,AdaptivesFernlichtsystem,72fed196-6da3-4264-a317-4dfa8dcd2f2a,Glasabdeckung
Bodysystem,Beleuchtungssystem,AdaptivesFernlichtsystem,8f40609f-92ed-4a6d-8cea-38aa838a9d06,Schutzfolie
Bodysystem,Beleuchtungssystem,AdaptivesFernlichtsystem,d67804e3-146c-4c96-954c-1f2f78d59fc7,EMV-Abschirmung
Bodysystem,Beleuchtungssystem,AdaptivesFernlichtsystem,3e0d2417-6be1-4e95-b0ac-450c859fa9da,PCB-Platine
Bodysystem,Beleuchtungssystem,AdaptivesFernlichtsystem,730c36b0-634f-4f13-82c8-6f62ff598c47,Leiterbahnen
Bodysystem,Beleuchtungssystem,AdaptivesFernlichtsystem,bad4dc6c-4333-4f23-9ca6-a5d87605cde7,Relais
Bodysystem,Beleuchtungssystem,AdaptivesFernlichtsystem,8a4e492b-7208-40d8-bf63-84fc587d99c5,Schaltkreis
Bodysystem,Beleuchtungssystem,AdaptivesFernlichtsystem,ea4552e1-85ae-42da-baea-b14c881e79d5,Motor für Lichtausrichtung
Bodysystem,Beleuchtungssystem,AdaptivesFernlichtsystem,3d7fade3-f967-41af-b7a8-bb288ea7b2c1,Positionssensor
Bodysystem,Beleuchtungssystem,AdaptivesFernlichtsystem,d43d2d11-f372-4b49-8cf5-a60f198b47c5,Montageplatte
Bodysystem,Beleuchtungssystem,AdaptivesFernlichtsystem,2e6fe847-3245-4c10-965c-e0cc87b37e2d,Lichtsteuerungssoftware
Bodysystem,Beleuchtungssystem,AdaptivesFernlichtsystem,57c806d3-b217-4b65-a803-ed522b94ce0e,AdaptivesLichtregelungsalgorithmus
Bodysystem,Beleuchtungssystem,AdaptivesFernlichtsystem,c930427e-1a48-4ae3-b210-976e8345ab4e,Fehlerdiagnosesoftware
Bodysystem,Beleuchtungssystem,AdaptivesFernlichtsystem,9a7d6c18-b1f8-48af-9eb8-54174890a1ea,Sensorintegrationssoftware
Bodysystem,Beleuchtungssystem,AdaptivesFernlichtsystem,8c58fcb0-5847-4e27-a791-bfe2042c70ac,Kommunikationsprotokollsoftware
Bodysystem,Beleuchtungssystem,AdaptivesFernlichtsystem,894f3b6d-8e8d-4c43-8a05-ccd7fe9580b1,Update-Management-Software
Bodysystem,Beleuchtungssystem,AdaptivesFernlichtsystem,0c4aa88b-d530-4f8b-8954-6431230c9733,Kalibrierungssoftware
Bodysystem,Beleuchtungssystem,AdaptivesFernlichtsystem,e7973014-df4a-4467-921b-2c141447447f,Leistungsoptimierungssoftware
Bodysystem,Beleuchtungssystem,AdaptivesFernlichtsystem,30eb6d9d-569c-4ba5-a46c-a9c8ee470d2f,Temperaturüberwachungssoftware
Bodysystem,Beleuchtungssystem,AdaptivesFernlichtsystem,ecea2daf-d052-4d2c-932c-0ac37a3c5641,Feuchtigkeitsüberwachungssoftware
Bodysystem,Beleuchtungssystem,AdaptivesFernlichtsystem,238475c6-7637-4c88-ba96-15abe1d15b50,EMV-Filtersoftware
Bodysystem,Beleuchtungssystem,AdaptivesFernlichtsystem,38b3ffdc-f6d8-49d6-a6d7-6c12ac540354,Positionsregelungssoftware
Bodysystem,Beleuchtungssystem,AdaptivesFernlichtsystem,b91efe49-524a-4260-80da-380bfc34fb5b,Motorsteuerungssoftware
Bodysystem,Beleuchtungssystem,AdaptivesFernlichtsystem,ba1163f8-be66-41c6-aec4-e8caf5dacf2a,Spannungsregelungssoftware
Bodysystem,Beleuchtungssystem,AdaptivesFernlichtsystem,9202b456-fc4e-4a98-a141-23f387c873af,Optiksteuerungssoftware
Bodysystem,Beleuchtungssystem,AdaptivesFernlichtsystem,d818a805-8642-4fd1-987c-785593fee515,Diagnosesoftware
Bodysystem,Beleuchtungssystem,AdaptivesFernlichtsystem,4d46a388-8314-41b8-aa14-58b86ed26506,Fehlerprotokollierungssoftware
Bodysystem,Beleuchtungssystem,AdaptivesFernlichtsystem,28d57d00-a01a-4c1b-b645-97b597a7a8f9,Testsoftware
Bodysystem,Beleuchtungssystem,AdaptivesFernlichtsystem,45cbfeb7-bd26-4e63-a86d-24e66c7a4ba9,Simulationstools
Bodysystem,Beleuchtungssystem,AdaptivesFernlichtsystem,ccd13e90-2e6c-40b1-887b-f413676deefc,Schutzsoftware
Bodysystem,Beleuchtungssystem,AdaptivesFernlichtsystem,0fbbfbda-a837-42bb-821c-d49c9ae06da5,Netzwerkmanagementsoftware
Bodysystem,Beleuchtungssystem,AdaptivesFernlichtsystem,9a158c51-4196-4928-8680-7dea04fcea08,Protokollsoftware
Bodysystem,Beleuchtungssystem,AdaptivesFernlichtsystem,e0f786a7-d058-4dad-9bc9-9c2c129077f8,Signalverarbeitungssoftware
Bodysystem,Beleuchtungssystem,AdaptivesFernlichtsystem,7a7f0f5a-4d47-4d17-9737-16d34a447b92,Hardware-Abstraktionssoftware
Bodysystem,Beleuchtungssystem,AdaptivesFernlichtsystem,7fb71d9b-0ae0-41c1-98da-1820a7c8b141,Cloud-Integrationssoftware
Bodysystem,Beleuchtungssystem,AdaptivesFernlichtsystem,66a6d053-1610-4fde-b286-34114b422b3a,OTA-Update-Software
Bodysystem,Beleuchtungssystem,AdaptivesFernlichtsystem,f90b8465-fd13-4cc6-90e0-dc1abb43f880,Sensorfusion-Software
Bodysystem,Beleuchtungssystem,AdaptivesFernlichtsystem,54904131-6311-4c69-9d84-2aed70d3cf5c,Fehlerkorrektursoftware
Bodysystem,Beleuchtungssystem,AdaptivesFernlichtsystem,ce737691-c932-484c-adee-4ba144766fa7,Backup-Software
Bodysystem,Beleuchtungssystem,AdaptivesFernlichtsystem,13791d1e-fd63-47f6-a658-1b27e1331ebb,Rollback-Software
