Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Fahrsystem,Drehmomentverteilungssystem,Allradkoordinationssystem,c38d01f6-11d7-4a6d-95fb-f7e829ebc7ed,Sensor für Radgeschwindigkeit
Fahrsystem,Drehmomentverteilungssystem,Allradkoordinationssystem,3090b66b-d7b1-4d67-9042-b0614b996966,Drehmomentsensor
Fahrsystem,Drehmomentverteilungssystem,Allradkoordinationssystem,cbd79a3d-f88e-4456-b25c-6aa3ae4b1e10,Lenkwinkelsensor
Fahrsystem,Drehmomentverteilungssystem,Allradkoordinationssystem,14c71b2e-0399-4788-a3b0-8caee9f6af8a,Neigungssensor
Fahrsystem,Drehmomentverteilungssystem,Allradkoordinationssystem,565392c9-eb59-4f94-a862-cd91dc37a619,Gierwinkelsensor
Fahrsystem,Drehmomentverteilungssystem,Allradkoordinationssystem,177c2601-262e-40cb-ad4d-66e4a8926a6e,Beschleunigungssensor
Fahrsystem,Drehmomentverteilungssystem,Allradkoordinationssystem,c25fc942-5636-4abf-8779-c84c775e1432,Steuergerät für Allradantrieb
Fahrsystem,Drehmomentverteilungssystem,Allradkoordinationssystem,7d89c537-f991-4db4-b893-0a813bd444a5,Hydraulikpumpe
Fahrsystem,Drehmomentverteilungssystem,Allradkoordinationssystem,8e4a10eb-a154-4bb7-8684-da3118d87229,Hydraulikventil
Fahrsystem,Drehmomentverteilungssystem,Allradkoordinationssystem,b54e6611-0430-449e-aca8-2e740d63ebf1,Elektronisches Steuergerät
Fahrsystem,Drehmomentverteilungssystem,Allradkoordinationssystem,61b96557-3a80-4da0-a8bf-1b6f6a4368dc,Relaismodul
Fahrsystem,Drehmomentverteilungssystem,Allradkoordinationssystem,550e044a-bd0f-4241-8266-efeff15061ad,Kabelbaum
Fahrsystem,Drehmomentverteilungssystem,Allradkoordinationssystem,071f4ccb-6e73-4d24-aff6-35fb4998621a,Steckverbinder
Fahrsystem,Drehmomentverteilungssystem,Allradkoordinationssystem,c69fb8c3-b608-429d-946b-8bd06d90cbc8,Diagnosestecker
Fahrsystem,Drehmomentverteilungssystem,Allradkoordinationssystem,551c8bcd-14e6-46b8-b787-55bf32724a0d,Temperatursensor
Fahrsystem,Drehmomentverteilungssystem,Allradkoordinationssystem,802783fb-63d7-4d04-9e54-d41a8d3422cf,Spannungssensor
Fahrsystem,Drehmomentverteilungssystem,Allradkoordinationssystem,0c66c8b4-8612-4097-abf4-33c755712bde,Stromsensor
Fahrsystem,Drehmomentverteilungssystem,Allradkoordinationssystem,2e1f63ab-71a8-4631-8578-6c42e9af31ca,Motorsteuergerät
Fahrsystem,Drehmomentverteilungssystem,Allradkoordinationssystem,7f409c16-db15-4560-94d4-07a895d35840,Getriebesteuergerät
Fahrsystem,Drehmomentverteilungssystem,Allradkoordinationssystem,a6df21da-3d2f-4740-8642-b6fe75f09cdb,Antriebswellen
Fahrsystem,Drehmomentverteilungssystem,Allradkoordinationssystem,51873ede-2705-4003-83de-c82b16dd13af,Achsdifferential
Fahrsystem,Drehmomentverteilungssystem,Allradkoordinationssystem,fc71c007-168d-4dbd-8289-ae32c495961a,Viscokupplung
Fahrsystem,Drehmomentverteilungssystem,Allradkoordinationssystem,0b2b2228-b6c3-48c3-8954-963e211c82d6,Elektromotor für Achsantrieb
Fahrsystem,Drehmomentverteilungssystem,Allradkoordinationssystem,6b0a7e07-d7aa-4c76-b2f1-4442459a3e02,Magnetventil
Fahrsystem,Drehmomentverteilungssystem,Allradkoordinationssystem,0e05a25b-6ad5-416d-b56a-99ca7cd6acb3,Schaltaktuator
Fahrsystem,Drehmomentverteilungssystem,Allradkoordinationssystem,e407407e-9ec3-407c-9945-ec565730f2ee,Reibkupplung
Fahrsystem,Drehmomentverteilungssystem,Allradkoordinationssystem,51fc1157-de4e-4b30-8aaa-3f29084d3cd0,Schwingungsdämpfer
Fahrsystem,Drehmomentverteilungssystem,Allradkoordinationssystem,4f4d5a9f-dd6f-40d5-8579-cc7229d3f822,Mechanische Lager
Fahrsystem,Drehmomentverteilungssystem,Allradkoordinationssystem,8e601028-f09f-4eba-93c7-00ee47dfba4e,Schrauben und Halterungen
Fahrsystem,Drehmomentverteilungssystem,Allradkoordinationssystem,a0aceb9a-c7cb-492f-8233-fda01e926bf0,Montageplatte
Fahrsystem,Drehmomentverteilungssystem,Allradkoordinationssystem,ba44a225-bb6f-44a2-b63e-a4ae0fca3d41,Allradsteuerungssoftware
Fahrsystem,Drehmomentverteilungssystem,Allradkoordinationssystem,b17cb2dd-b165-4f0e-8303-7f3d5695920e,Drehmomentverteilungsalgorithmus
Fahrsystem,Drehmomentverteilungssystem,Allradkoordinationssystem,4ec6ff47-ea50-431f-950a-7b1ef5b9f56f,Schlupfregelungssoftware
Fahrsystem,Drehmomentverteilungssystem,Allradkoordinationssystem,1d8e018d-0639-49d5-a0fb-a9b62894f0b7,Gierwinkelregelungssoftware
Fahrsystem,Drehmomentverteilungssystem,Allradkoordinationssystem,a865dffb-b9b8-4bfe-a449-4b5063ff4336,Lenkwinkelregelungssoftware
Fahrsystem,Drehmomentverteilungssystem,Allradkoordinationssystem,be77a2ac-47ab-4c64-a507-59ec03f63084,Neigungsregelungssoftware
Fahrsystem,Drehmomentverteilungssystem,Allradkoordinationssystem,eb8478f2-a600-4154-ace5-ce97b839b31c,Diagnosesoftware
Fahrsystem,Drehmomentverteilungssystem,Allradkoordinationssystem,d94fffbf-9748-4e95-a196-88bed0b0dc2f,Sensorfusion-Algorithmus
Fahrsystem,Drehmomentverteilungssystem,Allradkoordinationssystem,99f213ea-d46e-4d61-a738-584c39bc3b2d,Kommunikationsprotokollsoftware
Fahrsystem,Drehmomentverteilungssystem,Allradkoordinationssystem,4a0a10f0-6550-4d10-9fef-477c5c0f96d0,Fehlererkennungssystem
Fahrsystem,Drehmomentverteilungssystem,Allradkoordinationssystem,a5695728-7150-4131-b2aa-afaec66627b8,Software für Hydrauliksteuerung
Fahrsystem,Drehmomentverteilungssystem,Allradkoordinationssystem,ea23e6c5-85e8-41a6-af4e-4daf1ebc1508,Software für Motorsteuerung
Fahrsystem,Drehmomentverteilungssystem,Allradkoordinationssystem,c60bf500-77b7-4466-a153-02f6b4d14cb4,Software für Getriebesteuerung
Fahrsystem,Drehmomentverteilungssystem,Allradkoordinationssystem,0b4bc626-1e73-40d0-870b-2d8d62b657d3,Software für Achsdifferentialsteuerung
Fahrsystem,Drehmomentverteilungssystem,Allradkoordinationssystem,08b200d7-0972-4484-aba5-cc8f384d0b2b,Software für Kupplungssteuerung
Fahrsystem,Drehmomentverteilungssystem,Allradkoordinationssystem,4447f3e8-d40c-474b-aa71-f80c7c1231bf,Software für Magnetventilsteuerung
Fahrsystem,Drehmomentverteilungssystem,Allradkoordinationssystem,07117cab-527f-4c62-8871-29c97883890f,Software für Aktuatorsteuerung
Fahrsystem,Drehmomentverteilungssystem,Allradkoordinationssystem,da4b16d9-019f-4e87-aa21-0eac1d4a15e6,Software für Reibungsoptimierung
Fahrsystem,Drehmomentverteilungssystem,Allradkoordinationssystem,501ae355-2e93-498c-a4d8-ecba36647f0d,Software für Schwingungsdämpfung
Fahrsystem,Drehmomentverteilungssystem,Allradkoordinationssystem,15f8621a-7590-4d8a-9eb3-23c278e329c3,Software für Energieeffizienz
Fahrsystem,Drehmomentverteilungssystem,Allradkoordinationssystem,fef727c7-359c-4420-bdd4-1271011dcb54,Software für Echtzeitsteuerung
Fahrsystem,Drehmomentverteilungssystem,Allradkoordinationssystem,dc1163eb-ba0f-4e3d-8c92-d94dc905cff9,Software für Datenlogging
Fahrsystem,Drehmomentverteilungssystem,Allradkoordinationssystem,c076949f-29e6-4943-86ab-4c59c3c0093b,Software für Fahrzeugkommunikation
Fahrsystem,Drehmomentverteilungssystem,Allradkoordinationssystem,db4952cb-79ee-49ad-99c4-efda12fce7c7,Software für Sicherheitsabschaltung
Fahrsystem,Drehmomentverteilungssystem,Allradkoordinationssystem,67ea1129-e425-474a-ad76-7fed3ded76c5,Software für Temperaturmanagement
Fahrsystem,Drehmomentverteilungssystem,Allradkoordinationssystem,fbbd5647-c865-4d6e-904f-9600fa00a435,Software für Spannungsüberwachung
Fahrsystem,Drehmomentverteilungssystem,Allradkoordinationssystem,b2879ead-fd4a-4fa0-8748-f4a6168c6467,Software für Stromüberwachung
Fahrsystem,Drehmomentverteilungssystem,Allradkoordinationssystem,12a9ea2f-c91d-46dd-abb6-3736a0ef6ad3,Software für Sensorinitialisierung
Fahrsystem,Drehmomentverteilungssystem,Allradkoordinationssystem,dee78473-5030-466b-a0f4-84e9c22a764c,Software für Systemkalibrierung
Fahrsystem,Drehmomentverteilungssystem,Allradkoordinationssystem,6bab05c1-a58d-49dd-b917-7752ef1c17ee,Software für Benutzerinteraktion
