Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Bodysystem,Komfortsystem,Ambientebeleuchtungssystem,3ccc5599-4881-4d9d-88d9-217b0d7f536c,LED-Modul
Bodysystem,Komfortsystem,Ambientebeleuchtungssystem,8474e5ec-b6bc-46c1-934f-616164f12516,LED-Treiber
Bodysystem,Komfortsystem,Ambientebeleuchtungssystem,cb9759d1-abc8-4193-a1d8-ce50d4cb43e5,Farbsensor
Bodysystem,Komfortsystem,Ambientebeleuchtungssystem,2415450a-ab71-4174-ac2e-e2daaa571b01,Temperatursensor
Bodysystem,Komfortsystem,Ambientebeleuchtungssystem,0c272b2c-fe1c-49b8-a699-6175c86be428,Spannungsregler
Bodysystem,Komfortsystem,Ambientebeleuchtungssystem,dba16ad4-8a53-42cc-9d90-43c3968c31b0,Kabelbaum
Bodysystem,Komfortsystem,Ambientebeleuchtungssystem,d8fda116-e4ad-4ec5-9c57-9f9615e5c0e9,Steckverbinder
Bodysystem,Komfortsystem,Ambientebeleuchtungssystem,7b67e4c5-526b-478f-a55c-c80d33519ddb,Optische Linse
Bodysystem,Komfortsystem,Ambientebeleuchtungssystem,971a1848-4d7b-4133-8c85-8d09181da77f,Diffusor
Bodysystem,Komfortsystem,Ambientebeleuchtungssystem,b2ebfe6e-9667-41c1-ac36-c8ba336c35c3,Montagehalterung
Bodysystem,Komfortsystem,Ambientebeleuchtungssystem,820b180a-e4df-4139-aeaa-e4c12a1a0863,Schrauben
Bodysystem,Komfortsystem,Ambientebeleuchtungssystem,cc6f27c7-aac5-4aee-a2f3-78f08b15e7dd,Isoliermaterial
Bodysystem,Komfortsystem,Ambientebeleuchtungssystem,a559baef-603d-49dd-9e44-f65806f643d7,PCB-Platine
Bodysystem,Komfortsystem,Ambientebeleuchtungssystem,8678b661-a9ff-4473-89e1-426a5f42eaab,Microcontroller
Bodysystem,Komfortsystem,Ambientebeleuchtungssystem,3216f16f-1b73-4630-838d-608604198847,Stromversorgungseinheit
Bodysystem,Komfortsystem,Ambientebeleuchtungssystem,f954b48d-e7ec-4083-aae4-8fd7fcc36ef6,Relais
Bodysystem,Komfortsystem,Ambientebeleuchtungssystem,29462550-7293-4f5b-aab0-5c6848da7959,Schutzgehäuse
Bodysystem,Komfortsystem,Ambientebeleuchtungssystem,c15e6b66-70da-43f3-bbc1-012f5da00986,Abschirmmaterial
Bodysystem,Komfortsystem,Ambientebeleuchtungssystem,73b68591-f463-48ab-b3c0-3bd67b90b389,Optischer Filter
Bodysystem,Komfortsystem,Ambientebeleuchtungssystem,aafb056f-a8f6-4862-a032-f9aa0833f7c1,Reflektor
Bodysystem,Komfortsystem,Ambientebeleuchtungssystem,aaeaea84-6826-4c9d-9688-fc0c91441ed5,Dimmer-Schaltung
Bodysystem,Komfortsystem,Ambientebeleuchtungssystem,ebc62b85-4b8b-40ee-8130-b6eb0afdcbbb,Leiterbahnen
Bodysystem,Komfortsystem,Ambientebeleuchtungssystem,7695b631-d9cc-456d-a761-966d286253e2,Signalverstärker
Bodysystem,Komfortsystem,Ambientebeleuchtungssystem,df9f3368-ce00-4dfd-83bf-1fa75973c891,Schaltkreis
Bodysystem,Komfortsystem,Ambientebeleuchtungssystem,6e95a7e9-f08a-4d8b-94e9-91cef92812e3,Leuchtmittelhalterung
Bodysystem,Komfortsystem,Ambientebeleuchtungssystem,d113da6e-18d5-4542-a57f-117c13167c7c,Steuergerätgehäuse
Bodysystem,Komfortsystem,Ambientebeleuchtungssystem,6a86b3fb-7cb9-479a-8f7d-82f439427e9f,Schwingungsdämpfer
Bodysystem,Komfortsystem,Ambientebeleuchtungssystem,48c59665-978c-4fe0-918a-c9858512fce1,EMV-Filter
Bodysystem,Komfortsystem,Ambientebeleuchtungssystem,72fa4504-eb64-4d01-9c30-aa6d28d9fc22,Schutzschalter
Bodysystem,Komfortsystem,Ambientebeleuchtungssystem,9b29f816-97b2-4a12-9b80-b964e71766cd,Montageplatte
Bodysystem,Komfortsystem,Ambientebeleuchtungssystem,8a9f337f-dc9d-4585-9ef0-c9cca80fd9bd,Farbsteuerungssoftware
Bodysystem,Komfortsystem,Ambientebeleuchtungssystem,186571bc-7724-41e9-ba49-09595c5708de,Dimmersteuerungssoftware
Bodysystem,Komfortsystem,Ambientebeleuchtungssystem,a2d36522-a1a1-43ce-988f-929965f5dd23,LED-Treiber-Firmware
Bodysystem,Komfortsystem,Ambientebeleuchtungssystem,ff116891-4c54-45a4-ab21-cf23b9ed8a71,Diagnosesoftware
Bodysystem,Komfortsystem,Ambientebeleuchtungssystem,04709149-4868-4a90-ab97-3ef05af46115,Fehlerprotokollsoftware
Bodysystem,Komfortsystem,Ambientebeleuchtungssystem,6ccdac20-2865-4db2-9c0d-5a7acdc29635,Farbanpassungsalgorithmus
Bodysystem,Komfortsystem,Ambientebeleuchtungssystem,080ca9ad-6c12-44a2-8441-e515ed0cce4d,Leistungsmanagementsoftware
Bodysystem,Komfortsystem,Ambientebeleuchtungssystem,4f97071d-b175-4c9c-8990-2e14d5d8ab66,Kommunikationsprotokollsoftware
Bodysystem,Komfortsystem,Ambientebeleuchtungssystem,1acd0511-7bcd-4008-8c79-1441e2dbd78d,OTA-Update-Software
Bodysystem,Komfortsystem,Ambientebeleuchtungssystem,1b972bf4-2694-42f7-a768-92a2ad46a648,Sprachsteuerungssoftware
Bodysystem,Komfortsystem,Ambientebeleuchtungssystem,f3e9a16b-8808-4b9f-bea6-b0f6330f7b5b,Gestensteuerungssoftware
Bodysystem,Komfortsystem,Ambientebeleuchtungssystem,f823b2bd-247c-48d6-88dd-822531a7d273,Personalisierungssoftware
Bodysystem,Komfortsystem,Ambientebeleuchtungssystem,d95a7eb0-d077-4fa9-bdb7-b8e0beccee39,App-Integrationssoftware
Bodysystem,Komfortsystem,Ambientebeleuchtungssystem,4d7dac53-d552-4aa0-b9e4-51fbd715afd5,Sensor-Datenverarbeitungssoftware
Bodysystem,Komfortsystem,Ambientebeleuchtungssystem,21fb47db-9b8b-43d4-a66b-a272b7344ada,Kalibrierungssoftware
Bodysystem,Komfortsystem,Ambientebeleuchtungssystem,0e9cc75a-6543-4165-bb61-06955df75341,Beleuchtungsanimationssoftware
Bodysystem,Komfortsystem,Ambientebeleuchtungssystem,aee5dc69-7720-4bdf-b2d9-ced70827f04a,Testsoftware
Bodysystem,Komfortsystem,Ambientebeleuchtungssystem,e509938f-277a-4c0f-b9b0-b539a9b713ba,Diagnose-Tool
Bodysystem,Komfortsystem,Ambientebeleuchtungssystem,ac24695e-828f-43ef-8792-4309f74b57fa,Fehlererkennungssystem
Bodysystem,Komfortsystem,Ambientebeleuchtungssystem,fface748-61f3-418a-aad6-c587417676bd,Software-Schnittstellenmodul
Bodysystem,Komfortsystem,Ambientebeleuchtungssystem,2bd52ae8-2c59-4ed8-8785-bea265c9da7e,Cloud-Synchronisationssoftware
Bodysystem,Komfortsystem,Ambientebeleuchtungssystem,29a807f8-190a-4ebb-82e1-5fa32dda0fae,Farbspeicher-Managementsoftware
Bodysystem,Komfortsystem,Ambientebeleuchtungssystem,cfdb94d5-0eea-48ec-97e5-342ade247cea,Hardware-Abstraktionsschicht
Bodysystem,Komfortsystem,Ambientebeleuchtungssystem,a7afd4e0-324f-4da5-b3e7-f28707053941,Signalverarbeitungssoftware
Bodysystem,Komfortsystem,Ambientebeleuchtungssystem,23b9bec7-a236-4ee7-85b3-fbfc3a8c20c6,Software-Update-Manager
Bodysystem,Komfortsystem,Ambientebeleuchtungssystem,41c99684-bf72-4797-b5b1-5b96a66f4e18,Software-Rollback-System
Bodysystem,Komfortsystem,Ambientebeleuchtungssystem,5e031881-cc20-4239-b6b9-dac8191ab8d9,Beleuchtungsprofil-Managementsoftware
Bodysystem,Komfortsystem,Ambientebeleuchtungssystem,7513109e-0a7d-46c7-925c-f4c2ee5f25b2,Software-Authentifizierungssystem
Bodysystem,Komfortsystem,Ambientebeleuchtungssystem,f7a7ae52-4ff2-46d5-9b14-50f5d5938707,Software-Debugging-Tool
