Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Fahrsystem,Antriebssystem,Antriebssteuerungssystem,65fa3301-455c-4af6-b266-0116e4d7b3e4,Motorsteuergerät
Fahrsystem,Antriebssystem,Antriebssteuerungssystem,14498ea3-14db-4aa0-92cc-8a9ed6615325,Sensorschnittstellenmodul
Fahrsystem,Antriebssystem,Antriebssteuerungssystem,f70b7345-8efb-4972-bf14-0e4e71c1ae3a,Leistungsendstufe
Fahrsystem,Antriebssystem,Antriebssteuerungssystem,1101250b-070a-4c51-9599-1751b7c355ee,Kommunikationsbus-Controller
Fahrsystem,Antriebssystem,Antriebssteuerungssystem,4b2c6e77-b9a3-4966-94d9-e53926b0b432,Diagnoseanschluss
Fahrsystem,Antriebssystem,Antriebssteuerungssystem,41356f49-2794-4692-b34f-f66d81d508ec,Temperatursensor
Fahrsystem,Antriebssystem,Antriebssteuerungssystem,322d7efe-e511-49bb-9950-d50e81db3de4,Positionssensor
Fahrsystem,Antriebssystem,Antriebssteuerungssystem,7b67d153-a741-4562-9a23-9618788b6937,Drehzahlsensor
Fahrsystem,Antriebssystem,Antriebssteuerungssystem,b93c80a7-0933-47d0-aa88-23097fcf9fe1,Drucksensor
Fahrsystem,Antriebssystem,Antriebssteuerungssystem,5369ba25-76eb-49a4-883b-7e065dc14fdb,Spannungswandler
Fahrsystem,Antriebssystem,Antriebssteuerungssystem,3918c48d-8f4b-48a9-8b46-bbd6fb57eca5,Relaismodul
Fahrsystem,Antriebssystem,Antriebssteuerungssystem,02675535-e8f0-4646-852b-146480785c3b,Signalverstärker
Fahrsystem,Antriebssystem,Antriebssteuerungssystem,33842654-1c6d-42e9-902e-b27bb886929c,Steckverbinder
Fahrsystem,Antriebssystem,Antriebssteuerungssystem,eecb0282-d8a5-47f0-a913-23009ba74b0e,Leitungssatz
Fahrsystem,Antriebssystem,Antriebssteuerungssystem,865a6762-0984-4fb6-8049-efc9bbd13851,Kühlkörper
Fahrsystem,Antriebssystem,Antriebssteuerungssystem,d796424f-51b7-449d-ba5b-15d59496cd2d,Schutzgehäuse
Fahrsystem,Antriebssystem,Antriebssteuerungssystem,5c27c719-227c-4d95-a19d-3233a96ef0cd,EMV-Filter
Fahrsystem,Antriebssystem,Antriebssteuerungssystem,5816d1c6-f42d-491a-a8f5-9b6b99a79ad1,Stromversorgungseinheit
Fahrsystem,Antriebssystem,Antriebssteuerungssystem,fbdc1194-6351-45c8-b23b-e37fc68fb019,Signalprozessor
