Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Infotainmentsystem,App-Integrationssystem,AppBerechtigungsmanagementsystem,c725c03a-a3ee-4408-a6c2-f66cbb0ddb9e,Sensorchip
Infotainmentsystem,App-Integrationssystem,AppBerechtigungsmanagementsystem,9d1a9026-ba07-4d29-a159-2b9b6685416f,RFID-Leser
Infotainmentsystem,App-Integrationssystem,AppBerechtigungsmanagementsystem,dcc9deb4-cce4-45c7-8989-589cf32b5524,Prozessor
Infotainmentsystem,App-Integrationssystem,AppBerechtigungsmanagementsystem,1146fce0-5185-45e3-b05b-ff3b00e7b678,Speicherchip
Infotainmentsystem,App-Integrationssystem,AppBerechtigungsmanagementsystem,ddf585fd-8092-4ed7-a6cc-d5030d1416f8,Netzwerkmodul
Infotainmentsystem,App-Integrationssystem,AppBerechtigungsmanagementsystem,ad39ef0c-18d3-4770-acf2-a82b55db973f,Kommunikationschip
Infotainmentsystem,App-Integrationssystem,AppBerechtigungsmanagementsystem,6697d565-562b-4346-84ab-8708141a48f6,Spannungsregler
Infotainmentsystem,App-Integrationssystem,AppBerechtigungsmanagementsystem,0f6a5de1-1555-48b3-8c6e-eaab1c3e91fc,Stromversorgungseinheit
Infotainmentsystem,App-Integrationssystem,AppBerechtigungsmanagementsystem,b6d57bf9-8853-4361-bbe9-f2b74d5dc9a9,Schutzgehäuse
Infotainmentsystem,App-Integrationssystem,AppBerechtigungsmanagementsystem,c9a7cd41-78a5-4408-9e4f-977bd59f29c8,Temperatursensor
Infotainmentsystem,App-Integrationssystem,AppBerechtigungsmanagementsystem,1c0c5867-a61a-436e-a51c-fafb9ade8543,Feuchtigkeitssensor
Infotainmentsystem,App-Integrationssystem,AppBerechtigungsmanagementsystem,698ab418-73c5-47b5-8f3e-9a88d080fc3c,Displaymodul
Infotainmentsystem,App-Integrationssystem,AppBerechtigungsmanagementsystem,3f1f0647-8be5-47fc-8ace-3416bf8da87f,Tastaturmodul
Infotainmentsystem,App-Integrationssystem,AppBerechtigungsmanagementsystem,a4b83055-28a3-4a79-91e0-f5fa6b2d50c7,LED-Anzeige
Infotainmentsystem,App-Integrationssystem,AppBerechtigungsmanagementsystem,b2327781-d19f-4bf1-bce8-7a76323491cd,Signalverstärker
Infotainmentsystem,App-Integrationssystem,AppBerechtigungsmanagementsystem,8d317085-5d73-4146-9d22-1982dd36ded4,Antennensystem
Infotainmentsystem,App-Integrationssystem,AppBerechtigungsmanagementsystem,4440d167-20c4-4940-8363-12e5e2db7bf0,USB-Schnittstelle
Infotainmentsystem,App-Integrationssystem,AppBerechtigungsmanagementsystem,eff4d7f9-c420-4f8e-84a4-156f70616438,SD-Kartenleser
Infotainmentsystem,App-Integrationssystem,AppBerechtigungsmanagementsystem,230c4e6f-9158-4a6b-8738-c67bb781e6b6,Relaismodul
Infotainmentsystem,App-Integrationssystem,AppBerechtigungsmanagementsystem,0c784ed4-8023-498c-b7ee-20db43b441c1,Schaltkreisplatine
Infotainmentsystem,App-Integrationssystem,AppBerechtigungsmanagementsystem,af4234b8-a544-4c59-938a-7e5c28b6a075,Diagnoseanschluss
Infotainmentsystem,App-Integrationssystem,AppBerechtigungsmanagementsystem,a27370b7-b2d0-4016-94c7-eef2150afb48,Steckverbinder
Infotainmentsystem,App-Integrationssystem,AppBerechtigungsmanagementsystem,8549418f-fb02-4e35-aeaa-4ab0cbd7e3dd,Schraubensicherung
Infotainmentsystem,App-Integrationssystem,AppBerechtigungsmanagementsystem,8269d50f-acab-465a-9448-678720370781,Montagehalterung
Infotainmentsystem,App-Integrationssystem,AppBerechtigungsmanagementsystem,388b6254-6f59-40d4-851f-81c4686c6e15,Kühlkörper
Infotainmentsystem,App-Integrationssystem,AppBerechtigungsmanagementsystem,a9715286-69ac-40e0-8baf-824f4ceb2da5,Schwingungsdämpfer
Infotainmentsystem,App-Integrationssystem,AppBerechtigungsmanagementsystem,c85c93cc-73f3-4fd4-a0db-1c2be6868fba,EMV-Abschirmung
Infotainmentsystem,App-Integrationssystem,AppBerechtigungsmanagementsystem,b3d56089-932f-47c8-870c-15e378304716,Backup-Batterie
Infotainmentsystem,App-Integrationssystem,AppBerechtigungsmanagementsystem,2ee2cd3f-df62-4502-9b69-c42ba5e6c470,Schutzschalter
Infotainmentsystem,App-Integrationssystem,AppBerechtigungsmanagementsystem,73623da3-6222-4b6d-bbe0-2848bbee5dc9,Diagnosemodul
Infotainmentsystem,App-Integrationssystem,AppBerechtigungsmanagementsystem,0c54d7ba-52ec-4dd3-b466-f38af2e9ac0b,Berechtigungsprüfungssoftware
Infotainmentsystem,App-Integrationssystem,AppBerechtigungsmanagementsystem,bc8fabe9-e8fe-4cfb-8c74-2181708f5a33,Authentifizierungsalgorithmus
Infotainmentsystem,App-Integrationssystem,AppBerechtigungsmanagementsystem,ce06e8ff-ed5f-43ef-b04d-1b30655d110a,Schlüsselmanagementsoftware
Infotainmentsystem,App-Integrationssystem,AppBerechtigungsmanagementsystem,384928ae-cdec-429a-8010-d9ca385bd99e,Token-Generierungssystem
Infotainmentsystem,App-Integrationssystem,AppBerechtigungsmanagementsystem,21a0c457-5512-4ede-9375-9d364b15fe62,Rechteverwaltungssystem
Infotainmentsystem,App-Integrationssystem,AppBerechtigungsmanagementsystem,437edd53-785a-4b25-8c8e-f22af94422ae,Software-Schnittstellenmodul
Infotainmentsystem,App-Integrationssystem,AppBerechtigungsmanagementsystem,12aaab8d-f50a-4ef6-b77d-b8092e1db1ac,Fehlerprotokollierungssystem
