Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Infotainmentsystem,App-Integrationssystem,AppDatenSynchronisationssystem,26e9297d-4cf9-4925-b1f9-87bf00e5a73a,ECU
Infotainmentsystem,App-Integrationssystem,AppDatenSynchronisationssystem,b93daf3d-a460-45bc-9199-cb48b1b3c030,Microcontroller
Infotainmentsystem,App-Integrationssystem,AppDatenSynchronisationssystem,373f01bc-f6da-42fc-aae0-1ddda0b04327,Flash-Speicher
Infotainmentsystem,App-Integrationssystem,AppDatenSynchronisationssystem,f628d24f-1c90-4097-a135-84b3297677f1,DRAM
Infotainmentsystem,App-Integrationssystem,AppDatenSynchronisationssystem,a1c6b7e4-92af-40c9-b635-5894194c8c7d,SRAM
Infotainmentsystem,App-Integrationssystem,AppDatenSynchronisationssystem,b7b7d552-ec40-458c-9d6e-a7dab3d64a67,SSD
Infotainmentsystem,App-Integrationssystem,AppDatenSynchronisationssystem,56d911ae-ecd1-4bd9-b03b-050e2179d133,Wi-Fi-Modul
Infotainmentsystem,App-Integrationssystem,AppDatenSynchronisationssystem,07fc6b16-1f9c-4e64-a731-008e12cfc72f,Bluetooth-Modul
Infotainmentsystem,App-Integrationssystem,AppDatenSynchronisationssystem,abd89301-6b21-440f-8ae0-11e13821aa50,GPS-Modul
Infotainmentsystem,App-Integrationssystem,AppDatenSynchronisationssystem,ba46de17-5674-42cf-9e71-6766f1207aff,LTE-Modul
Infotainmentsystem,App-Integrationssystem,AppDatenSynchronisationssystem,e4d9d820-983d-41dc-989b-46bc42d66703,5G-Modul
Infotainmentsystem,App-Integrationssystem,AppDatenSynchronisationssystem,b32a771f-58ef-4d0f-950d-51d81277b143,USB-Schnittstelle
Infotainmentsystem,App-Integrationssystem,AppDatenSynchronisationssystem,b2ac49a0-1fb5-4301-8dde-0770041fc321,SD-Kartenleser
Infotainmentsystem,App-Integrationssystem,AppDatenSynchronisationssystem,3491b31c-e51e-4b30-b226-d9a91f4bebe5,Display-Treiber
Infotainmentsystem,App-Integrationssystem,AppDatenSynchronisationssystem,3d92e9d3-7058-4869-9ff4-b3deb497ba22,Touchscreen-Sensor
Infotainmentsystem,App-Integrationssystem,AppDatenSynchronisationssystem,643309b6-cd55-40a8-8e81-78062fb2e450,Temperatursensor
Infotainmentsystem,App-Integrationssystem,AppDatenSynchronisationssystem,6db0884b-6538-423f-93f2-ac922a1eb904,Spannungsregler
Infotainmentsystem,App-Integrationssystem,AppDatenSynchronisationssystem,f0bbca0c-08d0-42de-8779-e04657464f06,Power-Management-IC
Infotainmentsystem,App-Integrationssystem,AppDatenSynchronisationssystem,6492bb0a-dc71-42b7-9729-4d5afd96369e,Antennenmodul
Infotainmentsystem,App-Integrationssystem,AppDatenSynchronisationssystem,7b0b61a7-a5ff-432f-99fb-046848b6be41,Bus-Transceiver
Infotainmentsystem,App-Integrationssystem,AppDatenSynchronisationssystem,8f43df3a-b4cd-448b-b1bc-b83f04776123,Steckverbinder
Infotainmentsystem,App-Integrationssystem,AppDatenSynchronisationssystem,0f67d775-7bd0-41fe-b31e-e514b8500895,Relais
Infotainmentsystem,App-Integrationssystem,AppDatenSynchronisationssystem,c96adc5b-b4e4-4209-affb-ccababac5f12,Schutzdiode
Infotainmentsystem,App-Integrationssystem,AppDatenSynchronisationssystem,67f8db85-66ce-45e1-8ad5-6dbdd617a692,Schaltkreis
Infotainmentsystem,App-Integrationssystem,AppDatenSynchronisationssystem,61b5e9e4-abc0-498e-a893-07457e3c8865,Signalverstärker
Infotainmentsystem,App-Integrationssystem,AppDatenSynchronisationssystem,f439aa85-6fb8-4543-a013-a2dbce5672a4,Audio-DAC
Infotainmentsystem,App-Integrationssystem,AppDatenSynchronisationssystem,8d1769e6-c301-4faa-ac70-2ac2e46d9971,Audio-ADC
Infotainmentsystem,App-Integrationssystem,AppDatenSynchronisationssystem,4ae39b80-965c-4ac1-b04c-efc35b718d8f,LED-Treiber
Infotainmentsystem,App-Integrationssystem,AppDatenSynchronisationssystem,d2327d8a-a3f0-4de3-b1ed-f7a574591eb2,PCB
Infotainmentsystem,App-Integrationssystem,AppDatenSynchronisationssystem,bcd28ce6-47a5-4e12-95b9-fcf1028de017,EMV-Filter
Infotainmentsystem,App-Integrationssystem,AppDatenSynchronisationssystem,70efdaf9-ddb3-476a-8e2e-6fedc79cac3d,Datenbankmanagementsystem
Infotainmentsystem,App-Integrationssystem,AppDatenSynchronisationssystem,4d5166a2-d414-4f0c-96ad-119306d188c3,API-Managementsystem
Infotainmentsystem,App-Integrationssystem,AppDatenSynchronisationssystem,2163bf4e-a2a5-4ea9-84a1-14e09e9ed1f5,Cloud-Synchronisationsmodul
Infotainmentsystem,App-Integrationssystem,AppDatenSynchronisationssystem,f95bb88f-a9ba-4e8c-8613-7bcf896cdeb8,Fehlerprotokollierungssystem
Infotainmentsystem,App-Integrationssystem,AppDatenSynchronisationssystem,547a11a9-7dd3-4d7a-8d1c-6a1577125bbe,Authentifizierungsmodul
Infotainmentsystem,App-Integrationssystem,AppDatenSynchronisationssystem,8e52543f-9571-4a5b-8201-4b1b6abe5377,Datensicherheitsmodul
Infotainmentsystem,App-Integrationssystem,AppDatenSynchronisationssystem,c5061b08-73d0-40cf-b6e4-b7df17ffe5b1,Komprimierungsalgorithmus
Infotainmentsystem,App-Integrationssystem,AppDatenSynchronisationssystem,168cfd15-6850-4ba9-bc5b-73d7071eb3d5,Entschlüsselungsmodul
Infotainmentsystem,App-Integrationssystem,AppDatenSynchronisationssystem,84450860-41fb-4368-9d9d-8c7c920afabd,Versionskontrollsystem
Infotainmentsystem,App-Integrationssystem,AppDatenSynchronisationssystem,744e9523-b44d-426d-83c0-056233e5851d,Netzwerkprotokollmodul
Infotainmentsystem,App-Integrationssystem,AppDatenSynchronisationssystem,452dbccf-f42e-4f68-8c2e-e48e60186267,Cache-Managementsystem
Infotainmentsystem,App-Integrationssystem,AppDatenSynchronisationssystem,a1884f89-d459-45fc-ac8d-d26e88a6ecd8,Task-Managementsystem
Infotainmentsystem,App-Integrationssystem,AppDatenSynchronisationssystem,22e24057-5644-41d7-82bc-4eb53235a425,Threading-Modul
Infotainmentsystem,App-Integrationssystem,AppDatenSynchronisationssystem,44a421ab-ead8-4d27-8b7e-d714a5a54d12,Speicherverwaltungssystem
Infotainmentsystem,App-Integrationssystem,AppDatenSynchronisationssystem,5b245622-6dbf-4e6e-b223-3cfac7fb9843,Dateisystemtreiber
Infotainmentsystem,App-Integrationssystem,AppDatenSynchronisationssystem,1b3a4297-8a69-4e2a-8f81-74b74adf081b,Update-Managementmodul
Infotainmentsystem,App-Integrationssystem,AppDatenSynchronisationssystem,b27c0caa-2ef8-4bf3-993c-2fd5d186f709,Push-Benachrichtigungsmodul
Infotainmentsystem,App-Integrationssystem,AppDatenSynchronisationssystem,f77891f4-e05d-413c-a60d-60cc44d99eec,App-Integrationsframework
Infotainmentsystem,App-Integrationssystem,AppDatenSynchronisationssystem,84cdae6a-8ce2-41fc-890f-8c1b752bcb7c,UI-Rendering-Engine
Infotainmentsystem,App-Integrationssystem,AppDatenSynchronisationssystem,e3cce618-cff8-4376-9010-53c1c49a2468,JSON-Parser
Infotainmentsystem,App-Integrationssystem,AppDatenSynchronisationssystem,14a847a7-ef1c-4486-8c49-b4e0c8c37980,XML-Parser
Infotainmentsystem,App-Integrationssystem,AppDatenSynchronisationssystem,321fa750-19e5-432a-8c15-102b03bf8339,Protokollkonverter
Infotainmentsystem,App-Integrationssystem,AppDatenSynchronisationssystem,3b37d2ea-51dc-48d7-b572-dec646e3b7ac,Middleware
