Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Infotainmentsystem,App-Integrationssystem,AppLifecycleManagementsystem,fe07b76a-8119-4a09-8b34-1c0c36458440,Steuergerät
Infotainmentsystem,App-Integrationssystem,AppLifecycleManagementsystem,168f039f-896c-4eb7-b1ed-e75e51012cae,Prozessor
Infotainmentsystem,App-Integrationssystem,AppLifecycleManagementsystem,a6c8756c-4ca9-4323-9334-f1c3a0ecd606,Speicherchip
Infotainmentsystem,App-Integrationssystem,AppLifecycleManagementsystem,47cffb04-b75e-43b9-a2a5-f594731de22a,Netzwerkinterface
Infotainmentsystem,App-Integrationssystem,AppLifecycleManagementsystem,4e9489fa-f408-4553-8e04-10f55adbbc60,Kommunikationsmodul
Infotainmentsystem,App-Integrationssystem,AppLifecycleManagementsystem,70998d9b-25e7-4c07-9d7f-5df7fa1c2a67,Sensoren
Infotainmentsystem,App-Integrationssystem,AppLifecycleManagementsystem,159e4919-d757-4811-9088-45354cdbdc23,Display
Infotainmentsystem,App-Integrationssystem,AppLifecycleManagementsystem,87ed468e-7c01-4fe5-9da7-7b109bc5492f,Touchscreen
Infotainmentsystem,App-Integrationssystem,AppLifecycleManagementsystem,f69e8dd0-bda0-4cd6-b174-ee2e6f676dd2,Sprachmikrofon
Infotainmentsystem,App-Integrationssystem,AppLifecycleManagementsystem,ddd728ed-5c1c-4538-b4b4-68db7797d6d0,Gestensensor
Infotainmentsystem,App-Integrationssystem,AppLifecycleManagementsystem,05381797-237e-4e92-a13f-939f6c9bcf90,USB-Port
Infotainmentsystem,App-Integrationssystem,AppLifecycleManagementsystem,368e4a5d-7b46-44ae-93bd-9e855d83061f,SD-Kartenleser
Infotainmentsystem,App-Integrationssystem,AppLifecycleManagementsystem,2dfc7278-8331-4a59-988e-5c75b8487ed6,Wi-Fi-Modul
Infotainmentsystem,App-Integrationssystem,AppLifecycleManagementsystem,b8433880-44ee-4dc0-8d71-f5d288d76ab4,Bluetooth-Modul
Infotainmentsystem,App-Integrationssystem,AppLifecycleManagementsystem,c6f756bc-21c0-4140-9143-90b6038c558e,GPS-Modul
Infotainmentsystem,App-Integrationssystem,AppLifecycleManagementsystem,5a46522d-5b7f-4e3b-8203-ec44da8be125,Antennenmodul
Infotainmentsystem,App-Integrationssystem,AppLifecycleManagementsystem,1a705a4c-9443-4293-a042-98b24221bc13,Stromversorgungseinheit
Infotainmentsystem,App-Integrationssystem,AppLifecycleManagementsystem,d9b875d8-7f0a-4465-b2ac-4686bef81f67,Kühlkörper
Infotainmentsystem,App-Integrationssystem,AppLifecycleManagementsystem,0f3e8fb8-44c7-4dee-bbe0-292e51390ab8,Gehäuse
