Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Infotainmentsystem,App-Integrationssystem,AppSchnittstellenmanagementsystem,45ce58d5-323b-4a32-b5a9-e7b6907d5655,ECU
Infotainmentsystem,App-Integrationssystem,AppSchnittstellenmanagementsystem,05015176-6b20-4f6a-9cad-270feedfaa55,Microcontroller
Infotainmentsystem,App-Integrationssystem,AppSchnittstellenmanagementsystem,57e438b5-71c9-4090-8247-9fc3e0dc6968,Flash-Speicher
Infotainmentsystem,App-Integrationssystem,AppSchnittstellenmanagementsystem,95fc537b-f577-4f88-a455-4845934a3bbd,SD-Kartenleser
Infotainmentsystem,App-Integrationssystem,AppSchnittstellenmanagementsystem,237786f1-5e4c-4254-a696-5215499d97fa,USB-Anschluss
Infotainmentsystem,App-Integrationssystem,AppSchnittstellenmanagementsystem,b2399b8d-1d53-421a-a113-41eed3dcaaa7,Wi-Fi-Modul
Infotainmentsystem,App-Integrationssystem,AppSchnittstellenmanagementsystem,ff868ef7-2bc5-4fad-b980-3bf5651f4090,Bluetooth-Modul
Infotainmentsystem,App-Integrationssystem,AppSchnittstellenmanagementsystem,bae99d09-714d-4550-b708-8ec74259d2a1,GPS-Modul
Infotainmentsystem,App-Integrationssystem,AppSchnittstellenmanagementsystem,78a86ea6-cd15-44a3-9312-cd04ee2229ba,LTE-Modem
Infotainmentsystem,App-Integrationssystem,AppSchnittstellenmanagementsystem,baa49355-8147-45f3-8cf7-766c917c872f,Antennenmodul
Infotainmentsystem,App-Integrationssystem,AppSchnittstellenmanagementsystem,9373309b-15cd-4893-bd81-dc4e9b9610d4,Touchscreen-Controller
Infotainmentsystem,App-Integrationssystem,AppSchnittstellenmanagementsystem,0cbfe18d-132f-4081-9895-fe4f0191b5a6,Display-Treiber
Infotainmentsystem,App-Integrationssystem,AppSchnittstellenmanagementsystem,2c3e1c6f-134e-4756-8488-6194dcc1bb42,Audio-DAC
Infotainmentsystem,App-Integrationssystem,AppSchnittstellenmanagementsystem,4612a55b-75b4-4a2b-b5eb-9135073dd5ba,Audio-Verstärker
Infotainmentsystem,App-Integrationssystem,AppSchnittstellenmanagementsystem,3b5d240b-6b71-401a-98a6-3529b8a7a326,Temperatursensor
Infotainmentsystem,App-Integrationssystem,AppSchnittstellenmanagementsystem,3e21a51f-7685-4023-86cd-2d24e9a40f62,Spannungsregler
Infotainmentsystem,App-Integrationssystem,AppSchnittstellenmanagementsystem,9de6cd1f-b363-4647-9322-91450884cfdd,Power-Management-IC
Infotainmentsystem,App-Integrationssystem,AppSchnittstellenmanagementsystem,a48dca88-d9a0-40a6-bab3-e109b9df5183,Relais
Infotainmentsystem,App-Integrationssystem,AppSchnittstellenmanagementsystem,355e4559-4145-4e4a-ae73-2bb1e3eb8211,Steckverbinder
Infotainmentsystem,App-Integrationssystem,AppSchnittstellenmanagementsystem,13f8a34c-66b3-4700-bcfb-ac9bc3fdcfab,Kabelbaum
Infotainmentsystem,App-Integrationssystem,AppSchnittstellenmanagementsystem,f4462a90-3c33-4412-b451-357e42192c6e,LED-Anzeige
Infotainmentsystem,App-Integrationssystem,AppSchnittstellenmanagementsystem,e6042b8a-5918-41ca-ba04-9201649e0893,Knopfzellenbatterie
Infotainmentsystem,App-Integrationssystem,AppSchnittstellenmanagementsystem,6dba373f-df9f-4f90-b89b-cd7ec042fa10,Schutzgehäuse
Infotainmentsystem,App-Integrationssystem,AppSchnittstellenmanagementsystem,107dfd30-4858-4156-b43c-d964695d82e8,Kühlkörper
Infotainmentsystem,App-Integrationssystem,AppSchnittstellenmanagementsystem,d490c0d8-be62-44fe-a904-454ff3cfe3c6,Speicherchip
Infotainmentsystem,App-Integrationssystem,AppSchnittstellenmanagementsystem,705520ea-cb83-41eb-bcd6-996b25586306,Prozessorchip
Infotainmentsystem,App-Integrationssystem,AppSchnittstellenmanagementsystem,bb452b36-2efa-4879-925e-ac0a1b97a63e,Signalwandler
Infotainmentsystem,App-Integrationssystem,AppSchnittstellenmanagementsystem,7eb7d15d-f50c-4d90-b746-b9e957da0f25,Sensor-IC
Infotainmentsystem,App-Integrationssystem,AppSchnittstellenmanagementsystem,f8e611d0-a8a8-4f4a-a846-d19bd127a669,Schaltkreisplatine
Infotainmentsystem,App-Integrationssystem,AppSchnittstellenmanagementsystem,1fc4269e-239d-4388-835d-2e8f1b17ea46,Diagnoseanschluss
Infotainmentsystem,App-Integrationssystem,AppSchnittstellenmanagementsystem,8c706a74-9da3-44fa-97e8-95441c9a5f20,API-Manager
Infotainmentsystem,App-Integrationssystem,AppSchnittstellenmanagementsystem,1a8ee0a5-44d7-4dcd-8eb3-d3bc6eb29373,Protokoll-Handler
Infotainmentsystem,App-Integrationssystem,AppSchnittstellenmanagementsystem,274c3d4d-5ed0-4d86-93c7-319f6c078dc6,App-Container
Infotainmentsystem,App-Integrationssystem,AppSchnittstellenmanagementsystem,54841635-ead5-475a-8f41-4427427ccc4b,App-Sandbox
Infotainmentsystem,App-Integrationssystem,AppSchnittstellenmanagementsystem,edffd657-ee0d-402d-90d6-3c4a8b04ac4e,App-Store-Client
Infotainmentsystem,App-Integrationssystem,AppSchnittstellenmanagementsystem,a68b1c68-366d-42cb-8d17-934bb47339d5,App-Update-Manager
Infotainmentsystem,App-Integrationssystem,AppSchnittstellenmanagementsystem,11f7de57-7a44-410f-b9e5-6513399b4092,App-Berechtigungsmodul
Infotainmentsystem,App-Integrationssystem,AppSchnittstellenmanagementsystem,ddeb6f36-7e69-4677-8626-ae5e7ddac813,App-Datenbank
Infotainmentsystem,App-Integrationssystem,AppSchnittstellenmanagementsystem,686cfed9-0563-4589-9e0f-59bd6aa0f592,App-Synchronisationsmodul
Infotainmentsystem,App-Integrationssystem,AppSchnittstellenmanagementsystem,0baed8f9-de2a-466d-9dbb-c58e15a201d9,App-Cache-Manager
Infotainmentsystem,App-Integrationssystem,AppSchnittstellenmanagementsystem,b42516fe-c0f0-42b8-b08f-8a9a5577a323,App-Lifecycle-Manager
Infotainmentsystem,App-Integrationssystem,AppSchnittstellenmanagementsystem,b5ff73ff-778f-46ab-ac69-0d79e6a17b9d,App-Authentifizierungsmodul
