Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Infotainmentsystem,Audiosystem,Audioquellenverwaltungssystem,d5227ffc-f9d3-4c28-9142-dfcdac205e62,Audio-DSP-Chip
Infotainmentsystem,Audiosystem,Audioquellenverwaltungssystem,9d9759f1-1394-490b-920e-be9ea6941dd6,Verstärker
Infotainmentsystem,Audiosystem,Audioquellenverwaltungssystem,b445badc-78d1-4dd0-abe7-2144607ece28,Equalizer-Hardware
Infotainmentsystem,Audiosystem,Audioquellenverwaltungssystem,53b871fc-d931-4439-88cb-a2fb86eb78e0,Audio-Codec-Chip
Infotainmentsystem,Audiosystem,Audioquellenverwaltungssystem,726410e2-e2ba-4f57-9abe-b370609fd6c2,Lautsprecher
Infotainmentsystem,Audiosystem,Audioquellenverwaltungssystem,11fde231-c641-45eb-a74a-c52878820758,Subwoofer
Infotainmentsystem,Audiosystem,Audioquellenverwaltungssystem,fbe8a591-bc9a-42d9-a0cd-1d6b2aee9be3,Hochtöner
Infotainmentsystem,Audiosystem,Audioquellenverwaltungssystem,7cc6a175-a010-448c-a3c7-b7bc226a1fe6,Mikrofon
Infotainmentsystem,Audiosystem,Audioquellenverwaltungssystem,c6cfd39a-f027-44c3-8d36-64a11ee36968,Audio-Kabelbaum
Infotainmentsystem,Audiosystem,Audioquellenverwaltungssystem,0923e3a1-adde-42f8-9eea-2aa5d27f8a4c,Antennenmodul
Infotainmentsystem,Audiosystem,Audioquellenverwaltungssystem,9defde85-9a50-4f96-8fe8-0dabed9c55f0,USB-Anschluss
Infotainmentsystem,Audiosystem,Audioquellenverwaltungssystem,f60be3e3-b620-4327-9ce0-b316278ecf50,SD-Kartenleser
Infotainmentsystem,Audiosystem,Audioquellenverwaltungssystem,d518d621-6b9a-427e-be76-adac9cf67b5e,Bluetooth-Modul
Infotainmentsystem,Audiosystem,Audioquellenverwaltungssystem,472776a4-2579-4e16-8a6d-1c931779164d,Wi-Fi-Modul
Infotainmentsystem,Audiosystem,Audioquellenverwaltungssystem,1e551cd6-22c8-444a-b6fe-45e089c270e1,FM/AM-Tuner
Infotainmentsystem,Audiosystem,Audioquellenverwaltungssystem,ec24390c-1d7e-42d4-acaf-b39bf80f683f,DAB-Tuner
Infotainmentsystem,Audiosystem,Audioquellenverwaltungssystem,b4a4538e-dc9f-4ba6-9f73-0be060d5356a,Audio-Controller
Infotainmentsystem,Audiosystem,Audioquellenverwaltungssystem,4222987f-9eeb-464e-8904-fba6933e528f,Audio-Filter
Infotainmentsystem,Audiosystem,Audioquellenverwaltungssystem,b4c4ddfc-fc9d-465f-9bd9-34e41eae7477,Audio-Isolator
