Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Bodysystem,Beleuchtungssystem,Außenlichtsystem,94f36c4a-2bad-48ef-817a-cdd88abbaf50,LED-Modul
Bodysystem,Beleuchtungssystem,Außenlichtsystem,15206204-5d75-4417-a13c-cda18fa722a6,Scheinwerfergehäuse
Bodysystem,Beleuchtungssystem,Außenlichtsystem,9ac635ff-d737-4191-a3e1-124873207fa9,Reflektorlinse
Bodysystem,Beleuchtungssystem,Außenlichtsystem,13b3c0b4-b02d-42b0-a505-246126c283fe,Projektionslinse
Bodysystem,Beleuchtungssystem,Außenlichtsystem,4fa22ce8-bf30-45c8-99b4-cd28cc509259,Leuchtmittelhalterung
Bodysystem,Beleuchtungssystem,Außenlichtsystem,109e6ca3-897c-4f7f-985b-81fe7029ba12,Kühlkörper
Bodysystem,Beleuchtungssystem,Außenlichtsystem,49eaed10-27d1-453c-ae33-cc4ffd332a1f,Steckverbinder
Bodysystem,Beleuchtungssystem,Außenlichtsystem,5fc9f96f-77c1-4144-9ce6-a7f33bbd2aca,Kabelbaum
Bodysystem,Beleuchtungssystem,Außenlichtsystem,3a5c5287-b726-4443-ac2f-97d30b725333,Spannungswandler
Bodysystem,Beleuchtungssystem,Außenlichtsystem,e5ee980c-ce75-4754-9b7b-08d617f9f3db,Leistungsmodul
Bodysystem,Beleuchtungssystem,Außenlichtsystem,85c69640-7cc2-4c06-abae-d40497b2e481,Sensor für Umgebungslicht
Bodysystem,Beleuchtungssystem,Außenlichtsystem,ceec8f0f-96e5-4a30-bdf7-79c57e2a6c44,Sensor für Regen
Bodysystem,Beleuchtungssystem,Außenlichtsystem,665568fc-a10f-4be5-a23a-02ed05073e22,Sensor für Dämmerung
Bodysystem,Beleuchtungssystem,Außenlichtsystem,7fefe39a-925b-44c4-9738-410062a2e081,Motor für adaptive Scheinwerfer
Bodysystem,Beleuchtungssystem,Außenlichtsystem,b0166938-957c-4cfb-bc74-c05c31b52bf8,Motorsteuerung für Lichtausrichtung
Bodysystem,Beleuchtungssystem,Außenlichtsystem,2a667a56-8c14-4681-bf77-c9746a0ae797,Schutzabdeckung
Bodysystem,Beleuchtungssystem,Außenlichtsystem,b5679988-e1a6-4043-ab13-c626797537e2,Glaslinse
Bodysystem,Beleuchtungssystem,Außenlichtsystem,7a735700-35ed-4058-a43b-f457797747dc,Schutzfolie
Bodysystem,Beleuchtungssystem,Außenlichtsystem,773e1d78-6068-4a3b-8f8d-d1402466445b,Montagehalterung
Bodysystem,Beleuchtungssystem,Außenlichtsystem,6b5e6af5-2522-4b3a-afe5-03f56252e3ea,Schrauben und Befestigungselemente
Bodysystem,Beleuchtungssystem,Außenlichtsystem,a7df0b90-8508-4519-94cd-bf272e3495b6,Dichtungen
Bodysystem,Beleuchtungssystem,Außenlichtsystem,f03f6d32-5cdd-41a9-853e-215486a55efc,Temperatursensor
Bodysystem,Beleuchtungssystem,Außenlichtsystem,be8be5a3-a840-47e0-a92a-c61e3ea2239f,Feuchtigkeitssensor
Bodysystem,Beleuchtungssystem,Außenlichtsystem,7953c4c1-d546-4bf9-957f-0ee62a26f8a2,Schaltrelais
Bodysystem,Beleuchtungssystem,Außenlichtsystem,3ae1ae97-5615-46ad-affa-feea00f83722,Stromversorgungseinheit
Bodysystem,Beleuchtungssystem,Außenlichtsystem,901cb3ae-bb8f-4dec-aaab-5c255febfe54,Diagnoseanschluss
Bodysystem,Beleuchtungssystem,Außenlichtsystem,2990afba-33b5-4761-a274-6bb768b0b338,Steuergerätgehäuse
Bodysystem,Beleuchtungssystem,Außenlichtsystem,b9e3751f-d62a-4a8d-9f9e-57b7f0450dd8,EMV-Abschirmung
Bodysystem,Beleuchtungssystem,Außenlichtsystem,993abd66-25f0-40ba-925e-d88c81a4eaad,Optische Filter
