Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Infotainmentsystem,App-Integrationssystem,BackendAnbindungssystem,a8ccf69d-2967-4dd8-b90d-b1bbf4c92636,ECU
Infotainmentsystem,App-Integrationssystem,BackendAnbindungssystem,7d1666a4-b7da-4a5e-880d-cc7561a46e86,Telematik-Steuergerät
Infotainmentsystem,App-Integrationssystem,BackendAnbindungssystem,2856863f-4f3b-4144-98d3-a8f246f04338,Kommunikationsmodul
Infotainmentsystem,App-Integrationssystem,BackendAnbindungssystem,dbcf5ac1-405c-4b38-b0be-55dd9a241f20,Antennenmodul
Infotainmentsystem,App-Integrationssystem,BackendAnbindungssystem,8e41717f-a759-4e56-a1f2-8895a2e2fd27,GPS-Empfänger
Infotainmentsystem,App-Integrationssystem,BackendAnbindungssystem,bde4c742-84b6-4dcf-aa4a-8da16885666e,WiFi-Modul
Infotainmentsystem,App-Integrationssystem,BackendAnbindungssystem,2d9164bd-ba44-4ea1-baab-13add2395000,Bluetooth-Modul
Infotainmentsystem,App-Integrationssystem,BackendAnbindungssystem,fe0fc11a-2ed9-4a9c-be51-afd152342a85,4G-Modem
Infotainmentsystem,App-Integrationssystem,BackendAnbindungssystem,ce486fc7-5b65-4ff3-b48b-f4624ba7c9ee,5G-Modem
Infotainmentsystem,App-Integrationssystem,BackendAnbindungssystem,e5743660-11ab-4270-ad34-27323fe915f5,Speicherchip
Infotainmentsystem,App-Integrationssystem,BackendAnbindungssystem,9fbe9a3b-60b8-4be2-85ff-06c0a18711cf,Prozessorchip
Infotainmentsystem,App-Integrationssystem,BackendAnbindungssystem,93f015e3-f062-41b1-bd8a-2239088e143c,Spannungswandler
Infotainmentsystem,App-Integrationssystem,BackendAnbindungssystem,a888cbe5-3527-45f0-9915-8db7d312b106,Steckverbinder
Infotainmentsystem,App-Integrationssystem,BackendAnbindungssystem,556bfa0f-abbe-446b-ae56-7255d87a56cd,Relaismodul
Infotainmentsystem,App-Integrationssystem,BackendAnbindungssystem,f69c1e0d-e783-4371-87e7-da6ab6b65e76,Signalverstärker
Infotainmentsystem,App-Integrationssystem,BackendAnbindungssystem,ac3cf2b4-b9c7-4032-85e7-eced43846f9f,Sensorinterface
Infotainmentsystem,App-Integrationssystem,BackendAnbindungssystem,6f202377-c8fb-44ca-a514-74ca66495204,Diagnoseanschluss
Infotainmentsystem,App-Integrationssystem,BackendAnbindungssystem,149eca12-9990-4600-b20e-cdc6030086d9,USB-Port
Infotainmentsystem,App-Integrationssystem,BackendAnbindungssystem,6a44118a-bbd8-4ac1-941d-8a13fa2272c2,SD-Kartenleser
Infotainmentsystem,App-Integrationssystem,BackendAnbindungssystem,9f6a3adb-265b-40ed-9da9-b1334c4e4c9b,Displaycontroller
Infotainmentsystem,App-Integrationssystem,BackendAnbindungssystem,f4aea871-fa8a-4a4c-b63c-a090755c76cf,LED-Anzeige
Infotainmentsystem,App-Integrationssystem,BackendAnbindungssystem,94d6d31f-bf0b-4841-b029-1544ab86e7ef,Touchscreen-Controller
Infotainmentsystem,App-Integrationssystem,BackendAnbindungssystem,9b7f166b-7494-4cce-b047-ce0befc1cf97,Audioverstärker
Infotainmentsystem,App-Integrationssystem,BackendAnbindungssystem,ee7712ea-136f-4b6e-8d33-50ea0193c48c,Netzwerk-Switch
Infotainmentsystem,App-Integrationssystem,BackendAnbindungssystem,59ef2742-1333-4d53-a805-ab12d437a928,Routermodul
Infotainmentsystem,App-Integrationssystem,BackendAnbindungssystem,313f5097-1c5a-4468-8bc6-96b728682623,Power-Management-IC
Infotainmentsystem,App-Integrationssystem,BackendAnbindungssystem,a465085c-ed97-4ac9-9311-eb007ef3e8f4,Temperatursensor
Infotainmentsystem,App-Integrationssystem,BackendAnbindungssystem,d136762e-f470-4bca-9e25-d19854304a67,Feuchtigkeitssensor
Infotainmentsystem,App-Integrationssystem,BackendAnbindungssystem,46ce8971-32a6-4574-bdb2-1c14b6bb3d8b,EMV-Filter
Infotainmentsystem,App-Integrationssystem,BackendAnbindungssystem,26017dc5-4589-4c1d-826b-ebe8aa6c72c7,Schutzgehäuse
Infotainmentsystem,App-Integrationssystem,BackendAnbindungssystem,f39c7044-5226-4764-b0fe-63f933280a22,Datenbankmanagementsystem
Infotainmentsystem,App-Integrationssystem,BackendAnbindungssystem,f2d37965-82d6-449d-baa7-783865e05958,API-Managementsoftware
Infotainmentsystem,App-Integrationssystem,BackendAnbindungssystem,a32c686f-4190-4655-b8da-cf1d342c557c,Cloud-Synchronisationssoftware
Infotainmentsystem,App-Integrationssystem,BackendAnbindungssystem,eb4defd9-e924-4ecd-9a57-e52ab8c66fc9,OTA-Update-Client
Infotainmentsystem,App-Integrationssystem,BackendAnbindungssystem,ebe3c1b6-0950-4232-84f2-0914ee8e411a,Authentifizierungssoftware
Infotainmentsystem,App-Integrationssystem,BackendAnbindungssystem,3a9f13a5-3b36-44e9-a04a-90fabad09aa9,Fehlerprotokollierungssoftware
Infotainmentsystem,App-Integrationssystem,BackendAnbindungssystem,1759cb31-d531-4d77-beab-66e1de486c70,Diagnosesoftware
Infotainmentsystem,App-Integrationssystem,BackendAnbindungssystem,ced82330-2975-4feb-8e97-cb5ceca43b1f,Netzwerkprotokollsoftware
Infotainmentsystem,App-Integrationssystem,BackendAnbindungssystem,ed794e59-a5af-468e-820e-1f76eb3f0d05,Kommunikationsmiddleware
Infotainmentsystem,App-Integrationssystem,BackendAnbindungssystem,a143a90a-2428-4ff7-9a0f-dce90ac94331,Telematiksoftware
Infotainmentsystem,App-Integrationssystem,BackendAnbindungssystem,05a61d78-639d-4dd2-af6d-6564935f0eee,Routing-Software
Infotainmentsystem,App-Integrationssystem,BackendAnbindungssystem,6dfe3cf7-e05f-4996-a43c-f22d1e345b00,Datensicherungssoftware
Infotainmentsystem,App-Integrationssystem,BackendAnbindungssystem,7c0ef9f6-3cbe-409d-a5bb-d992ff73df82,Firewall-Software
Infotainmentsystem,App-Integrationssystem,BackendAnbindungssystem,b3f81e36-549e-41ce-b560-da82c6c025ec,VPN-Software
Infotainmentsystem,App-Integrationssystem,BackendAnbindungssystem,124ea804-3b29-47b8-86e8-9fc84ab9afe3,Software-Update-Manager
Infotainmentsystem,App-Integrationssystem,BackendAnbindungssystem,976cc309-6f8e-4537-90c2-839cf351877f,App-Management-Software
Infotainmentsystem,App-Integrationssystem,BackendAnbindungssystem,f53453e1-554c-472d-93f7-3fe786cfdd2e,Backend-Integrationssoftware
Infotainmentsystem,App-Integrationssystem,BackendAnbindungssystem,80de2097-ce94-4be2-a6e5-72e69fd7ae4f,Protokollkonvertierungssoftware
Infotainmentsystem,App-Integrationssystem,BackendAnbindungssystem,ec43a92d-68b2-4024-8f61-8c3f667ac054,Diagnose-Tool-Software
Infotainmentsystem,App-Integrationssystem,BackendAnbindungssystem,ea85097c-879a-4378-8937-dbcae26b3866,Fehleranalyse-Software
Infotainmentsystem,App-Integrationssystem,BackendAnbindungssystem,48b14049-edab-4246-b7d2-5a9c544e47e8,Remote-Zugriffssoftware
Infotainmentsystem,App-Integrationssystem,BackendAnbindungssystem,a9f7f70a-d28d-43a5-80b0-1e1686abb0c0,Cloud-API-Client
Infotainmentsystem,App-Integrationssystem,BackendAnbindungssystem,c0fea744-114d-41e0-964b-687eb4b5a878,Geräteüberwachungssoftware
Infotainmentsystem,App-Integrationssystem,BackendAnbindungssystem,5a5006c1-8e83-48ef-81a1-dc2de71614b3,Rechte-Management-Software
Infotainmentsystem,App-Integrationssystem,BackendAnbindungssystem,dfde2aae-d201-42dd-931e-e842e2b884a9,Datensynchronisationssoftware
Infotainmentsystem,App-Integrationssystem,BackendAnbindungssystem,5bcb5cf9-ee6b-4748-96a3-d7436adaeaed,Prozessüberwachungssoftware
Infotainmentsystem,App-Integrationssystem,BackendAnbindungssystem,b635d066-b734-44a8-ab43-59100a3d9c0f,Debugging-Software
Infotainmentsystem,App-Integrationssystem,BackendAnbindungssystem,b4ed41c1-78fd-44ac-a022-76b65e6a1696,Performance-Monitoring-Software
Infotainmentsystem,App-Integrationssystem,BackendAnbindungssystem,b0f9b672-00d7-46a7-94e5-7a7c166d23d7,Protokollierungssoftware
Infotainmentsystem,App-Integrationssystem,BackendAnbindungssystem,1f1e332a-3cbb-4fcf-859c-68eed54ff2a0,Netzwerkmanagementsoftware
