Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Energiesystem,Batteriethermomanagementsystem,Batterieheizsystem,70d9dab4-20f6-4b79-b259-0d439f8d96e8,Thermosensor
Energiesystem,Batteriethermomanagementsystem,Batterieheizsystem,17206294-fe6c-484c-8101-67b1e920fe9d,Heizelement
Energiesystem,Batteriethermomanagementsystem,Batterieheizsystem,9296179f-9a97-4a89-8a0e-a9b9ff35a25c,Temperaturfühler
Energiesystem,Batteriethermomanagementsystem,Batterieheizsystem,1bbecbd0-8665-41cd-af5c-784974d1ec54,Kühlmittelpumpe
Energiesystem,Batteriethermomanagementsystem,Batterieheizsystem,92ca4116-d910-4944-8b7a-154ce862094d,Leitungsanschlüsse
Energiesystem,Batteriethermomanagementsystem,Batterieheizsystem,670b9391-0a6c-4b2a-a0d3-4bdb6d9a508a,Relais
Energiesystem,Batteriethermomanagementsystem,Batterieheizsystem,be35fe63-aebe-410b-aa67-4cbd944657fc,Spannungswandler
Energiesystem,Batteriethermomanagementsystem,Batterieheizsystem,f366ffed-d6a4-42cb-bfbe-848b807dc8e7,Steckverbinder
Energiesystem,Batteriethermomanagementsystem,Batterieheizsystem,bf97ef87-73be-410e-9b43-b59cb0c6e569,Isolationsmaterial
Energiesystem,Batteriethermomanagementsystem,Batterieheizsystem,c05d8bf5-219f-4d28-bdba-bd1b9365c2d0,Wärmeleitpaste
Energiesystem,Batteriethermomanagementsystem,Batterieheizsystem,c223a0b9-c028-4577-8e2c-23f7e1a39288,Schutzgehäuse
Energiesystem,Batteriethermomanagementsystem,Batterieheizsystem,ed9ae30a-002e-4d04-9daf-e19e0dcf856b,Kühlmittelschläuche
Energiesystem,Batteriethermomanagementsystem,Batterieheizsystem,d321bce1-6c06-4215-bff4-1c45121a6d1c,Temperaturregler
Energiesystem,Batteriethermomanagementsystem,Batterieheizsystem,23ac210a-0516-47e7-95f2-51fc6218605d,Heizfolien
Energiesystem,Batteriethermomanagementsystem,Batterieheizsystem,bc8dc7c6-c1d5-4af3-8db0-ed025f64b9ff,Leistungsschalter
Energiesystem,Batteriethermomanagementsystem,Batterieheizsystem,3eacd3de-333b-45c8-b07b-5a532af4fe4e,Diagnosestecker
