Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Energiesystem,Batteriethermomanagementsystem,Batterieklimadiagnosesystem,dc0f7ced-8a46-4242-9ad2-6aa55c2d5332,Temperatursensor
Energiesystem,Batteriethermomanagementsystem,Batterieklimadiagnosesystem,d3b1a52f-4b4f-485f-a60f-3d77c4d54095,Kühlmittelpumpe
Energiesystem,Batteriethermomanagementsystem,Batterieklimadiagnosesystem,5d53ef85-be8d-4f37-8644-1af46ec5efcb,Kühlmittelventil
Energiesystem,Batteriethermomanagementsystem,Batterieklimadiagnosesystem,2bb58490-abdf-477f-907e-4c307b3b947a,Kühlmittelschlauch
Energiesystem,Batteriethermomanagementsystem,Batterieklimadiagnosesystem,892f8dcf-25de-4474-bdb7-02895eb40a1b,Kühlmittelreservoir
Energiesystem,Batteriethermomanagementsystem,Batterieklimadiagnosesystem,79d6ac51-2bed-4096-8877-02a35e7c6044,Wärmetauscher
Energiesystem,Batteriethermomanagementsystem,Batterieklimadiagnosesystem,fca6f4f3-4819-4947-91f3-223dbe54cd5a,Kühlmitteltemperaturfühler
Energiesystem,Batteriethermomanagementsystem,Batterieklimadiagnosesystem,685603f0-a1eb-4a71-a57b-53b7faa27bf8,Drucksensor
Energiesystem,Batteriethermomanagementsystem,Batterieklimadiagnosesystem,79bed53e-5628-4b8d-b61c-de2b51988696,Kühlmittelstandsensor
Energiesystem,Batteriethermomanagementsystem,Batterieklimadiagnosesystem,4f47fb37-66fe-4437-9bed-35d77ac417b8,Lüftermotor
Energiesystem,Batteriethermomanagementsystem,Batterieklimadiagnosesystem,9d98473c-4092-4b0c-8adf-2cc53a5c5e7d,Lüftersteuergerät
Energiesystem,Batteriethermomanagementsystem,Batterieklimadiagnosesystem,cf7b6ea4-aa0e-4940-9033-3d7da0efb08c,Kühlmittelkühler
Energiesystem,Batteriethermomanagementsystem,Batterieklimadiagnosesystem,66d44ff2-4490-49f8-9e25-8d32a6be8f59,Kühlmittelheizmodul
Energiesystem,Batteriethermomanagementsystem,Batterieklimadiagnosesystem,6de261c1-eec5-453c-880a-823f315d43d8,Kühlmittelkreislaufsteuerung
Energiesystem,Batteriethermomanagementsystem,Batterieklimadiagnosesystem,f9b21daf-189b-4740-82ac-ee18222d7ece,Heizwiderstand
Energiesystem,Batteriethermomanagementsystem,Batterieklimadiagnosesystem,85549429-c138-4058-b57d-b910685efa60,Leistungselektronikmodul
Energiesystem,Batteriethermomanagementsystem,Batterieklimadiagnosesystem,7af2dfc5-0de2-4c65-9d36-594eec0d91b3,Relaismodul
Energiesystem,Batteriethermomanagementsystem,Batterieklimadiagnosesystem,67489a10-6fd9-467e-9463-3945012a6a3d,Steckverbinder
Energiesystem,Batteriethermomanagementsystem,Batterieklimadiagnosesystem,98556271-c88b-4866-a98d-5962e1459acd,Kabelbaum
Energiesystem,Batteriethermomanagementsystem,Batterieklimadiagnosesystem,7c88e723-6693-425a-8a11-91a7ba5f2861,Diagnosestecker
Energiesystem,Batteriethermomanagementsystem,Batterieklimadiagnosesystem,8a777c7c-7b1d-41e7-bc9d-4f97d7be8e0c,Temperaturfühlergehäuse
Energiesystem,Batteriethermomanagementsystem,Batterieklimadiagnosesystem,a199ae1f-c733-43fb-b7a3-de0f99e8a5e9,Isolationsmaterial
Energiesystem,Batteriethermomanagementsystem,Batterieklimadiagnosesystem,e2078705-ebcf-43a9-9410-b5871b86d193,Kühlmittelanschluss
Energiesystem,Batteriethermomanagementsystem,Batterieklimadiagnosesystem,f87ccb75-b6ac-4a5b-9f9e-d034ac39ffb8,Schutzgehäuse
Energiesystem,Batteriethermomanagementsystem,Batterieklimadiagnosesystem,49d377e0-0302-4156-a60b-d278fd89e685,Montagehalterung
Energiesystem,Batteriethermomanagementsystem,Batterieklimadiagnosesystem,e7d2a40a-a55b-4a26-98cf-5813757be672,Schraubverbindungen
Energiesystem,Batteriethermomanagementsystem,Batterieklimadiagnosesystem,c5e84368-ebd4-4732-a444-1f6b898a39a0,Dichtungen
Energiesystem,Batteriethermomanagementsystem,Batterieklimadiagnosesystem,cce5c5f0-de78-48e2-b9e7-c48a47518508,Filterelemente
Energiesystem,Batteriethermomanagementsystem,Batterieklimadiagnosesystem,d3179ec6-ba33-490c-9ff7-94324b40b402,Schwingungsdämpfer
Energiesystem,Batteriethermomanagementsystem,Batterieklimadiagnosesystem,07f69fb4-e730-4d33-ba50-9e3a27af99d1,Diagnoseinterface
Energiesystem,Batteriethermomanagementsystem,Batterieklimadiagnosesystem,7cec7582-a25b-42ab-b93d-b6ea1be9314a,Temperaturüberwachungssoftware
Energiesystem,Batteriethermomanagementsystem,Batterieklimadiagnosesystem,ac731030-6fc9-454e-8f50-2b8aed05583e,Kühlmittelkreislaufsteuerung
Energiesystem,Batteriethermomanagementsystem,Batterieklimadiagnosesystem,06b12932-493e-42c7-96ed-a662feed035a,Diagnosealgorithmus
Energiesystem,Batteriethermomanagementsystem,Batterieklimadiagnosesystem,fabe746b-9829-44a4-ba06-a4789402c421,Fehlererkennungssystem
Energiesystem,Batteriethermomanagementsystem,Batterieklimadiagnosesystem,adc1ecc8-57fc-4742-8636-d7038b1ba752,Sensorüberwachungssystem
Energiesystem,Batteriethermomanagementsystem,Batterieklimadiagnosesystem,6839656c-f633-4066-b64f-7efee27f8967,Kommunikationsprotokollsoftware
Energiesystem,Batteriethermomanagementsystem,Batterieklimadiagnosesystem,69fe5676-9874-4b31-a96a-2f6eed3cf2e5,Steuerungslogik
Energiesystem,Batteriethermomanagementsystem,Batterieklimadiagnosesystem,0faaaeb5-e7db-4fbf-a3d1-08e0eb4ffe86,Softwareupdate-Modul
Energiesystem,Batteriethermomanagementsystem,Batterieklimadiagnosesystem,34b4f2f9-7102-4ad2-b97e-c6cd348752d3,Fehlerspeicherverwaltung
Energiesystem,Batteriethermomanagementsystem,Batterieklimadiagnosesystem,9bca7051-519f-465f-928c-94f53c3d93e4,Diagnosedatenprotokollierung
Energiesystem,Batteriethermomanagementsystem,Batterieklimadiagnosesystem,e1783298-cb9c-446c-8e2d-eb337500c0b0,Temperaturregelungsalgorithmus
Energiesystem,Batteriethermomanagementsystem,Batterieklimadiagnosesystem,74e80b39-d950-46ac-9aa3-34755d234684,Leistungsoptimierungssoftware
Energiesystem,Batteriethermomanagementsystem,Batterieklimadiagnosesystem,60840ec1-18c6-49c1-ba92-1362bfc69646,Fehlercode-Übersetzungssystem
Energiesystem,Batteriethermomanagementsystem,Batterieklimadiagnosesystem,a54452c6-72c1-4884-9a99-e649fd29bd68,Software für Echtzeitüberwachung
Energiesystem,Batteriethermomanagementsystem,Batterieklimadiagnosesystem,cdd55b8f-3dfa-4d90-b2fc-ca9dfdb0467d,Kalibrierungssoftware
Energiesystem,Batteriethermomanagementsystem,Batterieklimadiagnosesystem,2e982432-7e9d-43b3-852a-efb0ce292f0b,Simulationstools
Energiesystem,Batteriethermomanagementsystem,Batterieklimadiagnosesystem,0ec6857e-f244-43ea-a258-6fe59acf5b2e,Diagnoseberichtgenerator
Energiesystem,Batteriethermomanagementsystem,Batterieklimadiagnosesystem,7d81fdb2-6b5b-4ac5-97c7-78ef9247dea8,Software für Datenanalyse
Energiesystem,Batteriethermomanagementsystem,Batterieklimadiagnosesystem,5d2d9e9d-22f5-4ab8-be98-a283f71a0e52,Sensorabgleichsoftware
Energiesystem,Batteriethermomanagementsystem,Batterieklimadiagnosesystem,b2bbcf43-5e30-46cb-a078-47aa4122278c,Fehlerprognosesystem
Energiesystem,Batteriethermomanagementsystem,Batterieklimadiagnosesystem,f351523e-7508-4af0-ba78-a9ec6db12027,Software für Sicherheitsabschaltung
Energiesystem,Batteriethermomanagementsystem,Batterieklimadiagnosesystem,1e20120a-8bc5-4614-b686-e1171b3b0dfe,Software für Wärmemanagement
Energiesystem,Batteriethermomanagementsystem,Batterieklimadiagnosesystem,cba88788-b774-42f6-ba02-8bb6ca1d61a0,Software für Energieeffizienz
Energiesystem,Batteriethermomanagementsystem,Batterieklimadiagnosesystem,52444cfe-553c-4580-b524-62ecf433beb0,Software für Systemintegration
Energiesystem,Batteriethermomanagementsystem,Batterieklimadiagnosesystem,92ad3e5f-9795-4058-92ea-a01c692598da,Software für Benutzeroberfläche
Energiesystem,Batteriethermomanagementsystem,Batterieklimadiagnosesystem,9d9181a3-5d92-4c14-8843-1db11eee2148,Software für Fernwartung
Energiesystem,Batteriethermomanagementsystem,Batterieklimadiagnosesystem,ba4d9d8a-40e4-4366-9ff3-d1478bedeabc,Software für Datenverschlüsselung
Energiesystem,Batteriethermomanagementsystem,Batterieklimadiagnosesystem,9e702c0c-2e0a-4580-885f-e9c49791caca,Software für Kommunikationsschnittstellen
Energiesystem,Batteriethermomanagementsystem,Batterieklimadiagnosesystem,41fd7329-ecf1-4652-b578-a3be70ccf268,Software für Systemtests
Energiesystem,Batteriethermomanagementsystem,Batterieklimadiagnosesystem,51800716-3e10-4d93-9183-a4bdb856fde1,Software für Fehlerbehebung
