Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Energiesystem,Batteriethermomanagementsystem,Batteriekühlsystem,9ce7ed0a-7e7f-40cb-a71e-c9fec043e5af,Kühlmittelpumpe
Energiesystem,Batteriethermomanagementsystem,Batteriekühlsystem,cd6d0f71-30ff-425e-90cf-9c42c0d3a452,Kühlmittelventil
Energiesystem,Batteriethermomanagementsystem,Batteriekühlsystem,23da3faa-2ffd-4684-897a-7971aa7184c9,Kühlmittelsensor
Energiesystem,Batteriethermomanagementsystem,Batteriekühlsystem,17858d12-dfed-41a1-a75c-1857652c73fe,Kühlmittelleitung
Energiesystem,Batteriethermomanagementsystem,Batteriekühlsystem,ea39925a-fc8f-47ec-b075-22af57601597,Kühlmittelbehälter
Energiesystem,Batteriethermomanagementsystem,Batteriekühlsystem,de7ff4e0-fc60-4e26-b30f-4dd88da3f36f,Kühlmittelanschluss
Energiesystem,Batteriethermomanagementsystem,Batteriekühlsystem,31b8a55f-130e-4a38-b96e-0c2f07e40244,Kühlmittelwärmetauscher
Energiesystem,Batteriethermomanagementsystem,Batteriekühlsystem,a375feed-f8d3-4847-9a04-b22244d7d69d,Kühlmittelkühler
Energiesystem,Batteriethermomanagementsystem,Batteriekühlsystem,b00380a8-2de0-4ded-bcd6-aa09a2bd7a50,Kühlmittelregelventil
Energiesystem,Batteriethermomanagementsystem,Batteriekühlsystem,b182e317-86cb-4b93-a055-a7d68301790d,Kühlmittelüberwachungssensor
Energiesystem,Batteriethermomanagementsystem,Batteriekühlsystem,ca2c56a3-8091-4101-ac20-d81e880793cf,Kühlmittelkreislaufmodul
Energiesystem,Batteriethermomanagementsystem,Batteriekühlsystem,0e565868-fce4-46cd-a9e6-b06343012c31,Kühlmitteltemperatursensor
Energiesystem,Batteriethermomanagementsystem,Batteriekühlsystem,331645b4-a53b-4eff-a546-f8f8177f0618,Kühlmittelströmungssensor
Energiesystem,Batteriethermomanagementsystem,Batteriekühlsystem,4031a4c0-0bc3-4c8d-8333-03083d1b1872,Kühlmittelstandsensor
Energiesystem,Batteriethermomanagementsystem,Batteriekühlsystem,4043a76b-f378-45c0-8a8e-19edb3f18abd,Kühlmittelverteiler
Energiesystem,Batteriethermomanagementsystem,Batteriekühlsystem,40f4a800-0a2a-4932-9df6-1d84b0bdacca,Kühlmittelrücklaufleitung
Energiesystem,Batteriethermomanagementsystem,Batteriekühlsystem,fcfd6a49-6226-4e06-b45a-77762bbd3725,Kühlmittelzufuhrleitung
Energiesystem,Batteriethermomanagementsystem,Batteriekühlsystem,a1b8a953-f48e-4c2b-9fd8-843662c08803,Kühlmittelkreislaufsteuerung
Energiesystem,Batteriethermomanagementsystem,Batteriekühlsystem,3789fe3c-859d-4b80-9920-52290b2b2c04,Kühlmittelkondensator
Energiesystem,Batteriethermomanagementsystem,Batteriekühlsystem,c220aea7-b18d-4ca5-8b3d-39c36352bd4f,Kühlmittelkompressor
Energiesystem,Batteriethermomanagementsystem,Batteriekühlsystem,7adcdd33-7712-46a9-b08c-667e91a5131b,Kühlmittelverdampfer
Energiesystem,Batteriethermomanagementsystem,Batteriekühlsystem,5255a550-02da-4441-9308-50c2a8819d11,Kühlmittelabscheider
Energiesystem,Batteriethermomanagementsystem,Batteriekühlsystem,aecb4b9b-52f2-418a-a04d-3917bc419664,Kühlmittelisolierung
Energiesystem,Batteriethermomanagementsystem,Batteriekühlsystem,8dc04930-f2e6-46a0-8f8f-14eb818f3719,Kühlmittelventilsteuerung
Energiesystem,Batteriethermomanagementsystem,Batteriekühlsystem,a618d7e8-46c2-476b-a77c-09927684a405,Kühlmittelkreislaufüberwachung
Energiesystem,Batteriethermomanagementsystem,Batteriekühlsystem,814ec9e1-d8d9-4719-9469-0650bee348b2,Kühlmittelkreislaufanschluss
