Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Energiesystem,Energiespeichersystem,Batteriemodulsystem,81e9eb7f-069c-4954-a21e-21c66a52011b,Zellmodule
Energiesystem,Energiespeichersystem,Batteriemodulsystem,d4cad29b-6fac-4afe-ac41-7b4fde5d1ed7,Batteriezellen
Energiesystem,Energiespeichersystem,Batteriemodulsystem,6ea343ac-aae2-45e1-83dc-8c3723f6a0f0,Batteriekontaktierungseinheit
Energiesystem,Energiespeichersystem,Batteriemodulsystem,7982de74-710a-4e38-b225-ced08468b30c,Batteriekühlplatten
Energiesystem,Energiespeichersystem,Batteriemodulsystem,7f3186f7-6017-451e-aa94-a3172e7d6110,Batteriegehäuse
Energiesystem,Energiespeichersystem,Batteriemodulsystem,e8625ebf-401e-4939-bdf7-63cd4243a5eb,Batterieanschlussklemmen
Energiesystem,Energiespeichersystem,Batteriemodulsystem,fc4bfd74-bd71-48f2-bdea-a198f9e5492d,Batterieisolationsmaterial
Energiesystem,Energiespeichersystem,Batteriemodulsystem,d3cb5ddd-cb65-4da9-b937-dbdaa441cbdf,Batterietemperatursensoren
Energiesystem,Energiespeichersystem,Batteriemodulsystem,6206a549-3289-48a9-abcc-3141c4b68a32,Batteriespannungssensoren
Energiesystem,Energiespeichersystem,Batteriemodulsystem,7e86668e-a215-4a15-a85f-191343b5ef27,Batteriestromsensoren
Energiesystem,Energiespeichersystem,Batteriemodulsystem,1f2f0718-9614-4b23-b645-d93468105985,Batterieüberwachungseinheit
Energiesystem,Energiespeichersystem,Batteriemodulsystem,e87ea017-ca17-45b9-8329-4c16b065b789,Batterieheizelemente
Energiesystem,Energiespeichersystem,Batteriemodulsystem,27fb80d9-0211-41ab-8189-584d2f5e1fce,Batterieventile
Energiesystem,Energiespeichersystem,Batteriemodulsystem,0070dbb3-d788-4929-b411-6c95d73ad063,Batteriehalterungen
Energiesystem,Energiespeichersystem,Batteriemodulsystem,43734291-1438-4298-8126-0df94371297f,Batterieverkabelung
