Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Energiesystem,Energiespeichersystem,Batteriesicherheitsschutzsystem,17684a62-afde-4428-80f8-d13a24060fde,Sensor für Batterietemperatur
Energiesystem,Energiespeichersystem,Batteriesicherheitsschutzsystem,93de9d54-f8f9-4496-a22f-83229b6fb3bc,Sensor für Batteriedruck
Energiesystem,Energiespeichersystem,Batteriesicherheitsschutzsystem,f23a5e6b-1f7a-43f0-8928-e6502962b127,Sensor für Batteriezellenspannung
Energiesystem,Energiespeichersystem,Batteriesicherheitsschutzsystem,98be8b71-2aa8-4e0d-9b22-a076a4f45790,Sensor für Batteriezellenstrom
Energiesystem,Energiespeichersystem,Batteriesicherheitsschutzsystem,657afc29-b6ee-48b2-a5a1-b2236ac49c4e,Sensor für Batteriezellenfeuchtigkeit
Energiesystem,Energiespeichersystem,Batteriesicherheitsschutzsystem,a547be27-d0d7-4921-a444-cd9ba5b205af,Sensor für Batteriezellenvibration
Energiesystem,Energiespeichersystem,Batteriesicherheitsschutzsystem,b4b07db9-6bf1-432c-9c14-6f83d35142e7,Sensor für Batteriezellenkapazität
Energiesystem,Energiespeichersystem,Batteriesicherheitsschutzsystem,02c9465e-3071-4ccc-bbc5-e8348445050f,Sensor für Batteriezellenwiderstand
Energiesystem,Energiespeichersystem,Batteriesicherheitsschutzsystem,a3bbea2f-abc6-4674-9868-43555de24657,Sensor für Batteriezellenladung
Energiesystem,Energiespeichersystem,Batteriesicherheitsschutzsystem,ce346c8e-9599-4c94-b006-924fd56ba507,Sensor für Batteriezellenentladung
Energiesystem,Energiespeichersystem,Batteriesicherheitsschutzsystem,7d9f309b-2919-439e-9f8b-505e9a812009,Sensor für Batteriezellenisolation
Energiesystem,Energiespeichersystem,Batteriesicherheitsschutzsystem,511018d1-b9f0-408a-981f-2e3060074cc8,Sensor für Batteriezellenüberhitzung
Energiesystem,Energiespeichersystem,Batteriesicherheitsschutzsystem,85d80a9c-8cd4-4f8b-8a01-6106f0ad642d,Sensor für Batteriezellenunterkühlung
Energiesystem,Energiespeichersystem,Batteriesicherheitsschutzsystem,3cd2cf6b-1bff-4f19-98e6-58e1d69d45ae,Sensor für Batteriezellenkorrosion
Energiesystem,Energiespeichersystem,Batteriesicherheitsschutzsystem,a8b74fae-3cf7-468c-a644-22794b369b68,Sensor für Batteriezellenalterung
Energiesystem,Energiespeichersystem,Batteriesicherheitsschutzsystem,35ed4f8f-ba2f-4554-aa66-0550a441b332,Sensor für Batteriezellenverformung
Energiesystem,Energiespeichersystem,Batteriesicherheitsschutzsystem,645990d8-2040-4c59-aa2d-7e7618430423,Sensor für Batteriezellenbruch
Energiesystem,Energiespeichersystem,Batteriesicherheitsschutzsystem,33f3a3fc-e339-4cca-a4bd-9812cf04703e,Sensor für Batteriezellenleckage
Energiesystem,Energiespeichersystem,Batteriesicherheitsschutzsystem,f1f2d6be-d949-40f7-b24f-407f6fce033a,Sensor für Batteriezellenexplosion
Energiesystem,Energiespeichersystem,Batteriesicherheitsschutzsystem,882191f6-b5fe-4f04-bbba-0a66c6c464fb,Sensor für Batteriezellenbrand
Energiesystem,Energiespeichersystem,Batteriesicherheitsschutzsystem,60dbf6ad-4b93-4925-9a9c-5f04c641ce64,Sensor für Batteriezellenüberladung
Energiesystem,Energiespeichersystem,Batteriesicherheitsschutzsystem,d0eca6e1-3872-416d-a51c-1034587eb136,Sensor für Batteriezellenunterladung
Energiesystem,Energiespeichersystem,Batteriesicherheitsschutzsystem,10e17600-d754-4ab4-b241-cda89891c43c,Sensor für Batteriezellenstromfluss
