Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Fahrsystem,Bremssystem,Betriebsbremssteuerungssystem,b65c4ebe-53f8-439b-84de-07d2f33767fc,Hydraulikpumpe
Fahrsystem,Bremssystem,Betriebsbremssteuerungssystem,412239df-8b7c-4b06-b4f6-b419a72cf527,Bremsdrucksensor
Fahrsystem,Bremssystem,Betriebsbremssteuerungssystem,6b3fe35d-f3e4-4c2a-8ed6-b8c53643bdba,Bremskraftverstärker
Fahrsystem,Bremssystem,Betriebsbremssteuerungssystem,11e2d025-1c77-46ac-b596-0b51b233a862,Bremsflüssigkeitsbehälter
Fahrsystem,Bremssystem,Betriebsbremssteuerungssystem,5cc5553a-d333-4797-adf7-177c7f179244,Bremsleitungen
Fahrsystem,Bremssystem,Betriebsbremssteuerungssystem,3f02aa5e-e50f-4687-9adf-f2e81513eee6,Bremsventil
Fahrsystem,Bremssystem,Betriebsbremssteuerungssystem,d0997280-20e2-477f-94f9-f1e51cdd669a,Bremszylinder
Fahrsystem,Bremssystem,Betriebsbremssteuerungssystem,5347d02c-d847-4af0-8479-9652b1e5c679,Bremsbeläge
Fahrsystem,Bremssystem,Betriebsbremssteuerungssystem,19e16397-38f9-40d2-aec0-3463e0591fdb,Bremsscheiben
Fahrsystem,Bremssystem,Betriebsbremssteuerungssystem,307bac31-f6d5-4ae8-a19d-9d3a0bdc6075,Bremsbacken
Fahrsystem,Bremssystem,Betriebsbremssteuerungssystem,9d2e1cab-fc38-4d8d-9d55-615be9584e97,Bremslichtschalter
Fahrsystem,Bremssystem,Betriebsbremssteuerungssystem,88d6a299-eb3f-49d3-a46c-a59eb6b00188,ABS-Sensor
Fahrsystem,Bremssystem,Betriebsbremssteuerungssystem,a3c64aac-427f-481b-ad65-a2701f1022b4,Radgeschwindigkeitssensor
Fahrsystem,Bremssystem,Betriebsbremssteuerungssystem,442f9df8-2843-4b28-8148-d8472b7e8b05,Steuergerätgehäuse
Fahrsystem,Bremssystem,Betriebsbremssteuerungssystem,198bb0ba-b322-479d-90e4-186ccde5fff6,Elektrische Anschlüsse
Fahrsystem,Bremssystem,Betriebsbremssteuerungssystem,848dcb36-a701-4895-977a-945c385ecc78,Relais
Fahrsystem,Bremssystem,Betriebsbremssteuerungssystem,d6815708-efc6-4060-b531-a4873c733cb5,Magnetventil
