Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Energiesystem,Spannungswandlungssystem,BidirektionalesWandlungssystem,922f6efa-f3f7-4fd2-a7f5-c68e44b365d1,Leistungstransistor
Energiesystem,Spannungswandlungssystem,BidirektionalesWandlungssystem,e24aa7c7-fb56-41d3-9633-f6a7e26ca776,Induktionsspule
Energiesystem,Spannungswandlungssystem,BidirektionalesWandlungssystem,cc00cb14-d2ac-4e2d-9b20-e476690ebd1c,Transformator
Energiesystem,Spannungswandlungssystem,BidirektionalesWandlungssystem,f713c7af-f221-4618-8b01-593c8d97a470,Leistungsdioden
Energiesystem,Spannungswandlungssystem,BidirektionalesWandlungssystem,06c5793c-6791-4251-9c38-7f75b5978e31,Kondensator
Energiesystem,Spannungswandlungssystem,BidirektionalesWandlungssystem,38222eb0-b142-4309-93c2-69c41d3a077c,Leistungswandler
Energiesystem,Spannungswandlungssystem,BidirektionalesWandlungssystem,fba12f6e-17a2-458a-b925-a79ad47f8678,Spannungsregler
Energiesystem,Spannungswandlungssystem,BidirektionalesWandlungssystem,b85a4bb3-53bc-4db7-8160-8b031373d4a6,Leistungsschalter
Energiesystem,Spannungswandlungssystem,BidirektionalesWandlungssystem,839b4e4d-be00-4a8b-853d-033da7089ccb,Stromsensor
Energiesystem,Spannungswandlungssystem,BidirektionalesWandlungssystem,b7bf2cb2-6c51-48b4-95cc-0ae87ef0f013,Temperatursensor
Energiesystem,Spannungswandlungssystem,BidirektionalesWandlungssystem,365b6ec0-0ecd-45a1-a4ad-59f609cb1960,Leistungsmodul
Energiesystem,Spannungswandlungssystem,BidirektionalesWandlungssystem,fcf8e824-09ce-4be4-b9b3-9d452236bd35,PCB-Leiterplatte
Energiesystem,Spannungswandlungssystem,BidirektionalesWandlungssystem,054700c5-021a-439c-ba7d-141a3a61a39d,Kühlkörper
Energiesystem,Spannungswandlungssystem,BidirektionalesWandlungssystem,919f063d-b386-48a7-b61a-1b71b1455caf,Isolationsmaterial
Energiesystem,Spannungswandlungssystem,BidirektionalesWandlungssystem,96ea85ae-5df1-4db1-9b0a-51f4293aa87b,Steckverbinder
Energiesystem,Spannungswandlungssystem,BidirektionalesWandlungssystem,9f07d520-f596-4121-814e-f0450455e227,Leitungen
Energiesystem,Spannungswandlungssystem,BidirektionalesWandlungssystem,b018d2be-5278-47f3-a453-aa51fe0e0cbc,Kabelbaum
Energiesystem,Spannungswandlungssystem,BidirektionalesWandlungssystem,4e9c40f0-1ceb-4f06-a9c0-c0462f76d54a,EMV-Filter
Energiesystem,Spannungswandlungssystem,BidirektionalesWandlungssystem,05ea1ad0-727d-47bc-ba7f-8973e85fdc47,Relais
Energiesystem,Spannungswandlungssystem,BidirektionalesWandlungssystem,75b806dc-420f-4d15-b408-a0e829768df6,Schutzschalter
Energiesystem,Spannungswandlungssystem,BidirektionalesWandlungssystem,d114b7bc-8160-4b92-a7f2-ee6dd0712483,DC-DC-Wandler
Energiesystem,Spannungswandlungssystem,BidirektionalesWandlungssystem,794a5656-da85-4555-9dfc-74e2669dbfef,AC-DC-Wandler
Energiesystem,Spannungswandlungssystem,BidirektionalesWandlungssystem,7dd03a58-627f-4f26-bd2a-fefd20529522,Gate-Treiber
Energiesystem,Spannungswandlungssystem,BidirektionalesWandlungssystem,95a3ff30-2be2-41e0-a94a-cd2879ae7280,Stromverteiler
Energiesystem,Spannungswandlungssystem,BidirektionalesWandlungssystem,cdd77904-d7aa-4e2d-9ecc-0662fe87692b,Spannungsteiler
Energiesystem,Spannungswandlungssystem,BidirektionalesWandlungssystem,41e47cc1-0ba6-49e0-8cd5-e4c4bf31099c,Schutzdiode
Energiesystem,Spannungswandlungssystem,BidirektionalesWandlungssystem,c96f80a4-5357-431a-a2ea-52c15be4f68a,Optokoppler
Energiesystem,Spannungswandlungssystem,BidirektionalesWandlungssystem,deeab143-5d50-4eef-bcf4-8259b2afdd21,Schaltkreisgehäuse
Energiesystem,Spannungswandlungssystem,BidirektionalesWandlungssystem,5df07756-a1f0-465f-9a9d-bd5ae36e5cda,Signalverstärker
Energiesystem,Spannungswandlungssystem,BidirektionalesWandlungssystem,54b053a6-1db0-44bc-946f-9e7aaac6e039,Stromversorgungseinheit
Energiesystem,Spannungswandlungssystem,BidirektionalesWandlungssystem,154bdb6e-8631-4422-abb0-107228de3dad,Leistungssteuerungssoftware
Energiesystem,Spannungswandlungssystem,BidirektionalesWandlungssystem,3309f2f1-bf56-4962-82af-4055582f3126,Spannungsregelungssoftware
Energiesystem,Spannungswandlungssystem,BidirektionalesWandlungssystem,2dfb5033-f1d4-492f-badf-47209c9cc727,Stromüberwachungssoftware
Energiesystem,Spannungswandlungssystem,BidirektionalesWandlungssystem,b287a01c-daeb-4ae8-b04a-e37d7a303aab,Fehlerdiagnosesoftware
Energiesystem,Spannungswandlungssystem,BidirektionalesWandlungssystem,2c5b8ee4-f308-4217-af6d-386fa990f100,Kommunikationsprotokollsoftware
Energiesystem,Spannungswandlungssystem,BidirektionalesWandlungssystem,d4c2b3fa-be31-43bf-8efa-6b0a19a99ac8,EMV-Filtersoftware
Energiesystem,Spannungswandlungssystem,BidirektionalesWandlungssystem,6d6c4bf0-6731-445e-8372-fbfe07d423e9,Schutzschaltungssoftware
Energiesystem,Spannungswandlungssystem,BidirektionalesWandlungssystem,44626d18-f11c-4cfe-9a86-89e95c2eb118,Temperaturüberwachungssoftware
Energiesystem,Spannungswandlungssystem,BidirektionalesWandlungssystem,3b0a29b8-582e-44d5-bc2f-16fd6a86d232,Leistungsoptimierungssoftware
Energiesystem,Spannungswandlungssystem,BidirektionalesWandlungssystem,ef03fe58-f03d-4972-a3cc-026c999943d3,Signalverarbeitungssoftware
Energiesystem,Spannungswandlungssystem,BidirektionalesWandlungssystem,0d64361e-3b29-4b0e-9e92-62eba8ef717e,Gate-Treibersteuerung
Energiesystem,Spannungswandlungssystem,BidirektionalesWandlungssystem,133987d8-2304-4c02-af60-90084dcc2c95,Transformatorsteuerung
Energiesystem,Spannungswandlungssystem,BidirektionalesWandlungssystem,308c75f9-b8a1-4a64-9b84-9cd463edc918,Induktionsspulenmanagement
Energiesystem,Spannungswandlungssystem,BidirektionalesWandlungssystem,0d1108f9-7619-4389-a30e-bf1ded432733,Relaissteuerung
Energiesystem,Spannungswandlungssystem,BidirektionalesWandlungssystem,3c9b342f-0a8c-4211-bb05-eac1adb98fc4,Schutzschaltermanagement
Energiesystem,Spannungswandlungssystem,BidirektionalesWandlungssystem,f2fd5b76-7549-43b4-9578-f9752af4c935,DC-DC-Wandlersteuerung
Energiesystem,Spannungswandlungssystem,BidirektionalesWandlungssystem,c95d14ae-c951-4bb8-91e1-a48b9266a5d1,AC-DC-Wandlersteuerung
Energiesystem,Spannungswandlungssystem,BidirektionalesWandlungssystem,af247d6e-d232-43fd-89fa-214c34ab1ffd,Spannungsteilerregelung
Energiesystem,Spannungswandlungssystem,BidirektionalesWandlungssystem,230c973e-c31e-462c-9ab1-aaea780f38a1,Optokopplersteuerung
Energiesystem,Spannungswandlungssystem,BidirektionalesWandlungssystem,cc6d657c-c991-463d-95f1-a4b9a5b0724a,Stromsensorsoftware
Energiesystem,Spannungswandlungssystem,BidirektionalesWandlungssystem,9e578e14-76fd-401f-9297-697742284e0a,Leistungsmodulsteuerung
Energiesystem,Spannungswandlungssystem,BidirektionalesWandlungssystem,29223fc5-cb0c-4904-af7c-18dc27f5a50e,PCB-Diagnosesoftware
Energiesystem,Spannungswandlungssystem,BidirektionalesWandlungssystem,800b1cba-1757-420a-af3b-755d8abf2577,Kühlkörpermanagement
Energiesystem,Spannungswandlungssystem,BidirektionalesWandlungssystem,594d6671-bd61-4be1-bc34-96d196ad01ad,Isolationsüberwachung
Energiesystem,Spannungswandlungssystem,BidirektionalesWandlungssystem,ded717dd-029e-423a-a419-8058e6ba7037,Steckverbindersteuerung
Energiesystem,Spannungswandlungssystem,BidirektionalesWandlungssystem,2c5f3013-e5ec-48da-ab13-1796d89f2015,Kabelbaumdiagnose
Energiesystem,Spannungswandlungssystem,BidirektionalesWandlungssystem,e8ef1c5e-2182-4256-9452-ecaf4c62d7cd,Signalverstärkungssoftware
Energiesystem,Spannungswandlungssystem,BidirektionalesWandlungssystem,86089853-eb0d-4f3d-8806-2226fefe889f,Stromversorgungskontrolle
Energiesystem,Spannungswandlungssystem,BidirektionalesWandlungssystem,209b01ae-17fa-491c-9b74-08579aee3f15,Fehlerprotokollierung
Energiesystem,Spannungswandlungssystem,BidirektionalesWandlungssystem,76d6d8fb-cfb8-468c-87dc-645de4105e1f,Update-Management
