Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Fahrsystem,Bremssystem,Bremsdruckregelsystem,286761e8-1ddc-4573-be3d-02d3b2139e22,Hydraulikpumpe
Fahrsystem,Bremssystem,Bremsdruckregelsystem,4a4537db-52a5-4a9c-982b-7ef29336c24b,Bremsdrucksensor
Fahrsystem,Bremssystem,Bremsdruckregelsystem,1485c429-b12d-4c28-9890-452e7b390ba8,Bremsflüssigkeitsbehälter
Fahrsystem,Bremssystem,Bremsdruckregelsystem,3ad06c9e-2174-4779-9c5b-39d1490ea5df,Bremsleitungen
Fahrsystem,Bremssystem,Bremsdruckregelsystem,29bf8e58-81a3-4ba9-8ed7-c103d8b2c28b,Bremsventile
Fahrsystem,Bremssystem,Bremsdruckregelsystem,d220a77e-fb5a-4d9e-885d-0630acb27917,Bremskraftverstärker
Fahrsystem,Bremssystem,Bremsdruckregelsystem,cca2bf74-7828-407b-87db-d58d17cd2157,Bremszylinder
Fahrsystem,Bremssystem,Bremsdruckregelsystem,3ac6671c-1c30-4578-bbd7-51458a34acc3,Bremskolben
Fahrsystem,Bremssystem,Bremsdruckregelsystem,8b01f079-1c36-46a4-865d-cad150b12d40,Bremsbeläge
Fahrsystem,Bremssystem,Bremsdruckregelsystem,bf15b8ee-a532-4f76-8a54-63be183ff0ea,Bremsscheiben
Fahrsystem,Bremssystem,Bremsdruckregelsystem,8cb4ee68-e05d-4239-878a-3c310bdda56c,Bremsbacken
Fahrsystem,Bremssystem,Bremsdruckregelsystem,d4a61284-b4fe-4976-9f69-70c55f19443e,Bremslichtschalter
Fahrsystem,Bremssystem,Bremsdruckregelsystem,9329fc57-c116-4f87-9ecc-9f35d3535e11,ABS-Sensoren
Fahrsystem,Bremssystem,Bremsdruckregelsystem,125220dc-599d-492d-95d5-c34d857a442d,Radgeschwindigkeitssensoren
Fahrsystem,Bremssystem,Bremsdruckregelsystem,21e4ee1e-eb52-4a93-8d9b-c0b90f9feeb0,Hydraulikventilblock
Fahrsystem,Bremssystem,Bremsdruckregelsystem,6badf762-e5b6-4e18-9982-80655bccae9a,Bremsdruckmodulator
Fahrsystem,Bremssystem,Bremsdruckregelsystem,f19731c7-d73d-4be9-96ac-659dcdd230db,Bremsdruckverteiler
