Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Energiesystem,Energiesicherheitsabschaltsystem,Crashabschaltungssystem,d8d99db5-3d78-4d3e-b2aa-d14b38eb8b49,Relais
Energiesystem,Energiesicherheitsabschaltsystem,Crashabschaltungssystem,d7352e68-775f-456b-a5b7-4970dbc4b62f,Schaltkontakte
Energiesystem,Energiesicherheitsabschaltsystem,Crashabschaltungssystem,a400cb7d-00b4-4680-8214-415d53d0616f,Sicherungen
Energiesystem,Energiesicherheitsabschaltsystem,Crashabschaltungssystem,b28d25a0-88b1-4878-85a8-7320fcd0fe3a,Leistungsschalter
Energiesystem,Energiesicherheitsabschaltsystem,Crashabschaltungssystem,22b97764-3e68-480e-83ed-1eef6a50e7c3,Steckverbinder
Energiesystem,Energiesicherheitsabschaltsystem,Crashabschaltungssystem,f5cc0bbf-2cb7-475c-a494-61bbe651065d,Kabelbaum
Energiesystem,Energiesicherheitsabschaltsystem,Crashabschaltungssystem,45833718-3ff7-48ca-ab46-b6f8b7e03acb,Spannungssensoren
Energiesystem,Energiesicherheitsabschaltsystem,Crashabschaltungssystem,8211575e-9799-4e25-8521-e567e04fd1f5,Stromsensoren
Energiesystem,Energiesicherheitsabschaltsystem,Crashabschaltungssystem,95ccb8d1-2376-4268-90c0-0d7f6c63fb1e,Temperatursensoren
Energiesystem,Energiesicherheitsabschaltsystem,Crashabschaltungssystem,c055a707-13eb-4b45-873e-9c536ce9e2af,Crashsensoren
Energiesystem,Energiesicherheitsabschaltsystem,Crashabschaltungssystem,b72c9b21-e3c8-49c4-84d3-8b4c8304e1eb,IMU-Sensoren
Energiesystem,Energiesicherheitsabschaltsystem,Crashabschaltungssystem,bd0c6780-540f-4317-aa05-dd6806d264cb,Steuergerätgehäuse
Energiesystem,Energiesicherheitsabschaltsystem,Crashabschaltungssystem,74d5ec5e-b070-452d-b333-ebc2daa0099b,Leiterplatten
Energiesystem,Energiesicherheitsabschaltsystem,Crashabschaltungssystem,41058af8-bc39-4ae5-b89b-71e22e99f4cb,Microcontroller
