Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Energiesystem,Ladesystem,DC-Ladesystem,6029be4e-0b2d-4b64-9183-268c2e0877fd,DC-Ladeanschluss
Energiesystem,Ladesystem,DC-Ladesystem,acecfb58-dd7e-4b47-9067-1c02e8c598a5,Leistungselektronikmodul
Energiesystem,Ladesystem,DC-Ladesystem,deb48ded-abcc-4863-9d47-eb8c1b9f9002,DC-Ladekabel
Energiesystem,Ladesystem,DC-Ladesystem,974f6ddb-9a83-4bdc-adb8-42b565e55641,DC-Ladestecker
Energiesystem,Ladesystem,DC-Ladesystem,32d00c08-e17c-4e91-a16d-5690fc106990,DC-Ladebuchse
Energiesystem,Ladesystem,DC-Ladesystem,bfb4b7f9-1669-4341-9d51-13eb7b611c09,Isolationsüberwachungseinheit
Energiesystem,Ladesystem,DC-Ladesystem,58741ffb-9c20-4fda-9271-5ac39fcb87db,Temperatursensor
Energiesystem,Ladesystem,DC-Ladesystem,a9d3cfc8-e986-4c97-ab1c-303df00cd3ec,Spannungssensor
Energiesystem,Ladesystem,DC-Ladesystem,688e3e41-fb72-4aff-9afa-2f187fd08990,Stromsensor
Energiesystem,Ladesystem,DC-Ladesystem,a2f07800-b217-4874-9404-63e79fd56501,Kommunikationsmodul
Energiesystem,Ladesystem,DC-Ladesystem,458e8e70-58d6-481a-93ee-b5139860b4bf,Leistungswandler
Energiesystem,Ladesystem,DC-Ladesystem,8ebd03cd-5602-46bd-b664-2e24e15aa51c,Schutzschalter
Energiesystem,Ladesystem,DC-Ladesystem,ffe44cec-19bf-449d-978b-887be7ad15dc,Relaismodul
Energiesystem,Ladesystem,DC-Ladesystem,f09f369c-9f3a-4df1-9a97-c162a87d4139,Kühlkörper
Energiesystem,Ladesystem,DC-Ladesystem,e9f44d3f-8011-472a-8ab7-baebf4e0a304,Kühlmittelpumpe
Energiesystem,Ladesystem,DC-Ladesystem,6da33430-05fd-4f1a-bfb4-4c37a94116e3,Kühlmittelsensor
Energiesystem,Ladesystem,DC-Ladesystem,949f4a8c-fe3e-4838-93a2-8fa0d5fe9b6a,EMV-Filter
Energiesystem,Ladesystem,DC-Ladesystem,b825cd37-1b70-4910-a79a-4a718a37ddcc,DC-Spannungswandler
Energiesystem,Ladesystem,DC-Ladesystem,8c385405-d6b4-45c0-9c31-064b589b5c1b,DC-Stromwandler
Energiesystem,Ladesystem,DC-Ladesystem,d24366c6-02b4-49eb-a802-b458f18985cc,Leistungsinduktor
Energiesystem,Ladesystem,DC-Ladesystem,f504304b-6f38-432d-8024-a05e0508e041,Leistungskondensator
