Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Fahrsystem,Drehmomentverteilungssystem,Drehmomentdiagnosesystem,fe75e659-0c62-47ad-b1b3-6a0036c403b1,Sensor für Drehmomentmessung
Fahrsystem,Drehmomentverteilungssystem,Drehmomentdiagnosesystem,0fe51020-9d20-40bc-bfb2-cf7bebc3b380,Sensor für Achslastmessung
Fahrsystem,Drehmomentverteilungssystem,Drehmomentdiagnosesystem,dabeee19-796a-4df4-bf03-bd5becf6d2ad,Sensor für Radgeschwindigkeit
Fahrsystem,Drehmomentverteilungssystem,Drehmomentdiagnosesystem,5cac397e-0e66-4a8c-afda-ababf8f9c67c,Sensor für Lenkwinkel
Fahrsystem,Drehmomentverteilungssystem,Drehmomentdiagnosesystem,5f797365-1d18-4eac-bf10-1ed76824ba39,Sensor für Fahrzeugneigung
Fahrsystem,Drehmomentverteilungssystem,Drehmomentdiagnosesystem,70b09ae2-ea8d-40c9-854a-3445f9c95dcf,Sensor für Fahrzeugbeschleunigung
Fahrsystem,Drehmomentverteilungssystem,Drehmomentdiagnosesystem,e4bfb453-a7e4-4c19-aa5d-a7b348ab05a8,Sensor für Reifenschlupf
Fahrsystem,Drehmomentverteilungssystem,Drehmomentdiagnosesystem,1d5d0705-8793-4103-ac44-00490e08f8ec,Sensor für Bremsdruck
Fahrsystem,Drehmomentverteilungssystem,Drehmomentdiagnosesystem,94685480-86dc-4796-bf81-2e8c663864f3,Sensor für Motordrehzahl
Fahrsystem,Drehmomentverteilungssystem,Drehmomentdiagnosesystem,71c40c4b-2732-43e7-afd5-78210c63e849,Sensor für Getriebedrehzahl
Fahrsystem,Drehmomentverteilungssystem,Drehmomentdiagnosesystem,e979a11f-05a1-40e4-ae51-cde76dcf3689,Sensor für Kupplungszustand
Fahrsystem,Drehmomentverteilungssystem,Drehmomentdiagnosesystem,9b8835d8-bd4e-4857-83aa-d69de215eb25,Sensor für Temperatur
Fahrsystem,Drehmomentverteilungssystem,Drehmomentdiagnosesystem,812ad9d6-c43f-4c94-b6a9-90e8bc5c4c2a,Sensor für Vibrationsmessung
Fahrsystem,Drehmomentverteilungssystem,Drehmomentdiagnosesystem,da91da71-ec93-4c18-b321-450ea53931f4,Sensor für Achsbewegung
Fahrsystem,Drehmomentverteilungssystem,Drehmomentdiagnosesystem,70b3554d-6047-4214-8a31-e9ce1e6e1847,Sensor für Radlast
Fahrsystem,Drehmomentverteilungssystem,Drehmomentdiagnosesystem,63f59f5a-4962-4be0-bb8e-6c53f3e8c9fd,Sensor für Radposition
Fahrsystem,Drehmomentverteilungssystem,Drehmomentdiagnosesystem,4716555b-aac0-4df8-92e8-164c37207001,Sensor für Radschlupf
Fahrsystem,Drehmomentverteilungssystem,Drehmomentdiagnosesystem,3c0bcd4c-2a70-4ee9-a4cb-c33b65187a2f,Sensor für Achsverwindung
Fahrsystem,Drehmomentverteilungssystem,Drehmomentdiagnosesystem,dca77731-1446-4533-8116-036d5546df75,Sensor für Achssteifigkeit
Fahrsystem,Drehmomentverteilungssystem,Drehmomentdiagnosesystem,8ea21605-aeca-42a7-8e15-3106b3e9ed23,Sensor für Achsbewegung
Fahrsystem,Drehmomentverteilungssystem,Drehmomentdiagnosesystem,b369ea84-1d63-4ed5-9030-fd465afda48b,Sensor für Achsneigung
Fahrsystem,Drehmomentverteilungssystem,Drehmomentdiagnosesystem,c8717ac1-5598-446b-adb9-1a8db1917bdc,Sensor für Achsverformung
