Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Fahrsystem,Drehmomentverteilungssystem,Drehmomentpriorisierungssystem,eb845a95-68ba-489f-ac3e-abe6add180a6,Sensor für Drehmomentmessung
Fahrsystem,Drehmomentverteilungssystem,Drehmomentpriorisierungssystem,ecb2dd9e-23a8-46f7-9fc4-78e3c5756b7d,Sensor für Achslastmessung
Fahrsystem,Drehmomentverteilungssystem,Drehmomentpriorisierungssystem,b17865be-663b-4357-bce1-fa0858ac824d,Sensor für Radgeschwindigkeit
Fahrsystem,Drehmomentverteilungssystem,Drehmomentpriorisierungssystem,46b8efed-3010-4209-8092-a5d29ea9dc04,Sensor für Lenkwinkel
Fahrsystem,Drehmomentverteilungssystem,Drehmomentpriorisierungssystem,d2139c1b-d4f4-47a0-a0ac-e1d7e27e07be,Sensor für Fahrzeugneigung
Fahrsystem,Drehmomentverteilungssystem,Drehmomentpriorisierungssystem,446a500e-f377-4cfa-acdf-278bb30897ac,Sensor für Fahrzeugbeschleunigung
Fahrsystem,Drehmomentverteilungssystem,Drehmomentpriorisierungssystem,12a2bbb0-fb0e-49b1-a43b-86666a336c5f,Sensor für Reifenschlupf
Fahrsystem,Drehmomentverteilungssystem,Drehmomentpriorisierungssystem,c908f277-3087-4b7e-bde0-d027aef82c8c,Sensor für Bremsdruck
Fahrsystem,Drehmomentverteilungssystem,Drehmomentpriorisierungssystem,346ff801-f9ee-4eb4-837b-c1da55b62256,Sensor für Motordrehzahl
Fahrsystem,Drehmomentverteilungssystem,Drehmomentpriorisierungssystem,b047a3d6-c1f4-4242-b0eb-e9805ad1eac1,Sensor für Getriebedrehzahl
Fahrsystem,Drehmomentverteilungssystem,Drehmomentpriorisierungssystem,4dc75200-f3b2-4f72-8f3c-8f8c2566254b,Sensor für Kupplungszustand
Fahrsystem,Drehmomentverteilungssystem,Drehmomentpriorisierungssystem,9bae3d7b-8f08-48e1-b050-e481e01964c6,Sensor für Temperatur
Fahrsystem,Drehmomentverteilungssystem,Drehmomentpriorisierungssystem,d60d8907-53fb-4bd3-b968-4e404f7bacbb,Sensor für Vibrationsmessung
Fahrsystem,Drehmomentverteilungssystem,Drehmomentpriorisierungssystem,4df35bf0-0cd7-4828-874a-84c1027711b7,Sensor für Achsposition
Fahrsystem,Drehmomentverteilungssystem,Drehmomentpriorisierungssystem,77e968e1-628e-452d-98cc-4e1e211cc64f,Sensor für Radposition
Fahrsystem,Drehmomentverteilungssystem,Drehmomentpriorisierungssystem,00e78cf3-2816-44b2-b7b4-8bcc89864767,Sensor für Fahrzeuggeschwindigkeit
Fahrsystem,Drehmomentverteilungssystem,Drehmomentpriorisierungssystem,5ffe34f4-189c-4f6c-9389-87aef463cfe2,Sensor für Lastverteilung
Fahrsystem,Drehmomentverteilungssystem,Drehmomentpriorisierungssystem,05f54fbe-c565-409a-aec5-be8392cb54bb,Sensor für Antriebsleistung
Fahrsystem,Drehmomentverteilungssystem,Drehmomentpriorisierungssystem,0c02a606-f807-4af9-9601-985e5c58f893,Sensor für Bremsleistung
Fahrsystem,Drehmomentverteilungssystem,Drehmomentpriorisierungssystem,0bda19d9-48f0-4835-b616-62128986d6a9,Sensor für Energiefluss
Fahrsystem,Drehmomentverteilungssystem,Drehmomentpriorisierungssystem,874917b6-6edf-4510-a667-93a445afbaa1,Sensor für Batteriezustand
Fahrsystem,Drehmomentverteilungssystem,Drehmomentpriorisierungssystem,091873a6-f58a-4d56-841f-ab4f8a0d5473,Sensor für Steuergerätstatus
Fahrsystem,Drehmomentverteilungssystem,Drehmomentpriorisierungssystem,d492694a-78fe-4a11-a67c-aac8ec02955a,Sensor für Systemdiagnose
Fahrsystem,Drehmomentverteilungssystem,Drehmomentpriorisierungssystem,4056a01a-66da-4011-bf8d-f4e25b649a53,Sensor für Fahrzeugstabilität
Fahrsystem,Drehmomentverteilungssystem,Drehmomentpriorisierungssystem,61279de3-80a4-470a-ac88-4160113f796f,Sensor für Achssteuerung
