Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Bodysystem,Beleuchtungssystem,DynamischesSignalisierungssystem,3b73454f-6623-4f4e-a62e-a67bc2fe58f0,LED-Modul
Bodysystem,Beleuchtungssystem,DynamischesSignalisierungssystem,f34a7e32-01a7-4a99-8e8b-3786ad76edbe,LED-Treiber
Bodysystem,Beleuchtungssystem,DynamischesSignalisierungssystem,9101867a-03ea-413b-aac7-0e7bc1b0b386,Signalsteuergerät
Bodysystem,Beleuchtungssystem,DynamischesSignalisierungssystem,746f8149-f942-4518-b895-425f9fe0b982,Relaismodul
Bodysystem,Beleuchtungssystem,DynamischesSignalisierungssystem,768d33f8-85ac-46fa-8427-96d27e9165d0,Kabelbaum
Bodysystem,Beleuchtungssystem,DynamischesSignalisierungssystem,7fcc5dfb-bff7-4eef-92a1-52af9e0ede62,Steckverbinder
Bodysystem,Beleuchtungssystem,DynamischesSignalisierungssystem,cff0a5ce-18a6-4945-b9dc-32da40e2276d,Optische Linse
Bodysystem,Beleuchtungssystem,DynamischesSignalisierungssystem,c03eef74-620d-4960-bbb7-7d90bba10455,Gehäusematerial
Bodysystem,Beleuchtungssystem,DynamischesSignalisierungssystem,8467d68b-34cd-4334-9244-42ea76ac10b3,Temperatursensor
Bodysystem,Beleuchtungssystem,DynamischesSignalisierungssystem,6c0f1449-f1d0-49ab-91c5-e341439b4b15,Feuchtigkeitssensor
Bodysystem,Beleuchtungssystem,DynamischesSignalisierungssystem,f3a5894d-00df-4dd9-9159-56542cc34551,Spannungsregler
Bodysystem,Beleuchtungssystem,DynamischesSignalisierungssystem,bab285fe-f5b4-4b5d-970e-da0faa61095e,Stromsensor
Bodysystem,Beleuchtungssystem,DynamischesSignalisierungssystem,5cbf6ec4-3ae4-4dbd-8fc9-177ad74bb924,PCB-Platine
Bodysystem,Beleuchtungssystem,DynamischesSignalisierungssystem,f6ec90cf-4a27-4327-b1b8-850a8b9c7173,Schutzdiode
Bodysystem,Beleuchtungssystem,DynamischesSignalisierungssystem,12e4d83c-672e-489b-95f4-db6d1bfac8f8,Schraubverbindungen
Bodysystem,Beleuchtungssystem,DynamischesSignalisierungssystem,3f5945aa-df2d-4853-bd51-98057c8544f8,Montagehalterung
Bodysystem,Beleuchtungssystem,DynamischesSignalisierungssystem,1d6a3a0d-1da2-4fed-9bad-da9a6621e72c,Reflektor
Bodysystem,Beleuchtungssystem,DynamischesSignalisierungssystem,e8a7267c-231f-4b86-8e5d-dcb84d025d2d,Abdeckglas
Bodysystem,Beleuchtungssystem,DynamischesSignalisierungssystem,32f5ebdc-7538-4727-8b3e-ca934a0d1f45,Schwingungsdämpfer
Bodysystem,Beleuchtungssystem,DynamischesSignalisierungssystem,3b576396-0508-4f81-9faa-a59357e77bf9,EMV-Filter
Bodysystem,Beleuchtungssystem,DynamischesSignalisierungssystem,2011c5f1-acd2-4558-837e-cd218fc44f41,Isolationsmaterial
Bodysystem,Beleuchtungssystem,DynamischesSignalisierungssystem,32846a9f-8205-4894-b2f1-3e62b1bb8ab7,Schutzlack
Bodysystem,Beleuchtungssystem,DynamischesSignalisierungssystem,c580f798-9a57-421d-8d79-c9dc6ec963c4,Heizelement
Bodysystem,Beleuchtungssystem,DynamischesSignalisierungssystem,8643e044-da8f-41e9-9588-0eedc0080131,Schutzgitter
Bodysystem,Beleuchtungssystem,DynamischesSignalisierungssystem,f95612dc-3812-40ac-956b-ed9fb9a18655,Signalverstärker
Bodysystem,Beleuchtungssystem,DynamischesSignalisierungssystem,3a8bcdb8-6e31-439d-9b1a-b5665abf8446,Signalempfänger
Bodysystem,Beleuchtungssystem,DynamischesSignalisierungssystem,2230c2e6-75f0-4e2e-9972-521d266c8f1c,Signalgeber
Bodysystem,Beleuchtungssystem,DynamischesSignalisierungssystem,47fcd2e0-db74-48cf-b2c2-aea17f45b721,Diagnoseanschluss
Bodysystem,Beleuchtungssystem,DynamischesSignalisierungssystem,5420fafe-ec64-40f4-90ee-6295e315e010,Schutzkappe
Bodysystem,Beleuchtungssystem,DynamischesSignalisierungssystem,40fddd2c-176b-4bce-a5e0-95b280441eed,Montagewerkzeug
Bodysystem,Beleuchtungssystem,DynamischesSignalisierungssystem,8faea7e7-e9cf-4524-a656-b2aaeeadc6fe,Signalsteuerungssoftware
Bodysystem,Beleuchtungssystem,DynamischesSignalisierungssystem,7ed7858b-f05e-405a-97fa-66db2324cb94,LED-Treiber-Firmware
Bodysystem,Beleuchtungssystem,DynamischesSignalisierungssystem,8b254665-fc06-40a5-a440-2188a0396187,Diagnosesoftware
Bodysystem,Beleuchtungssystem,DynamischesSignalisierungssystem,af4ffe24-458b-4bd6-aa96-51e64eb59ce8,Fehlererkennungssystem
Bodysystem,Beleuchtungssystem,DynamischesSignalisierungssystem,4a4da663-782e-482a-af03-7c65f7f9366b,Signalanimationsalgorithmus
Bodysystem,Beleuchtungssystem,DynamischesSignalisierungssystem,ebd260a3-15cd-4609-936f-427bf95a443e,Spannungsüberwachungssystem
Bodysystem,Beleuchtungssystem,DynamischesSignalisierungssystem,dcdab894-bbe4-430f-bd43-5b66db9f8a7b,Stromüberwachungssystem
Bodysystem,Beleuchtungssystem,DynamischesSignalisierungssystem,7ae72261-e13a-46e3-b4df-f65f0686be02,Temperaturmanagementsoftware
Bodysystem,Beleuchtungssystem,DynamischesSignalisierungssystem,3285c2a3-4d96-44d9-a3a6-0cbaad297e6a,Feuchtigkeitsmanagementsoftware
Bodysystem,Beleuchtungssystem,DynamischesSignalisierungssystem,f62bc642-2f15-4277-8fb1-3f867a4bcf55,EMV-Filtersoftware
Bodysystem,Beleuchtungssystem,DynamischesSignalisierungssystem,47b9ff51-56de-48a5-b61d-6d333177c2f6,Kommunikationsprotokollsoftware
