Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Energiesystem,Energiemanagementsystem,Effizienzoptimierungsystem,244caa42-c930-4c36-98dd-d58f5270fda4,Sensor für Energieverbrauch
Energiesystem,Energiemanagementsystem,Effizienzoptimierungsystem,0796a84a-d86b-40bd-a00f-b675e7719cea,Temperatursensor
Energiesystem,Energiemanagementsystem,Effizienzoptimierungsystem,4482f4ac-b1fb-4cb5-a8be-a552a0cc1e0f,Batteriezellenmodul
Energiesystem,Energiemanagementsystem,Effizienzoptimierungsystem,b04576a7-86d4-465d-9359-7e5b064a4991,Leistungselektronikmodul
Energiesystem,Energiemanagementsystem,Effizienzoptimierungsystem,af32e887-6c5c-4618-9fe7-c67fc1c85647,Spannungswandler
Energiesystem,Energiemanagementsystem,Effizienzoptimierungsystem,a78a82c4-4f7e-46de-a572-20488863252d,Stromsensor
Energiesystem,Energiemanagementsystem,Effizienzoptimierungsystem,b0141c4d-6dba-4088-86a9-0c577a16c129,Kommunikationsmodul
Energiesystem,Energiemanagementsystem,Effizienzoptimierungsystem,35f0e7d7-ed3a-4b33-9e0c-eef2ba2ff620,HV-Kabelbaum
Energiesystem,Energiemanagementsystem,Effizienzoptimierungsystem,88e1f4c3-308d-4140-a61a-c7c017f91e53,LV-Kabelbaum
Energiesystem,Energiemanagementsystem,Effizienzoptimierungsystem,69c518f5-4f27-49fb-a5d6-3cea5d5f3bef,Relaismodul
Energiesystem,Energiemanagementsystem,Effizienzoptimierungsystem,820bfab0-923e-4674-8931-174bbdf86155,Schutzschalter
Energiesystem,Energiemanagementsystem,Effizienzoptimierungsystem,289a07aa-968f-45e4-8120-a7c0eff95eeb,Diagnoseanschluss
Energiesystem,Energiemanagementsystem,Effizienzoptimierungsystem,f8b6014d-c0b3-4fb8-9844-e325dc4f2b5a,Steuergerätgehäuse
Energiesystem,Energiemanagementsystem,Effizienzoptimierungsystem,d0fd0a9c-1814-49cb-8c21-d3f4c21d31a3,Kühlmittelpumpe
Energiesystem,Energiemanagementsystem,Effizienzoptimierungsystem,d6b0a82c-b170-4b92-8995-d01d64a683dc,Wärmetauscher
Energiesystem,Energiemanagementsystem,Effizienzoptimierungsystem,4e375020-6550-4f1d-83b6-263a5643a7ef,Kühlmittelsensor
Energiesystem,Energiemanagementsystem,Effizienzoptimierungsystem,177db593-b739-4d89-a89f-4d38685f2bea,Heizelement
Energiesystem,Energiemanagementsystem,Effizienzoptimierungsystem,d01a6b8e-297d-40bc-a0a3-c97905b7d312,Isolationsüberwachungseinheit
Energiesystem,Energiemanagementsystem,Effizienzoptimierungsystem,b2c5db3f-03ce-4a66-8b61-4f469ea8e8d0,Kapazitätsmessmodul
Energiesystem,Energiemanagementsystem,Effizienzoptimierungsystem,31e52c73-56ed-4362-98fb-38efccab0349,Leistungsverteiler
Energiesystem,Energiemanagementsystem,Effizienzoptimierungsystem,fb21f20d-78ce-4578-8260-c66882c080fc,Steckverbinder
Energiesystem,Energiemanagementsystem,Effizienzoptimierungsystem,f5d9609f-46df-47b2-b873-02bc5e9b96a7,DC-DC-Wandler
Energiesystem,Energiemanagementsystem,Effizienzoptimierungsystem,afefd11c-f4af-4a34-a0a3-2770e13bae74,AC-DC-Wandler
Energiesystem,Energiemanagementsystem,Effizienzoptimierungsystem,067b8736-5745-4c8b-9b29-65bb33622752,Leistungsmodul
Energiesystem,Energiemanagementsystem,Effizienzoptimierungsystem,3291af40-dc4a-4fc4-a7bd-be9eab221b98,Schutzgehäuse
Energiesystem,Energiemanagementsystem,Effizienzoptimierungsystem,2763ab4d-0389-40a1-b217-d87be15ccee5,Temperaturüberwachungseinheit
Energiesystem,Energiemanagementsystem,Effizienzoptimierungsystem,faee1ee0-9427-4a5c-b657-ab639f08c45f,Spannungsüberwachungseinheit
Energiesystem,Energiemanagementsystem,Effizienzoptimierungsystem,78f1d586-ba11-4656-9444-9f47791edd3c,Stromüberwachungseinheit
Energiesystem,Energiemanagementsystem,Effizienzoptimierungsystem,acc2f699-b15e-4c18-b35e-e6631e99e713,Diagnosemodul
Energiesystem,Energiemanagementsystem,Effizienzoptimierungsystem,d36a2a6b-9c84-462c-b206-8ccb4654890e,Effizienzoptimierungsalgorithmus
Energiesystem,Energiemanagementsystem,Effizienzoptimierungsystem,86e1073f-b400-4b1a-ba40-73c4379813e9,Energieflusssteuerungssoftware
Energiesystem,Energiemanagementsystem,Effizienzoptimierungsystem,3788d2bc-d2b7-4b9e-8d30-bde635216f7c,Reichweitenberechnungssoftware
Energiesystem,Energiemanagementsystem,Effizienzoptimierungsystem,59da72e5-932b-4569-b61d-c74a768811b4,Temperaturmanagementsoftware
Energiesystem,Energiemanagementsystem,Effizienzoptimierungsystem,bc066499-1186-4c26-aabc-c2e345d67732,Batterieüberwachungssoftware
Energiesystem,Energiemanagementsystem,Effizienzoptimierungsystem,7a69dd51-ccb8-4ec3-a450-77777eedda66,Leistungsoptimierungssoftware
Energiesystem,Energiemanagementsystem,Effizienzoptimierungsystem,b30fbbb9-e5c8-43c7-9758-71eff089c2f8,Diagnosesoftware
Energiesystem,Energiemanagementsystem,Effizienzoptimierungsystem,e6a69fb2-6bf6-4300-b48e-5a0509269197,Kommunikationsprotokollsoftware
