Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Energiesystem,Energiemanagementsystem,Energieflusskoordinationssystem,350b23f2-4bb6-40bd-8a37-475eb2467934,Sensor für Energieflussmessung
Energiesystem,Energiemanagementsystem,Energieflusskoordinationssystem,3e81a81e-b498-4670-911c-0ded29023296,Leistungssensor
Energiesystem,Energiemanagementsystem,Energieflusskoordinationssystem,09448aa3-7176-4456-a111-616a73883f4e,Spannungssensor
Energiesystem,Energiemanagementsystem,Energieflusskoordinationssystem,633c04da-f37d-4996-9407-18e1b14531f9,Stromsensor
Energiesystem,Energiemanagementsystem,Energieflusskoordinationssystem,04e77577-3f84-4b51-bbd2-785d0a12cfdd,Temperatursensor
Energiesystem,Energiemanagementsystem,Energieflusskoordinationssystem,a418fde9-0d45-428d-8acc-27629854807e,Batteriemodul
Energiesystem,Energiemanagementsystem,Energieflusskoordinationssystem,2972103b-6218-4fc3-9a6e-2c4d7617847f,Leistungselektronikmodul
Energiesystem,Energiemanagementsystem,Energieflusskoordinationssystem,8162984b-92cf-4118-bd06-ae3ab0f204f9,DC-DC-Wandler
Energiesystem,Energiemanagementsystem,Energieflusskoordinationssystem,f191ebbe-6d40-40a3-bb6c-2bbcd04dfbad,AC-DC-Wandler
Energiesystem,Energiemanagementsystem,Energieflusskoordinationssystem,8ea80fa8-6cb7-43ec-878b-f1c5cb99a5d8,Relaismodul
Energiesystem,Energiemanagementsystem,Energieflusskoordinationssystem,9c70353d-4a2a-45bc-a284-a96b759b9a96,Schutzschalter
Energiesystem,Energiemanagementsystem,Energieflusskoordinationssystem,8c998c26-8aa9-4393-872c-70dc8c3044d0,Kommunikationsmodul
Energiesystem,Energiemanagementsystem,Energieflusskoordinationssystem,88b49045-e62a-4760-a2a5-8ab05baac2c8,Steuergerät
Energiesystem,Energiemanagementsystem,Energieflusskoordinationssystem,8878c21b-f243-4616-b2e1-ea20777a625d,Leistungskabel
Energiesystem,Energiemanagementsystem,Energieflusskoordinationssystem,65684501-e5cd-455e-9b7d-8ae6f5b48a6b,Signalverarbeitungseinheit
Energiesystem,Energiemanagementsystem,Energieflusskoordinationssystem,41a3da6c-eeea-489b-b8aa-fb5f2a65ebae,HV-Kabelbaum
Energiesystem,Energiemanagementsystem,Energieflusskoordinationssystem,da925e64-60f4-4741-8b56-fd11c90862ec,LV-Kabelbaum
Energiesystem,Energiemanagementsystem,Energieflusskoordinationssystem,73c9a559-95f0-47ec-b413-fdf79f8e0e5d,Steckverbinder
Energiesystem,Energiemanagementsystem,Energieflusskoordinationssystem,649f2b59-e711-4fd7-bca2-bd74108c069f,Isolationsüberwachungseinheit
Energiesystem,Energiemanagementsystem,Energieflusskoordinationssystem,1860777e-0bb1-4b8a-bc66-4aeb13f82fd8,Diagnoseanschluss
Energiesystem,Energiemanagementsystem,Energieflusskoordinationssystem,3b339874-397a-43cc-9cd6-5171ae1fc9a8,Leistungsverteiler
Energiesystem,Energiemanagementsystem,Energieflusskoordinationssystem,14437be0-d3ac-44c1-90bb-918741bdec04,Schutzgehäuse
Energiesystem,Energiemanagementsystem,Energieflusskoordinationssystem,b2d55375-9c0a-4a58-97b0-08d51edbc4fd,Kühlmodul
Energiesystem,Energiemanagementsystem,Energieflusskoordinationssystem,8a9809df-7653-449c-8463-9c4ed3d33919,Wärmepumpenmodul
Energiesystem,Energiemanagementsystem,Energieflusskoordinationssystem,b200cafe-2192-41cb-b204-38b41964d1e7,Heizmodul
Energiesystem,Energiemanagementsystem,Energieflusskoordinationssystem,9d51bc43-ff66-4789-9154-5ab22eda32ac,Kapazitätsanzeige
Energiesystem,Energiemanagementsystem,Energieflusskoordinationssystem,98668edf-67d9-4bcb-bbd8-c2e72b9b6d8c,Displaymodul
Energiesystem,Energiemanagementsystem,Energieflusskoordinationssystem,81220887-2b1d-4d9e-94e9-b3f313c504c7,LED-Anzeige
Energiesystem,Energiemanagementsystem,Energieflusskoordinationssystem,ca19f6df-b06e-4e1f-8d05-58d20b755bef,Signalgeber
Energiesystem,Energiemanagementsystem,Energieflusskoordinationssystem,1f4d9d27-58f3-4c5b-958d-6b6b048605f5,Notabschaltungseinheit
Energiesystem,Energiemanagementsystem,Energieflusskoordinationssystem,d78922bc-566e-4283-a58b-34c0ac897a3e,Energieflusssteuerungssoftware
Energiesystem,Energiemanagementsystem,Energieflusskoordinationssystem,4ace5e99-ab7c-47f3-b56e-5a27e70319a0,Leistungsmanagementsoftware
Energiesystem,Energiemanagementsystem,Energieflusskoordinationssystem,0609d1e5-3604-4dda-b49f-7bba90c55062,Spannungsregelungssoftware
Energiesystem,Energiemanagementsystem,Energieflusskoordinationssystem,6f9a9326-c3dc-471a-8c46-85d50697fc9c,Stromregelungssoftware
Energiesystem,Energiemanagementsystem,Energieflusskoordinationssystem,06f0d001-ff2b-4723-a446-23624ec89a41,Temperaturüberwachungssoftware
Energiesystem,Energiemanagementsystem,Energieflusskoordinationssystem,c7902cbe-d510-4e5c-9a35-4ad17042b1b1,Batteriemanagementsoftware
Energiesystem,Energiemanagementsystem,Energieflusskoordinationssystem,02c88568-4ba9-4652-a3c9-3f68de26d96f,Kommunikationsprotokollsoftware
Energiesystem,Energiemanagementsystem,Energieflusskoordinationssystem,e8867ad6-ab4a-4b78-999e-9124c499a515,Diagnosesoftware
Energiesystem,Energiemanagementsystem,Energieflusskoordinationssystem,306043b5-7470-4b3f-979c-efd203e6313a,Fehlererkennungssoftware
Energiesystem,Energiemanagementsystem,Energieflusskoordinationssystem,f9d71423-5343-4931-a322-4911c3438112,Lastverteilungssoftware
Energiesystem,Energiemanagementsystem,Energieflusskoordinationssystem,7a4d9ff5-a778-4728-9cec-7c70a3558e84,Effizienzoptimierungssoftware
Energiesystem,Energiemanagementsystem,Energieflusskoordinationssystem,54415b44-f6e5-402b-9060-89277b47c748,Reichweitenprognosesoftware
Energiesystem,Energiemanagementsystem,Energieflusskoordinationssystem,df6cd069-c633-48c9-bcc7-b2dd9e7ad2f2,Priorisierungssystemsoftware
Energiesystem,Energiemanagementsystem,Energieflusskoordinationssystem,57e46e8e-adc0-49cb-a2d4-2c5926515be0,Update-Managementsoftware
Energiesystem,Energiemanagementsystem,Energieflusskoordinationssystem,a6c4ecfb-315a-4d1c-a929-45ac99146605,Sensorintegrationssoftware
Energiesystem,Energiemanagementsystem,Energieflusskoordinationssystem,8863abed-cc93-457b-b9f1-aebf264c48aa,Signalverarbeitungssoftware
Energiesystem,Energiemanagementsystem,Energieflusskoordinationssystem,2b0e5c3f-9327-41ee-96e0-f45c70928814,Schutzschaltungssoftware
Energiesystem,Energiemanagementsystem,Energieflusskoordinationssystem,4b012127-9422-40a1-86ab-4818c1c7651d,Notabschaltungssoftware
Energiesystem,Energiemanagementsystem,Energieflusskoordinationssystem,19b0e75f-c3cd-42a5-918c-9b3ffbe903cb,Modulsteuerungssoftware
Energiesystem,Energiemanagementsystem,Energieflusskoordinationssystem,df76c67f-09b7-47cd-bc6e-d2423a1bff5e,HV-LV-Übersetzungssoftware
Energiesystem,Energiemanagementsystem,Energieflusskoordinationssystem,cbaaeba4-7156-4acf-b4ed-0f55fac4cd23,DC-DC-Wandlungssoftware
Energiesystem,Energiemanagementsystem,Energieflusskoordinationssystem,26113f11-710b-4d2a-9520-457bda750c78,AC-DC-Wandlungssoftware
Energiesystem,Energiemanagementsystem,Energieflusskoordinationssystem,8cadacae-8f1f-46b6-97c1-ddadeb23b0ff,Relaissteuerungssoftware
Energiesystem,Energiemanagementsystem,Energieflusskoordinationssystem,883f24e0-c266-41fb-919e-905319ecbb3a,Displaysteuerungssoftware
Energiesystem,Energiemanagementsystem,Energieflusskoordinationssystem,eb327dcd-ed40-49b7-b8c4-3cde7add266b,LED-Steuerungssoftware
Energiesystem,Energiemanagementsystem,Energieflusskoordinationssystem,4fbe69d6-47d9-48c3-86f2-805136cb93ff,Signalgebersteuerungssoftware
Energiesystem,Energiemanagementsystem,Energieflusskoordinationssystem,1c367a34-b846-4d08-a61c-0745d1847f47,Isolationsüberwachungssoftware
Energiesystem,Energiemanagementsystem,Energieflusskoordinationssystem,36d787a3-1a5a-457f-9cd2-1bedfc0682bf,Kühlsteuerungssoftware
Energiesystem,Energiemanagementsystem,Energieflusskoordinationssystem,56e7556b-693a-401d-8f2e-d828cbf59b5a,Wärmepumpensteuerungssoftware
