Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Energiesystem,Energiemanagementsystem,Energiepriorisierungssystem,ea64e588-2001-4949-9f10-052335612969,Batteriezellen
Energiesystem,Energiemanagementsystem,Energiepriorisierungssystem,c74e618f-72e5-45de-b239-0a938de23035,Leistungshalbleiter
Energiesystem,Energiemanagementsystem,Energiepriorisierungssystem,31140d41-5033-4ab0-9dbf-b06992f8ef0f,Spannungswandler
Energiesystem,Energiemanagementsystem,Energiepriorisierungssystem,58ae2fed-14d2-4f7f-a1c8-1b47568f2bae,Relaismodule
Energiesystem,Energiemanagementsystem,Energiepriorisierungssystem,4eda8634-b538-4cfe-97b2-e46b2e6a19f5,Stromsensoren
Energiesystem,Energiemanagementsystem,Energiepriorisierungssystem,93ea3410-64c6-4db4-bcae-99ca5d17c295,Temperatursensoren
Energiesystem,Energiemanagementsystem,Energiepriorisierungssystem,28521851-e703-40d8-91ec-a0c5a1164c81,Kabelbaum
Energiesystem,Energiemanagementsystem,Energiepriorisierungssystem,bed556cc-0010-44a3-8936-3c5f8139be8d,Steckverbinder
Energiesystem,Energiemanagementsystem,Energiepriorisierungssystem,51a9aeb0-b51f-4b83-8748-af94460e2b9e,Leistungsverteiler
Energiesystem,Energiemanagementsystem,Energiepriorisierungssystem,12c250a4-8dc0-48e8-9a23-37596741f3bc,Schutzschalter
Energiesystem,Energiemanagementsystem,Energiepriorisierungssystem,2b7001a0-0c9d-47eb-a920-ea3e2337ed61,DC-DC-Wandler
Energiesystem,Energiemanagementsystem,Energiepriorisierungssystem,8ccbce0c-3ecb-47e3-8485-4c84aba1415a,HV-Batteriemodule
Energiesystem,Energiemanagementsystem,Energiepriorisierungssystem,77012c05-f0a6-4dc3-9a01-01328ab93e72,LV-Batteriemodule
Energiesystem,Energiemanagementsystem,Energiepriorisierungssystem,a93987c4-6a3d-4d6b-af8a-b8a91c4be838,Leistungskondensatoren
Energiesystem,Energiemanagementsystem,Energiepriorisierungssystem,c6c879da-b0fe-4469-9d68-32650041c436,Induktivitäten
Energiesystem,Energiemanagementsystem,Energiepriorisierungssystem,595f6316-de68-4ede-be04-5fdf4ae0651b,Schutzdioden
Energiesystem,Energiemanagementsystem,Energiepriorisierungssystem,5c4977e8-5c93-4158-919e-7a3758ca73a7,Kommunikationsmodule
Energiesystem,Energiemanagementsystem,Energiepriorisierungssystem,48c0dde7-ca0e-4ff0-ad36-b50d60d904aa,Steuergerätegehäuse
Energiesystem,Energiemanagementsystem,Energiepriorisierungssystem,88a7c5ee-46ad-43b0-9687-b3c259a76623,Kühlkörper
Energiesystem,Energiemanagementsystem,Energiepriorisierungssystem,c452dfdb-bc75-4a24-8aac-894e472fa46e,Wärmepumpenmodule
Energiesystem,Energiemanagementsystem,Energiepriorisierungssystem,34fe485e-d175-4554-9108-8e1e4facf9b9,Heizelemente
Energiesystem,Energiemanagementsystem,Energiepriorisierungssystem,7f4a57bf-135a-4bcb-a034-164ac8ba874e,Isolationsmaterialien
Energiesystem,Energiemanagementsystem,Energiepriorisierungssystem,1aad048e-4e60-4265-a945-cc825836905e,Schutzgehäuse
Energiesystem,Energiemanagementsystem,Energiepriorisierungssystem,9c6dc519-d86b-491b-9e71-13dfe6fdb1f7,Diagnosestecker
Energiesystem,Energiemanagementsystem,Energiepriorisierungssystem,0c952423-03c2-4f94-810d-4e08dc0e6672,Leistungsanschlüsse
Energiesystem,Energiemanagementsystem,Energiepriorisierungssystem,e8432f30-028b-47e8-9c76-cc2c01c4017d,Schutzabdeckungen
Energiesystem,Energiemanagementsystem,Energiepriorisierungssystem,1cfdc2aa-df6b-4fc0-bbeb-58f11b83b22d,Schaltmodule
Energiesystem,Energiemanagementsystem,Energiepriorisierungssystem,80ab100b-4187-4b66-b895-8b7636b135af,Signalverstärker
Energiesystem,Energiemanagementsystem,Energiepriorisierungssystem,95be5e38-f4c4-403f-9913-859cbc07620e,Leistungsregler
Energiesystem,Energiemanagementsystem,Energiepriorisierungssystem,6c9fddbb-e3e2-4ee7-a767-623599ea4cc9,Diagnosemodule
Energiesystem,Energiemanagementsystem,Energiepriorisierungssystem,fa0a0f2e-c9eb-4c15-88bb-0b07a89886fa,Priorisierungsalgorithmus
Energiesystem,Energiemanagementsystem,Energiepriorisierungssystem,eed72d0a-b6c6-4f72-b66d-95eebb535c40,Energieflusssteuerung
Energiesystem,Energiemanagementsystem,Energiepriorisierungssystem,dd506bf4-fc51-42c2-84bc-1e6506a70e90,Lastmanagementsoftware
Energiesystem,Energiemanagementsystem,Energiepriorisierungssystem,5e245af5-7c66-49db-a07b-4d1e540bee66,Diagnosesoftware
Energiesystem,Energiemanagementsystem,Energiepriorisierungssystem,5693b840-b5ed-416a-8434-04f02ef585e7,Kommunikationsprotokolle
Energiesystem,Energiemanagementsystem,Energiepriorisierungssystem,a1ccd3f7-ed60-4e63-b952-8d8bf709894e,Fehlererkennungssystem
Energiesystem,Energiemanagementsystem,Energiepriorisierungssystem,948c94b1-8c75-457a-b803-0b604a0f11f7,Effizienzoptimierungssoftware
Energiesystem,Energiemanagementsystem,Energiepriorisierungssystem,930b10c5-0ff2-48c4-b109-12301e57005b,Reichweitenberechnung
Energiesystem,Energiemanagementsystem,Energiepriorisierungssystem,00539442-33c4-4b96-8e1d-190c0ae90816,Lastverteilungslogik
Energiesystem,Energiemanagementsystem,Energiepriorisierungssystem,bd29513f-1878-43ef-a75c-318313fb04dd,Software-Update-Manager
Energiesystem,Energiemanagementsystem,Energiepriorisierungssystem,98910f86-c5bb-4789-b562-bb9a51669e0c,Sensorintegrationssoftware
Energiesystem,Energiemanagementsystem,Energiepriorisierungssystem,ee0d196e-aed2-4e12-8620-1b693873fa4c,Temperaturmanagementsoftware
Energiesystem,Energiemanagementsystem,Energiepriorisierungssystem,b2d7b47b-30e4-48c2-a3fd-85b46ad0ebce,Spannungsüberwachungssystem
Energiesystem,Energiemanagementsystem,Energiepriorisierungssystem,8f2c6b1e-37fa-419c-bcfd-bedd18c9ccef,Leistungsregelungssoftware
Energiesystem,Energiemanagementsystem,Energiepriorisierungssystem,9c59a1d6-c7d0-4012-960f-264910cc3f62,Schutzabschaltungslogik
Energiesystem,Energiemanagementsystem,Energiepriorisierungssystem,4708e7c1-bf6b-4459-b016-a87f9f136f3d,Notfallmanagementsoftware
Energiesystem,Energiemanagementsystem,Energiepriorisierungssystem,c938c04f-58c3-41f5-aa27-d4488f4973f4,Simulationstools
Energiesystem,Energiemanagementsystem,Energiepriorisierungssystem,b58dbc44-bb89-44bb-8326-4667e1bf8755,Prognosesoftware
Energiesystem,Energiemanagementsystem,Energiepriorisierungssystem,f6dd74ce-33ef-4f54-aa54-ae7bfa075046,Diagnosedatenanalyse
Energiesystem,Energiemanagementsystem,Energiepriorisierungssystem,95e4a9a3-8ca5-4ef3-874b-516e5bf8e56e,Fehlerprotokollierungssystem
Energiesystem,Energiemanagementsystem,Energiepriorisierungssystem,416ca462-c208-4a8d-8458-77e93e344b4d,Steuergeräte-Firmware
Energiesystem,Energiemanagementsystem,Energiepriorisierungssystem,42969c26-f570-4fa0-93e1-7c77ad9788e8,Kommunikationsschnittstellen
Energiesystem,Energiemanagementsystem,Energiepriorisierungssystem,8a759293-7cc5-4092-86f8-26295db40e3c,Lastprognosesystem
Energiesystem,Energiemanagementsystem,Energiepriorisierungssystem,d6775d61-ad41-4ece-8a93-7256467e726f,Priorisierungslogik
Energiesystem,Energiemanagementsystem,Energiepriorisierungssystem,65721fa1-664d-432b-ab1f-e76d229316bf,Leistungsoptimierungssystem
Energiesystem,Energiemanagementsystem,Energiepriorisierungssystem,030326c4-f165-4fd2-9de0-3d2cc8772a40,Software-Sicherheitsmodule
Energiesystem,Energiemanagementsystem,Energiepriorisierungssystem,c62b0244-92cd-4a97-9abd-309ffe52a219,Diagnoseprotokollsoftware
Energiesystem,Energiemanagementsystem,Energiepriorisierungssystem,38053d48-b5c2-4b04-a95e-063e4016f79e,Fehlerbehebungssoftware
Energiesystem,Energiemanagementsystem,Energiepriorisierungssystem,ceac5fcc-34c3-40cc-a805-084034240a7e,Software-Integrationsmodule
