Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Bodysystem,Klimatisierungssystem,Entfeuchtungssystem,dc2f54ba-4f35-46b6-972d-0e533a0037a0,Luftfeuchtigkeitssensor
Bodysystem,Klimatisierungssystem,Entfeuchtungssystem,34d38c10-fb83-4bf1-bfa9-0fddc775a16e,Temperatursensor
Bodysystem,Klimatisierungssystem,Entfeuchtungssystem,beb252cc-8626-430b-b4c4-5b2ad71dd8ef,Kondensatorlüfter
Bodysystem,Klimatisierungssystem,Entfeuchtungssystem,676d4702-ac99-48d1-90fa-5251cd54b3cd,Wärmetauscher
Bodysystem,Klimatisierungssystem,Entfeuchtungssystem,40b3f858-932a-4634-b0bc-321d5dc235b2,Kühlmittelpumpe
Bodysystem,Klimatisierungssystem,Entfeuchtungssystem,7b1f78d3-3e5b-47fc-b142-242fbde4d9ff,Heizelement
Bodysystem,Klimatisierungssystem,Entfeuchtungssystem,82fb5e07-4ce6-4352-a80d-9acb66c57f1b,Filtereinheit
Bodysystem,Klimatisierungssystem,Entfeuchtungssystem,10da39a4-8338-4fe8-b772-61936c40c15d,Luftkanalsteuerklappe
Bodysystem,Klimatisierungssystem,Entfeuchtungssystem,a0874c6b-956d-4c25-a288-a136f78b4c7d,Kompressor
Bodysystem,Klimatisierungssystem,Entfeuchtungssystem,dec59b4b-2964-4d02-aff8-d1d79e5d794e,Expansionsventil
Bodysystem,Klimatisierungssystem,Entfeuchtungssystem,a9ecc450-f7c4-4b36-8e9c-0110e269ba85,Drucksensor
Bodysystem,Klimatisierungssystem,Entfeuchtungssystem,8e588df1-211b-4082-887b-7c86aa7e03ec,Kühlmittelleitung
Bodysystem,Klimatisierungssystem,Entfeuchtungssystem,16e9f27f-2d09-4ea7-a2b1-68c20bec054d,Isolationsmaterial
Bodysystem,Klimatisierungssystem,Entfeuchtungssystem,3da4f3be-a893-44c9-a4f4-7260f5299493,Luftstromsensor
Bodysystem,Klimatisierungssystem,Entfeuchtungssystem,7b60aa1e-d7e6-4335-9cb2-e4a34db9e3b7,Relaismodul
Bodysystem,Klimatisierungssystem,Entfeuchtungssystem,6e2d8c59-09b7-492f-b78b-2ccf0ca715c7,Steckverbinder
Bodysystem,Klimatisierungssystem,Entfeuchtungssystem,75ff349a-ae21-4dfd-ab63-49c5277f2728,Kabelbaum
Bodysystem,Klimatisierungssystem,Entfeuchtungssystem,6474a218-43ac-4519-ba53-0771ed351ae0,Schalldämpfer
Bodysystem,Klimatisierungssystem,Entfeuchtungssystem,48de13e7-2c4e-4c88-9f2a-3b27c75790ed,Luftauslassgitter
Bodysystem,Klimatisierungssystem,Entfeuchtungssystem,e8aa5dad-5c83-4e7d-a817-7af0cc36ccb3,Montagehalterung
Bodysystem,Klimatisierungssystem,Entfeuchtungssystem,4b4bf705-9ca9-4aa6-8379-eab8a1eb4efa,Schrauben
Bodysystem,Klimatisierungssystem,Entfeuchtungssystem,ec2a7e6e-e107-40c7-8dc3-ab1e6cf93830,Dichtungen
Bodysystem,Klimatisierungssystem,Entfeuchtungssystem,8b9b07f3-0cba-4879-a963-3b996d60bf13,Steuergerätgehäuse
Bodysystem,Klimatisierungssystem,Entfeuchtungssystem,4672ea60-bebf-402d-8a81-c7ea4989929f,Schutzabdeckung
Bodysystem,Klimatisierungssystem,Entfeuchtungssystem,7d7e02b8-3bf6-4c75-a7bb-98af501c2237,Leistungsmodul
Bodysystem,Klimatisierungssystem,Entfeuchtungssystem,bc65de07-0b7f-4724-aae6-37c8e132acc9,Kühlmittelreservoir
Bodysystem,Klimatisierungssystem,Entfeuchtungssystem,6875714d-34f6-4b45-bbf5-023035c40500,Entfeuchtungsmodul
Bodysystem,Klimatisierungssystem,Entfeuchtungssystem,42539988-f8bc-4c8f-ad91-4b6d040b97c5,Luftverteilergehäuse
Bodysystem,Klimatisierungssystem,Entfeuchtungssystem,625a8091-b1fc-439b-aa37-1dd61faffc0b,Temperaturfühlerhalterung
