Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Fahrsystem,Rekuperationssystem,Fahrerwunsch-Rekuperationssystem,09c223b5-4862-4013-bac6-a681e252285c,Sensor für Pedalstellung
Fahrsystem,Rekuperationssystem,Fahrerwunsch-Rekuperationssystem,2190bfcf-9225-49c4-ad2b-d660ad2dafd1,Sensor für Bremsdruck
Fahrsystem,Rekuperationssystem,Fahrerwunsch-Rekuperationssystem,294dd5cd-de72-4917-b5a8-845fa839e7ce,Sensor für Fahrzeuggeschwindigkeit
Fahrsystem,Rekuperationssystem,Fahrerwunsch-Rekuperationssystem,565d61a2-3afc-4911-946d-607c8172141e,Sensor für Batteriestatus
Fahrsystem,Rekuperationssystem,Fahrerwunsch-Rekuperationssystem,bed1ee94-a6f7-4b6e-bfb3-152d7360ed1f,Sensor für Rekuperationsleistung
Fahrsystem,Rekuperationssystem,Fahrerwunsch-Rekuperationssystem,5227047d-b27d-461b-be9d-60ecb354bf15,Sensor für Motordrehmoment
Fahrsystem,Rekuperationssystem,Fahrerwunsch-Rekuperationssystem,344a34cf-68d5-44a3-84d3-1a6009441a5a,Sensor für Achslast
Fahrsystem,Rekuperationssystem,Fahrerwunsch-Rekuperationssystem,fc81fff9-1d27-47ef-acbe-6e0199ea4585,Sensor für Radgeschwindigkeit
Fahrsystem,Rekuperationssystem,Fahrerwunsch-Rekuperationssystem,1a5aec2e-5dce-47f5-8772-0ae3eb75d6eb,Sensor für Umgebungslicht
Fahrsystem,Rekuperationssystem,Fahrerwunsch-Rekuperationssystem,03524ed2-1679-4a0a-acd4-39a7c0b2fcd3,Sensor für Temperatur
Fahrsystem,Rekuperationssystem,Fahrerwunsch-Rekuperationssystem,8cec8471-0568-439e-bcfe-fdaf5d4173f9,Sensor für Luftfeuchtigkeit
Fahrsystem,Rekuperationssystem,Fahrerwunsch-Rekuperationssystem,04ca0b47-ed3a-4d82-b8f0-ad27a22222cc,Sensor für Neigungswinkel
Fahrsystem,Rekuperationssystem,Fahrerwunsch-Rekuperationssystem,5d652b4e-242b-4564-8164-e606e64253df,Sensor für Beschleunigung
Fahrsystem,Rekuperationssystem,Fahrerwunsch-Rekuperationssystem,26a2b66b-bce1-4228-8b7d-de1089436b55,Sensor für Stromfluss
Fahrsystem,Rekuperationssystem,Fahrerwunsch-Rekuperationssystem,40fefc84-e23a-4b1d-b418-7395c4e322b0,Sensor für Spannung
Fahrsystem,Rekuperationssystem,Fahrerwunsch-Rekuperationssystem,3cb4b158-933c-4736-a7bb-ef19b908580f,Sensor für Stromstärke
Fahrsystem,Rekuperationssystem,Fahrerwunsch-Rekuperationssystem,cac9eb9b-62d5-4237-bde6-0105ce27d073,Sensor für Magnetfeld
Fahrsystem,Rekuperationssystem,Fahrerwunsch-Rekuperationssystem,1eb04082-837c-42be-a09c-cd100a9771fa,Sensor für Fahrzeugneigung
Fahrsystem,Rekuperationssystem,Fahrerwunsch-Rekuperationssystem,4a1993cf-e003-416c-ae1a-f6e4beaef62d,Sensor für Lenkwinkel
Fahrsystem,Rekuperationssystem,Fahrerwunsch-Rekuperationssystem,d8047de8-5738-46e6-98e2-bd01a0702c3f,Sensor für Fahrzeuglast
Fahrsystem,Rekuperationssystem,Fahrerwunsch-Rekuperationssystem,9c50ff1e-0c9a-4c5f-bc22-ae8a0818b6da,Sensor für Energiefluss
Fahrsystem,Rekuperationssystem,Fahrerwunsch-Rekuperationssystem,073495d9-8c4f-4c59-80d4-007813b1a6bc,Sensor für Rekuperationsgrad
Fahrsystem,Rekuperationssystem,Fahrerwunsch-Rekuperationssystem,839b0951-cc92-43d7-83e2-0f8f453952f4,Sensor für Fahrerwunsch
Fahrsystem,Rekuperationssystem,Fahrerwunsch-Rekuperationssystem,1b714a78-a010-45a0-a6d6-92ad6345892a,Sensor für Bremskraft
Fahrsystem,Rekuperationssystem,Fahrerwunsch-Rekuperationssystem,81e63b52-56a5-4423-9fa0-6fc57d15cf9d,Sensor für Rekuperationsmodus
Fahrsystem,Rekuperationssystem,Fahrerwunsch-Rekuperationssystem,b42fc610-2b1a-4c46-a774-e05e46db330c,Sensor für Batteriekapazität
Fahrsystem,Rekuperationssystem,Fahrerwunsch-Rekuperationssystem,1c4c3cd5-e8f3-4e96-9a1c-4852a3fd474d,Sensor für Ladezustand
Fahrsystem,Rekuperationssystem,Fahrerwunsch-Rekuperationssystem,bc9c022b-abeb-47be-910f-4b72b51fead0,Sensor für Energieverbrauch
Fahrsystem,Rekuperationssystem,Fahrerwunsch-Rekuperationssystem,bafbcbab-6a2f-457c-9de6-72a23bb09771,Sensor für Bremsweg
Fahrsystem,Rekuperationssystem,Fahrerwunsch-Rekuperationssystem,a3df5d3e-678e-495e-9c96-ef2d79366064,Sensor für Fahrzeugdynamik
Fahrsystem,Rekuperationssystem,Fahrerwunsch-Rekuperationssystem,c50a2eac-a47a-4b7e-b2ff-2f3b4ac3f911,Rekuperationssteuerungssoftware
Fahrsystem,Rekuperationssystem,Fahrerwunsch-Rekuperationssystem,5373e414-2c82-4d0b-9a78-04b52764f45b,Pedalinterpretationssoftware
Fahrsystem,Rekuperationssystem,Fahrerwunsch-Rekuperationssystem,15c3b272-f1df-480f-9567-e88eae12b599,Bremsdruckregelungssoftware
Fahrsystem,Rekuperationssystem,Fahrerwunsch-Rekuperationssystem,e53aaed0-f674-45ab-b861-b661074571cd,Fahrgeschwindigkeitsanalyse-Software
Fahrsystem,Rekuperationssystem,Fahrerwunsch-Rekuperationssystem,6111c451-3355-4bf0-bddf-5449f04c5cb3,Batteriestatusüberwachungssoftware
Fahrsystem,Rekuperationssystem,Fahrerwunsch-Rekuperationssystem,5ca70206-55c2-4c7a-9178-99891d9dc285,Rekuperationsleistungsoptimierungssoftware
Fahrsystem,Rekuperationssystem,Fahrerwunsch-Rekuperationssystem,2dc32164-da0f-49d7-a40b-fa65b4cc2772,Motordrehmomentregelungssoftware
Fahrsystem,Rekuperationssystem,Fahrerwunsch-Rekuperationssystem,aff822b0-81cd-4337-a842-c5b3dfc442ee,Achslastverteilungssoftware
Fahrsystem,Rekuperationssystem,Fahrerwunsch-Rekuperationssystem,c6583f24-564a-48f2-82f5-bae2c496ace4,Radgeschwindigkeitsregelungssoftware
Fahrsystem,Rekuperationssystem,Fahrerwunsch-Rekuperationssystem,836253fd-fc3e-46ef-8391-e5368f117cef,Umgebungslichtanpassungssoftware
Fahrsystem,Rekuperationssystem,Fahrerwunsch-Rekuperationssystem,40d392e6-621b-4e14-be6f-ae2003670bd5,Temperaturregelungssoftware
Fahrsystem,Rekuperationssystem,Fahrerwunsch-Rekuperationssystem,06ad78b6-682f-44e8-a11d-779f7bfaa6fc,Luftfeuchtigkeitsüberwachungssoftware
Fahrsystem,Rekuperationssystem,Fahrerwunsch-Rekuperationssystem,7e0956a3-59a0-4ba8-8d26-41b7692f88e5,Neigungswinkelberechnungssoftware
Fahrsystem,Rekuperationssystem,Fahrerwunsch-Rekuperationssystem,61213d84-7c43-4cad-bbb4-f3351374863e,Beschleunigungsregelungssoftware
Fahrsystem,Rekuperationssystem,Fahrerwunsch-Rekuperationssystem,155b2828-592d-4d84-95c1-2edd39364af1,Stromflussüberwachungssoftware
Fahrsystem,Rekuperationssystem,Fahrerwunsch-Rekuperationssystem,1fa00792-3e44-474a-a975-9e1ddd3eb8bb,Spannungsregelungssoftware
Fahrsystem,Rekuperationssystem,Fahrerwunsch-Rekuperationssystem,a7e82a24-d1ec-44af-8844-71939ddc55b5,Stromstärkemanagementsoftware
Fahrsystem,Rekuperationssystem,Fahrerwunsch-Rekuperationssystem,d084e9c8-a36c-415a-b3a6-fac5a39a1220,Magnetfeldanalyse-Software
Fahrsystem,Rekuperationssystem,Fahrerwunsch-Rekuperationssystem,98ddd370-6348-4814-80be-ac151ff1e362,Fahrzeugneigungsregelungssoftware
Fahrsystem,Rekuperationssystem,Fahrerwunsch-Rekuperationssystem,7ac63df7-409c-4bae-8519-b6df3b183192,Lenkwinkelregelungssoftware
Fahrsystem,Rekuperationssystem,Fahrerwunsch-Rekuperationssystem,d0ea4cf2-fb72-41a9-ad21-d57e43c4f8cf,Fahrzeuglastmanagementsoftware
Fahrsystem,Rekuperationssystem,Fahrerwunsch-Rekuperationssystem,eabe66d5-d6a0-47a0-bd35-65005b7bf289,Energieflussoptimierungssoftware
Fahrsystem,Rekuperationssystem,Fahrerwunsch-Rekuperationssystem,e9d6d477-8ee3-4df8-9c39-c2fb1fe15aeb,Rekuperationsgradregelungssoftware
Fahrsystem,Rekuperationssystem,Fahrerwunsch-Rekuperationssystem,7f264b80-f3a6-427a-9602-2528b5f4963c,Fahrerwunschinterpretationssoftware
