Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Fahrsystem,Fahrdynamikregelsystem,Fahrmodusmanagementsystem,4c8e34e3-764e-41a4-8b0d-aaeff0e26635,Sensor für Fahrzeuggeschwindigkeit
Fahrsystem,Fahrdynamikregelsystem,Fahrmodusmanagementsystem,f6ba1f4f-a008-41cd-a4ec-1677b364bb80,Sensor für Lenkwinkel
Fahrsystem,Fahrdynamikregelsystem,Fahrmodusmanagementsystem,6877be41-efee-4eee-ad1e-72500687f6da,Sensor für Querbeschleunigung
Fahrsystem,Fahrdynamikregelsystem,Fahrmodusmanagementsystem,2c1caabe-dfc1-43c4-8233-aaf5f95fd81f,Sensor für Längsbeschleunigung
Fahrsystem,Fahrdynamikregelsystem,Fahrmodusmanagementsystem,2d9c6bb6-ecc1-4f10-88e4-34b7e46c267e,Sensor für Vertikalbeschleunigung
Fahrsystem,Fahrdynamikregelsystem,Fahrmodusmanagementsystem,181343f4-6ca7-452f-b93c-a3e2535742e7,Sensor für Radschlupf
Fahrsystem,Fahrdynamikregelsystem,Fahrmodusmanagementsystem,03c1b326-2e2e-4563-9e2f-7faca9e57b79,Sensor für Reifendruck
Fahrsystem,Fahrdynamikregelsystem,Fahrmodusmanagementsystem,e829af7e-ddc6-4392-9b66-12028caadd77,Sensor für Motordrehmoment
Fahrsystem,Fahrdynamikregelsystem,Fahrmodusmanagementsystem,bccbf7b6-797f-4d03-a3bd-196e6cd9e34e,Sensor für Getriebedrehmoment
Fahrsystem,Fahrdynamikregelsystem,Fahrmodusmanagementsystem,76d4e92c-9c8e-4795-a023-4159e98edba0,Sensor für Bremsdruck
Fahrsystem,Fahrdynamikregelsystem,Fahrmodusmanagementsystem,d38a30cc-55ba-476d-b864-61cc0ce9a144,Sensor für Bremstemperatur
Fahrsystem,Fahrdynamikregelsystem,Fahrmodusmanagementsystem,e386e981-4f59-4ba9-b785-054e6e8477f4,Sensor für Batterieladestand
Fahrsystem,Fahrdynamikregelsystem,Fahrmodusmanagementsystem,4bee391b-6a47-4f43-8a0d-d3d04684a4b9,Sensor für Batterietemperatur
Fahrsystem,Fahrdynamikregelsystem,Fahrmodusmanagementsystem,e7a742ea-7b20-4e3d-86ef-ac69547070ea,Sensor für Umgebungstemperatur
Fahrsystem,Fahrdynamikregelsystem,Fahrmodusmanagementsystem,f97dea33-9333-46cc-a40b-8c2201939622,Sensor für Luftfeuchtigkeit
Fahrsystem,Fahrdynamikregelsystem,Fahrmodusmanagementsystem,db8c8af9-67ab-4429-8249-b8a65bd95259,Sensor für Straßenneigung
Fahrsystem,Fahrdynamikregelsystem,Fahrmodusmanagementsystem,d1638979-53dd-48b3-8b15-292e40467d3d,Sensor für Straßenoberfläche
Fahrsystem,Fahrdynamikregelsystem,Fahrmodusmanagementsystem,4d2ce701-0ea7-44bb-a0ef-cfc0ef7b6417,Sensor für Fahrzeughöhe
Fahrsystem,Fahrdynamikregelsystem,Fahrmodusmanagementsystem,b6812f35-9c91-4269-adc9-f0924d75cdb8,Sensor für Fahrzeuggewicht
Fahrsystem,Fahrdynamikregelsystem,Fahrmodusmanagementsystem,9bf49a9f-1557-43e2-8fe7-4bececc15209,Sensor für Fahrzeugneigung
Fahrsystem,Fahrdynamikregelsystem,Fahrmodusmanagementsystem,9a0228c3-6db7-44b2-9b46-905446d599df,Sensor für Fahrzeugrollwinkel
Fahrsystem,Fahrdynamikregelsystem,Fahrmodusmanagementsystem,d1ef8142-ed54-4a6a-8186-afe4f26cb7a0,Sensor für Fahrzeugyaw-Winkel
Fahrsystem,Fahrdynamikregelsystem,Fahrmodusmanagementsystem,f31eb272-970e-45ea-aaa3-7d80845f88ee,Sensor für Fahrzeugpitch-Winkel
Fahrsystem,Fahrdynamikregelsystem,Fahrmodusmanagementsystem,4691611b-5644-4874-8536-16ccae52b09f,Sensor für Fahrzeugstabilität
Fahrsystem,Fahrdynamikregelsystem,Fahrmodusmanagementsystem,359996c8-d675-4c43-98da-13320c36aa64,Sensor für Fahrzeugdynamik
Fahrsystem,Fahrdynamikregelsystem,Fahrmodusmanagementsystem,28823b82-b4f9-4f53-9570-05d148f924d9,Sensor für Fahrzeugposition
Fahrsystem,Fahrdynamikregelsystem,Fahrmodusmanagementsystem,57b5f940-4005-4b17-ab6e-957bbd8c52aa,Sensor für Fahrzeugrichtung
Fahrsystem,Fahrdynamikregelsystem,Fahrmodusmanagementsystem,aab7081d-fada-4b65-a27d-7770640d2bf5,Sensor für Fahrzeugbeschleunigung
Fahrsystem,Fahrdynamikregelsystem,Fahrmodusmanagementsystem,61464c3f-5d44-4bf6-90ba-0961e0bbd104,Sensor für Fahrzeugdeceleration
Fahrsystem,Fahrdynamikregelsystem,Fahrmodusmanagementsystem,9bacbea7-944a-40c7-9336-09539e73b4c8,Sensor für Fahrzeugenergieverbrauch
Fahrsystem,Fahrdynamikregelsystem,Fahrmodusmanagementsystem,b768a561-9873-442d-8f7a-b83c0b9fb178,Fahrmodussteuerungssoftware
Fahrsystem,Fahrdynamikregelsystem,Fahrmodusmanagementsystem,d908f64e-094a-45c5-8c68-670806edd51e,Fahrmoduslogiksoftware
Fahrsystem,Fahrdynamikregelsystem,Fahrmodusmanagementsystem,f5e0259a-a166-46ac-b1cc-a8f14500c405,Fahrmoduserkennungssoftware
Fahrsystem,Fahrdynamikregelsystem,Fahrmodusmanagementsystem,4a857e42-dc07-4ab5-bd0a-e9b4ed682417,Fahrmodusanpassungssoftware
Fahrsystem,Fahrdynamikregelsystem,Fahrmodusmanagementsystem,8bcc64f4-a7c5-42b4-848c-5f3077765c33,Fahrmodusspeicherungssoftware
Fahrsystem,Fahrdynamikregelsystem,Fahrmodusmanagementsystem,32c4de72-62c6-4532-9b88-c6b51b356d1b,Fahrmodussynchronisationssoftware
Fahrsystem,Fahrdynamikregelsystem,Fahrmodusmanagementsystem,ae1d4ba8-02cc-4623-9a69-116cd52bba26,Fahrmodusoptimierungssoftware
Fahrsystem,Fahrdynamikregelsystem,Fahrmodusmanagementsystem,fc0f497a-a4bc-40fe-8e44-2c9dcdeff879,Fahrmodusdiagnosesoftware
Fahrsystem,Fahrdynamikregelsystem,Fahrmodusmanagementsystem,1c79453a-4ef4-447c-a84b-c5c0dc621112,Fahrmodusprognosesoftware
Fahrsystem,Fahrdynamikregelsystem,Fahrmodusmanagementsystem,c53f86b2-4c8b-4fc0-8044-9f6d39350026,Fahrmodusüberwachungssoftware
Fahrsystem,Fahrdynamikregelsystem,Fahrmodusmanagementsystem,ce2f7edf-2a3b-4b22-98af-7a71ed14518d,Fahrmodusregelungssoftware
Fahrsystem,Fahrdynamikregelsystem,Fahrmodusmanagementsystem,50c1064d-263d-4f94-be7e-96ce45e421eb,Fahrmoduspriorisierungssoftware
Fahrsystem,Fahrdynamikregelsystem,Fahrmodusmanagementsystem,a753e5d4-b9b6-4b08-8cb7-0c3ed904af9c,Fahrmodusaktivierungssoftware
Fahrsystem,Fahrdynamikregelsystem,Fahrmodusmanagementsystem,84a80599-0e77-4e6b-943c-f0467fdf546a,Fahrmodusdeaktivierungssoftware
Fahrsystem,Fahrdynamikregelsystem,Fahrmodusmanagementsystem,72490ace-cf6c-415f-9769-842cd010765c,Fahrmoduskalibrierungssoftware
Fahrsystem,Fahrdynamikregelsystem,Fahrmodusmanagementsystem,692a89c8-92c2-4456-a8b1-9f99196949b2,Fahrmodusvalidierungssoftware
