Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Fahrsystem,Fahrdynamikregelsystem,Fahrstabilitätsüberwachungssystem,2afff51b-db0f-4b5e-8efc-77205a267130,Sensor für Fahrzeuggeschwindigkeit
Fahrsystem,Fahrdynamikregelsystem,Fahrstabilitätsüberwachungssystem,a623599c-d796-4152-bf55-c537bed3e3ae,Sensor für Lenkwinkel
Fahrsystem,Fahrdynamikregelsystem,Fahrstabilitätsüberwachungssystem,e06c823a-581c-49e1-9520-4510f2e7a2fb,Sensor für Gierrate
Fahrsystem,Fahrdynamikregelsystem,Fahrstabilitätsüberwachungssystem,17389899-e640-4b59-a32b-8632d272b076,Sensor für Querbeschleunigung
Fahrsystem,Fahrdynamikregelsystem,Fahrstabilitätsüberwachungssystem,74405f00-9175-46a7-a0e4-1e4c0ff70362,Sensor für Längsbeschleunigung
Fahrsystem,Fahrdynamikregelsystem,Fahrstabilitätsüberwachungssystem,b938750e-e1b2-4ee5-b37f-4441a9d26d05,Sensor für Vertikalbeschleunigung
Fahrsystem,Fahrdynamikregelsystem,Fahrstabilitätsüberwachungssystem,2a29c4a5-5048-4d50-a42c-ee0fc18bbb87,Sensor für Radgeschwindigkeit
Fahrsystem,Fahrdynamikregelsystem,Fahrstabilitätsüberwachungssystem,c90ea32a-156d-4f7e-8a71-47fcd7a7d33f,Sensor für Reifendruck
Fahrsystem,Fahrdynamikregelsystem,Fahrstabilitätsüberwachungssystem,99c1b4c6-5c81-4c26-96c8-4e19530fa4d9,Sensor für Bremsdruck
Fahrsystem,Fahrdynamikregelsystem,Fahrstabilitätsüberwachungssystem,34b847df-c480-4f71-a8e9-d550dfefc5f0,Sensor für Motordrehmoment
Fahrsystem,Fahrdynamikregelsystem,Fahrstabilitätsüberwachungssystem,455f9fcc-31d3-4bb7-a785-1e8e1ee67ef9,Sensor für Getriebedrehmoment
Fahrsystem,Fahrdynamikregelsystem,Fahrstabilitätsüberwachungssystem,d05ea17b-4a27-4380-92b7-a102d9ba0e4e,Sensor für Antriebsleistung
Fahrsystem,Fahrdynamikregelsystem,Fahrstabilitätsüberwachungssystem,bdc6cfbd-17c6-4522-9abc-bbed2196de36,Sensor für Achslast
Fahrsystem,Fahrdynamikregelsystem,Fahrstabilitätsüberwachungssystem,4ba39e95-6562-484e-81a1-c0b6a557348c,Sensor für Fahrzeugneigung
Fahrsystem,Fahrdynamikregelsystem,Fahrstabilitätsüberwachungssystem,3cec1ce5-e326-42df-8524-948a13a7aaa2,Sensor für Umgebungslicht
Fahrsystem,Fahrdynamikregelsystem,Fahrstabilitätsüberwachungssystem,54477967-58a9-4689-8543-4db44b2cde6c,Sensor für Straßenoberfläche
Fahrsystem,Fahrdynamikregelsystem,Fahrstabilitätsüberwachungssystem,dbe148cc-aa1e-44fe-86a4-4908f572991c,Sensor für Temperatur
Fahrsystem,Fahrdynamikregelsystem,Fahrstabilitätsüberwachungssystem,c2b7de86-f57b-4f41-94fa-b3cee6f0b98d,Sensor für Feuchtigkeit
Fahrsystem,Fahrdynamikregelsystem,Fahrstabilitätsüberwachungssystem,0cd17d8f-97f6-4400-bfcd-5a71e2f77f5f,Sensor für Magnetfeld
Fahrsystem,Fahrdynamikregelsystem,Fahrstabilitätsüberwachungssystem,77908358-36dd-4061-bf72-b8218ad98d65,Sensor für GPS-Position
Fahrsystem,Fahrdynamikregelsystem,Fahrstabilitätsüberwachungssystem,8e01eade-b0ac-4a9e-8ee9-ef9a8cfb4759,Sensor für Fahrzeughöhe
Fahrsystem,Fahrdynamikregelsystem,Fahrstabilitätsüberwachungssystem,84ba3c7c-d346-4519-8c2d-f102264b2d41,Sensor für Fahrzeugmasse
Fahrsystem,Fahrdynamikregelsystem,Fahrstabilitätsüberwachungssystem,0e3eb48e-87f3-4514-9b9c-ad9975065a4c,Sensor für Batteriezustand
Fahrsystem,Fahrdynamikregelsystem,Fahrstabilitätsüberwachungssystem,e58d7950-b61a-4fe6-8031-b13556cda739,Sensor für Energieverbrauch
Fahrsystem,Fahrdynamikregelsystem,Fahrstabilitätsüberwachungssystem,c1f44840-a39c-4884-af04-906b52d0da79,Sensor für Energiefluss
