Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Infotainmentsystem,Kommunikationssystem,FahrzeugCloudKommunikationssystem,29e56c9e-993a-4989-8162-812fe8a75ccd,Steuergerät
Infotainmentsystem,Kommunikationssystem,FahrzeugCloudKommunikationssystem,95c0e8ff-06eb-40e0-a9ac-97e517f3ae0e,Antennensystem
Infotainmentsystem,Kommunikationssystem,FahrzeugCloudKommunikationssystem,d6938424-29ef-4422-8237-ae50c4d18ba6,Kommunikationsmodul
Infotainmentsystem,Kommunikationssystem,FahrzeugCloudKommunikationssystem,15b58b25-ecc6-4a88-b581-cd8868eb8af3,RFID-Leser
Infotainmentsystem,Kommunikationssystem,FahrzeugCloudKommunikationssystem,ec3c7f3a-906c-4f62-b255-670f75703acd,GPS-Empfänger
Infotainmentsystem,Kommunikationssystem,FahrzeugCloudKommunikationssystem,d6400502-31d0-49ee-ac31-2f7900d9e92a,WiFi-Modul
Infotainmentsystem,Kommunikationssystem,FahrzeugCloudKommunikationssystem,6af3b81e-0940-47af-b486-6a453930e149,Bluetooth-Modul
Infotainmentsystem,Kommunikationssystem,FahrzeugCloudKommunikationssystem,610c8fca-2149-42e7-8cb7-79866ce51812,4G-Modem
Infotainmentsystem,Kommunikationssystem,FahrzeugCloudKommunikationssystem,1b0ba297-8932-4e94-852f-43c2ce6c6ecb,5G-Modem
Infotainmentsystem,Kommunikationssystem,FahrzeugCloudKommunikationssystem,d43be76c-a76e-4841-8485-854fadc50c83,Speichermodul
Infotainmentsystem,Kommunikationssystem,FahrzeugCloudKommunikationssystem,4777d58c-1aa2-4824-91a7-b80623885317,Prozessorchip
Infotainmentsystem,Kommunikationssystem,FahrzeugCloudKommunikationssystem,aaab2a89-7f79-45af-93b3-b45d842a7785,Signalverstärker
Infotainmentsystem,Kommunikationssystem,FahrzeugCloudKommunikationssystem,8762872c-d9c0-40b4-8d73-89a80585615c,Stromversorgungseinheit
Infotainmentsystem,Kommunikationssystem,FahrzeugCloudKommunikationssystem,c6c02f4d-6369-44c1-b042-8074b3bcb6f3,Kühlkörper
Infotainmentsystem,Kommunikationssystem,FahrzeugCloudKommunikationssystem,5d14e638-2178-4c12-8315-1786e026d0f5,Bus-System-Controller
Infotainmentsystem,Kommunikationssystem,FahrzeugCloudKommunikationssystem,3d8bea65-4582-4660-afa1-ecd4835d93fa,Sensoren für Fahrzeugposition
Infotainmentsystem,Kommunikationssystem,FahrzeugCloudKommunikationssystem,097ac72d-1bdf-47e5-80b2-70bc1cbdec51,Sensoren für Umgebungsdaten
Infotainmentsystem,Kommunikationssystem,FahrzeugCloudKommunikationssystem,1881267f-a072-4239-b3f2-e3da2494b236,Display-Schnittstelle
Infotainmentsystem,Kommunikationssystem,FahrzeugCloudKommunikationssystem,ccc231b3-e6ed-4aff-ac70-11df86155ca4,LED-Anzeigen
Infotainmentsystem,Kommunikationssystem,FahrzeugCloudKommunikationssystem,b9945986-b672-4053-bf62-d14e3bf89273,Diagnoseanschluss
Infotainmentsystem,Kommunikationssystem,FahrzeugCloudKommunikationssystem,0ce11a13-28ba-473f-b8fd-5fb037c0cd65,Netzwerk-Switch
Infotainmentsystem,Kommunikationssystem,FahrzeugCloudKommunikationssystem,6c34de08-0fe2-490d-9e1d-1cc5c63a567b,Router
Infotainmentsystem,Kommunikationssystem,FahrzeugCloudKommunikationssystem,fed2841f-cfd7-4d8a-8008-2dad1c229da2,Gateway-Modul
Infotainmentsystem,Kommunikationssystem,FahrzeugCloudKommunikationssystem,3d7be8ed-8cce-4ff6-b9e3-120395e70b48,USB-Anschluss
Infotainmentsystem,Kommunikationssystem,FahrzeugCloudKommunikationssystem,5b21ae78-aa40-42d1-955c-b9ccb62cd535,SD-Kartenleser
Infotainmentsystem,Kommunikationssystem,FahrzeugCloudKommunikationssystem,aa3c1321-6e35-4dc1-8bd7-416c9bebe755,Backup-Batterie
Infotainmentsystem,Kommunikationssystem,FahrzeugCloudKommunikationssystem,60c1de44-c357-4c58-ac03-0ca29ba1930c,EMV-Abschirmung
Infotainmentsystem,Kommunikationssystem,FahrzeugCloudKommunikationssystem,e567e856-4464-455a-af13-0c231f3a106f,Steckverbinder
Infotainmentsystem,Kommunikationssystem,FahrzeugCloudKommunikationssystem,c52b678e-44c3-4d90-8cef-1095fc726abf,Relais
Infotainmentsystem,Kommunikationssystem,FahrzeugCloudKommunikationssystem,3d8f97de-10c4-4839-9568-a0a23a9781f8,Schutzgehäuse
Infotainmentsystem,Kommunikationssystem,FahrzeugCloudKommunikationssystem,37527c22-3590-477c-ae45-d3a98c4971f6,Kommunikationsprotokoll-Stack
Infotainmentsystem,Kommunikationssystem,FahrzeugCloudKommunikationssystem,a3d41cb3-ffe1-45f6-a724-74724dc236db,Cloud-Synchronisationssoftware
Infotainmentsystem,Kommunikationssystem,FahrzeugCloudKommunikationssystem,d815b16c-aa7e-46d4-b694-a612aa6ec6bd,Fehlerprotokollierungssoftware
Infotainmentsystem,Kommunikationssystem,FahrzeugCloudKommunikationssystem,a4a7f915-7928-4a08-96a6-7e1ccc94ec2f,Diagnosesoftware
Infotainmentsystem,Kommunikationssystem,FahrzeugCloudKommunikationssystem,b98af3e8-04c6-4761-be61-d10bdb6f1be1,OTA-Update-Manager
Infotainmentsystem,Kommunikationssystem,FahrzeugCloudKommunikationssystem,a11cd7c9-21c0-4bc2-8804-1a3dcfa66d01,Authentifizierungssoftware
Infotainmentsystem,Kommunikationssystem,FahrzeugCloudKommunikationssystem,9edb1a92-b9da-48cc-a207-8e5f8e069682,Datensicherheitssoftware
Infotainmentsystem,Kommunikationssystem,FahrzeugCloudKommunikationssystem,447d4c55-237d-46e9-bb33-c155dd25d2c1,Firewall-Software
Infotainmentsystem,Kommunikationssystem,FahrzeugCloudKommunikationssystem,30386750-7c4d-4392-8564-dc2e0a51f76b,Netzwerkmanagementsoftware
Infotainmentsystem,Kommunikationssystem,FahrzeugCloudKommunikationssystem,1ecd215f-2d30-4846-85c7-ef7f20f3d60b,API-Managementsoftware
Infotainmentsystem,Kommunikationssystem,FahrzeugCloudKommunikationssystem,4c3866cc-7178-4965-81e7-ac6c689c0449,Protokollkonvertierungssoftware
Infotainmentsystem,Kommunikationssystem,FahrzeugCloudKommunikationssystem,6536fd78-04d8-45af-83d3-335b72a21d38,Software für Datenkompression
Infotainmentsystem,Kommunikationssystem,FahrzeugCloudKommunikationssystem,4845cdce-3d7b-4af0-95a6-d0973cd982a0,Software für Datenverschlüsselung
Infotainmentsystem,Kommunikationssystem,FahrzeugCloudKommunikationssystem,99dc78aa-f296-4ad4-a5c2-7fac7deebd0b,Software für Datenentschlüsselung
Infotainmentsystem,Kommunikationssystem,FahrzeugCloudKommunikationssystem,ea17150a-522b-4b37-9c13-617cbe4a0a49,Software für Datenanalyse
Infotainmentsystem,Kommunikationssystem,FahrzeugCloudKommunikationssystem,824c5309-1a2b-441d-af93-19a7ba59c33e,Software für Fahrzeugstatusüberwachung
Infotainmentsystem,Kommunikationssystem,FahrzeugCloudKommunikationssystem,79a97d0f-cd93-4fd4-9a0c-9106ccef84b9,Software für Fahrzeugpositionserkennung
Infotainmentsystem,Kommunikationssystem,FahrzeugCloudKommunikationssystem,046fd8e4-0d97-43ba-b3ea-8124f62f8437,Software für Umgebungsdatenverarbeitung
Infotainmentsystem,Kommunikationssystem,FahrzeugCloudKommunikationssystem,d600c09f-9087-4abf-9df8-a1663eaec28e,Software für Benutzerzugriffssteuerung
Infotainmentsystem,Kommunikationssystem,FahrzeugCloudKommunikationssystem,b5067019-a6aa-4aa6-a3a3-d87832bb4dca,Software für Fahrzeug-zu-Fahrzeug-Kommunikation
Infotainmentsystem,Kommunikationssystem,FahrzeugCloudKommunikationssystem,eac0c72d-641f-436b-b512-41292de362d3,Software für Fahrzeug-zu-Infrastruktur-Kommunikation
Infotainmentsystem,Kommunikationssystem,FahrzeugCloudKommunikationssystem,0eb40ad9-d058-4e84-8eec-2eb3ad99e853,Software für Fahrzeug-zu-Cloud-Kommunikation
Infotainmentsystem,Kommunikationssystem,FahrzeugCloudKommunikationssystem,7d316200-5fae-45b0-9598-22732b41512b,Software für Echtzeit-Datenübertragung
Infotainmentsystem,Kommunikationssystem,FahrzeugCloudKommunikationssystem,207a9eec-d36d-4736-ae96-8a8af4f124a0,Software für Datenpufferung
Infotainmentsystem,Kommunikationssystem,FahrzeugCloudKommunikationssystem,cffeb133-c8a3-4379-acae-4c20f4022a6b,Software für Datenrouting
Infotainmentsystem,Kommunikationssystem,FahrzeugCloudKommunikationssystem,b994501e-9810-428a-b495-0d6116d81c21,Software für Datenpriorisierung
Infotainmentsystem,Kommunikationssystem,FahrzeugCloudKommunikationssystem,11e61d00-1032-416d-a34d-0d78635d7f04,Software für Datenvalidierung
Infotainmentsystem,Kommunikationssystem,FahrzeugCloudKommunikationssystem,7df3f842-ed88-41ff-86be-a183ece8a0c6,Software für Datenintegrität
Infotainmentsystem,Kommunikationssystem,FahrzeugCloudKommunikationssystem,a5952239-bc50-4e3b-9a0c-79817e362030,Software für Datenwiederherstellung
Infotainmentsystem,Kommunikationssystem,FahrzeugCloudKommunikationssystem,ecbbe493-432c-4e69-b9f0-c68def4a9411,Software für Datenarchivierung
