Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Infotainmentsystem,Kommunikationssystem,Fahrzeuginternedatenkommunikationssystem,ef2395a1-cb4b-4ffe-98a2-3dd494be914b,Steuergerät
Infotainmentsystem,Kommunikationssystem,Fahrzeuginternedatenkommunikationssystem,161eb87f-30be-4c1f-bf32-d2fce38e5922,Kommunikationsmodul
Infotainmentsystem,Kommunikationssystem,Fahrzeuginternedatenkommunikationssystem,e32f119b-10b0-4bed-9390-e4c292904e90,Antennensystem
Infotainmentsystem,Kommunikationssystem,Fahrzeuginternedatenkommunikationssystem,81aa29a2-434c-4f2d-8394-3bec2eea951a,Bus-Transceiver
Infotainmentsystem,Kommunikationssystem,Fahrzeuginternedatenkommunikationssystem,f14caa71-73f9-48c9-bc99-0e24a707c5fb,Bus-Koppler
Infotainmentsystem,Kommunikationssystem,Fahrzeuginternedatenkommunikationssystem,d38657ab-a4dc-47aa-b7be-2d9019bba3cc,Signalverstärker
Infotainmentsystem,Kommunikationssystem,Fahrzeuginternedatenkommunikationssystem,aac03c66-4d0f-4c69-81d8-498e0115f7af,Signalfilter
Infotainmentsystem,Kommunikationssystem,Fahrzeuginternedatenkommunikationssystem,590b39e8-b50c-4ae1-8fd7-5c549bd22bb9,Leiterplatte
Infotainmentsystem,Kommunikationssystem,Fahrzeuginternedatenkommunikationssystem,1281ff57-f749-4045-afe1-edf2fe5c6928,Steckverbinder
Infotainmentsystem,Kommunikationssystem,Fahrzeuginternedatenkommunikationssystem,aa452b15-0e99-4249-a6ce-f9c9f2f0e29c,Spannungsregler
Infotainmentsystem,Kommunikationssystem,Fahrzeuginternedatenkommunikationssystem,7d185066-93e3-4a05-a556-f967e5f0266d,Speicherchip
Infotainmentsystem,Kommunikationssystem,Fahrzeuginternedatenkommunikationssystem,b91840cb-4b79-4904-b531-e51ca9213f55,Prozessorchip
Infotainmentsystem,Kommunikationssystem,Fahrzeuginternedatenkommunikationssystem,455535c2-1f0e-4b99-a621-348205ca7753,Sensorinterface
Infotainmentsystem,Kommunikationssystem,Fahrzeuginternedatenkommunikationssystem,e1b1eac8-0c6a-46ae-aea6-6ab55d65cda2,Diagnosestecker
Infotainmentsystem,Kommunikationssystem,Fahrzeuginternedatenkommunikationssystem,4e1ce472-91ca-4814-b8e7-87db81ae591b,Relaismodul
Infotainmentsystem,Kommunikationssystem,Fahrzeuginternedatenkommunikationssystem,641dcac3-36f4-4fee-8755-47967813e0e3,Schutzgehäuse
Infotainmentsystem,Kommunikationssystem,Fahrzeuginternedatenkommunikationssystem,36e15e8e-abda-4e8f-86a7-19e2a96b2965,Kühlkörper
Infotainmentsystem,Kommunikationssystem,Fahrzeuginternedatenkommunikationssystem,bdba7401-67a5-4db0-a69e-f4c42e6e75db,Stromversorgungseinheit
Infotainmentsystem,Kommunikationssystem,Fahrzeuginternedatenkommunikationssystem,911b92b2-dd81-4fac-acac-538f34042f86,EMV-Filter
Infotainmentsystem,Kommunikationssystem,Fahrzeuginternedatenkommunikationssystem,0112188a-d820-4c81-a045-b548318b3910,Optokoppler
Infotainmentsystem,Kommunikationssystem,Fahrzeuginternedatenkommunikationssystem,c19898be-7145-4a5a-815c-2e8969e12e55,LED-Anzeige
Infotainmentsystem,Kommunikationssystem,Fahrzeuginternedatenkommunikationssystem,717b2cc2-202b-48e5-b447-01f039adc62d,Diagnoseinterface
Infotainmentsystem,Kommunikationssystem,Fahrzeuginternedatenkommunikationssystem,d389fdb5-635a-4140-86af-affa4bb6510d,Signalwandler
Infotainmentsystem,Kommunikationssystem,Fahrzeuginternedatenkommunikationssystem,1dea2ee1-4dec-4bf9-b64b-e5343fe5c701,Schaltkreis
Infotainmentsystem,Kommunikationssystem,Fahrzeuginternedatenkommunikationssystem,9624a922-a0e4-4002-9f00-92a8643c0bf6,Kommunikationskabel
