Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Bodysystem,Zugangssystem,Fahrzeugstartfreigabesystem,c86526d8-9274-4ffe-b4da-89095254bf42,Schlüsseltransponder
Bodysystem,Zugangssystem,Fahrzeugstartfreigabesystem,2705c3d2-06f6-45b8-bbaa-1c3b98edb1da,RFID-Chip
Bodysystem,Zugangssystem,Fahrzeugstartfreigabesystem,a4cf14dc-c6b4-45e9-a8d3-2f126fff1f10,ECU-Gehäuse
Bodysystem,Zugangssystem,Fahrzeugstartfreigabesystem,43337110-2447-462b-9786-1e27b2cee786,Relaismodul
Bodysystem,Zugangssystem,Fahrzeugstartfreigabesystem,d49ce006-a397-4e81-966a-54af479e9638,Antenneneinheit
Bodysystem,Zugangssystem,Fahrzeugstartfreigabesystem,db1fbf67-98cd-4f6e-bc56-d1957b9753ef,Schlüsselsender
Bodysystem,Zugangssystem,Fahrzeugstartfreigabesystem,511dd160-3977-4624-b4d0-08c265bc982a,Empfangsmodul
Bodysystem,Zugangssystem,Fahrzeugstartfreigabesystem,a7e90161-10ab-4960-b475-ba395eba984b,Startknopf
Bodysystem,Zugangssystem,Fahrzeugstartfreigabesystem,ac7fc3f2-069d-4da0-a58f-63928f80e780,Steckverbindung
Bodysystem,Zugangssystem,Fahrzeugstartfreigabesystem,40a4498b-360c-4a0e-a80e-04c100b7bfca,Spannungswandler
Bodysystem,Zugangssystem,Fahrzeugstartfreigabesystem,8c5de136-8269-4425-87b5-ff20462ca731,Signalverstärker
Bodysystem,Zugangssystem,Fahrzeugstartfreigabesystem,4b5169c5-0cf9-4a55-8404-331650311714,LED-Anzeige
Bodysystem,Zugangssystem,Fahrzeugstartfreigabesystem,99c67f85-9cb8-4be7-bbc9-7a198635bbf3,Sensorinterface
Bodysystem,Zugangssystem,Fahrzeugstartfreigabesystem,668822a7-ce0c-45d0-aaa3-1b052a7dc62c,Schlüsselbatterie
Bodysystem,Zugangssystem,Fahrzeugstartfreigabesystem,4f5b7152-63cd-40ed-95d9-55f6e24cdbf1,Schlüsselgehäuse
Bodysystem,Zugangssystem,Fahrzeugstartfreigabesystem,c2cfd820-6446-41ea-8dda-684b266428b8,Schlüsselspule
Bodysystem,Zugangssystem,Fahrzeugstartfreigabesystem,1fdd71c8-fc73-4d09-a814-602c3f6653f8,Schlüsselsensor
Bodysystem,Zugangssystem,Fahrzeugstartfreigabesystem,5fe913a9-63c1-4f06-9097-c0bc2892bd52,Schlüsselplatine
Bodysystem,Zugangssystem,Fahrzeugstartfreigabesystem,3a6aa38e-5950-49d0-9866-969935a1777c,Schlüsselmechanik
