Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Infotainmentsystem,Kommunikationssystem,FahrzeugzuFahrzeugKommunikationssystem,16636509-1bff-4018-acac-c18a8378b547,Antenne
Infotainmentsystem,Kommunikationssystem,FahrzeugzuFahrzeugKommunikationssystem,9bb29152-f58d-40f5-aa74-e56a171b1713,RF-Modul
Infotainmentsystem,Kommunikationssystem,FahrzeugzuFahrzeugKommunikationssystem,7380d394-257f-4b8f-8570-bddd84422622,Signalverstärker
Infotainmentsystem,Kommunikationssystem,FahrzeugzuFahrzeugKommunikationssystem,05b57837-5fa7-41a8-ac06-5e6e003b49c1,Kommunikationsprozessor
Infotainmentsystem,Kommunikationssystem,FahrzeugzuFahrzeugKommunikationssystem,c901d551-5ce1-4819-b38f-6de1aec281e1,Speicherchip
Infotainmentsystem,Kommunikationssystem,FahrzeugzuFahrzeugKommunikationssystem,2711533b-d8a7-4525-8500-70506d481c82,Transceiver
Infotainmentsystem,Kommunikationssystem,FahrzeugzuFahrzeugKommunikationssystem,abe05b6d-b577-40fc-9c30-e6420ddc8972,Steuergerät
Infotainmentsystem,Kommunikationssystem,FahrzeugzuFahrzeugKommunikationssystem,08d7e3f5-75b8-4a3b-8aec-7b1343c90240,Spannungsregler
Infotainmentsystem,Kommunikationssystem,FahrzeugzuFahrzeugKommunikationssystem,7641f537-0390-4622-9a47-5fd83f9ffd0c,PCB
Infotainmentsystem,Kommunikationssystem,FahrzeugzuFahrzeugKommunikationssystem,e51d6545-d828-4842-8dea-2877795c55eb,HF-Kabel
Infotainmentsystem,Kommunikationssystem,FahrzeugzuFahrzeugKommunikationssystem,70f882fd-8a68-4118-b08f-b2a0c00de01e,Steckverbinder
Infotainmentsystem,Kommunikationssystem,FahrzeugzuFahrzeugKommunikationssystem,e103614a-63b9-41e3-b98e-6e358cd6bd93,Sensoren
Infotainmentsystem,Kommunikationssystem,FahrzeugzuFahrzeugKommunikationssystem,05a7250b-9f04-4c7d-ad58-f389650af798,LED-Anzeigen
Infotainmentsystem,Kommunikationssystem,FahrzeugzuFahrzeugKommunikationssystem,628ae6ae-9628-4e3d-a807-b12b863ab0a3,Diagnoseanschluss
Infotainmentsystem,Kommunikationssystem,FahrzeugzuFahrzeugKommunikationssystem,edafc29c-4690-4cb0-b0f2-a293e99bb2a7,EMV-Filter
