Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Bodysystem,Karosseriesteuerungssystem,Fensterhebersteuerungssystem,8ad5cfc6-d936-4de8-86f6-aa3bf1e1946c,Fensterhebermotor
Bodysystem,Karosseriesteuerungssystem,Fensterhebersteuerungssystem,2b485814-51d0-4c94-aabb-7d3d713032dd,Fensterheberschalter
Bodysystem,Karosseriesteuerungssystem,Fensterhebersteuerungssystem,7253aa07-d6eb-4c45-8ed0-ade883e2cea2,Fensterhebermechanik
Bodysystem,Karosseriesteuerungssystem,Fensterhebersteuerungssystem,59c6bf07-d352-4a6d-b657-a1dce32b6d75,Fensterheberführungsschiene
Bodysystem,Karosseriesteuerungssystem,Fensterhebersteuerungssystem,90dc6e18-d2d1-412b-8e43-e93a453070cf,Fensterheberkabelbaum
Bodysystem,Karosseriesteuerungssystem,Fensterhebersteuerungssystem,71582b2b-68fe-437c-a043-269fc2c6e13a,Fensterhebersteuergerät
Bodysystem,Karosseriesteuerungssystem,Fensterhebersteuerungssystem,377f9c83-867f-47d7-9bdb-958e39ebaecc,Fensterheberpositionssensor
Bodysystem,Karosseriesteuerungssystem,Fensterhebersteuerungssystem,e70baa9d-3c2e-4699-bda9-b45a454d25f8,Fensterheberendlagensensor
Bodysystem,Karosseriesteuerungssystem,Fensterhebersteuerungssystem,8c2f7c3c-b816-44ca-a021-0ce9c49ddaa4,Fensterheberdichtung
Bodysystem,Karosseriesteuerungssystem,Fensterhebersteuerungssystem,e8482633-1841-40ad-98c6-0f6a823f1d62,Fensterhebergetriebe
Bodysystem,Karosseriesteuerungssystem,Fensterhebersteuerungssystem,0703cb9d-e355-4220-9e9d-ed90d1d23b08,Fensterheberkupplung
Bodysystem,Karosseriesteuerungssystem,Fensterhebersteuerungssystem,203c95b9-2bb2-4a3e-bf38-ec28cc20639e,Fensterheberhalterung
Bodysystem,Karosseriesteuerungssystem,Fensterhebersteuerungssystem,cc10b554-26d1-49df-982c-3278d83c9e54,Fensterheberisolierung
Bodysystem,Karosseriesteuerungssystem,Fensterhebersteuerungssystem,477f469a-9445-41ff-8e92-9566082f97e7,Fensterheberbefestigungsschrauben
Bodysystem,Karosseriesteuerungssystem,Fensterhebersteuerungssystem,afa5fec0-48af-48c3-aae3-6931d323187a,Fensterheberstecker
Bodysystem,Karosseriesteuerungssystem,Fensterhebersteuerungssystem,cdd5f191-d951-4f16-b6b8-7dde8c5c90c4,Fensterheberrelais
Bodysystem,Karosseriesteuerungssystem,Fensterhebersteuerungssystem,ca4f7bea-49c5-4b66-b860-1ba14ce54306,Fensterheberstromversorgung
Bodysystem,Karosseriesteuerungssystem,Fensterhebersteuerungssystem,9682db34-8c9c-4396-a0f0-f08970140630,Fensterheberkondensator
Bodysystem,Karosseriesteuerungssystem,Fensterhebersteuerungssystem,f507ae96-6bf9-4a79-b2d1-9cd865a40a80,Fensterheberwiderstand
Bodysystem,Karosseriesteuerungssystem,Fensterhebersteuerungssystem,e1c7c1b8-8744-479a-9038-30e6e3aabb0d,Fensterheberdiode
Bodysystem,Karosseriesteuerungssystem,Fensterhebersteuerungssystem,c3bf69c5-53f7-4560-8509-d8674704a236,Fensterhebermagnet
Bodysystem,Karosseriesteuerungssystem,Fensterhebersteuerungssystem,92bdd5ef-0da5-413f-8c1e-af6718592c2b,Fensterheberlager
Bodysystem,Karosseriesteuerungssystem,Fensterhebersteuerungssystem,920fb654-abca-41b0-9b6a-0f49232152ff,Fensterheberfedern
Bodysystem,Karosseriesteuerungssystem,Fensterhebersteuerungssystem,ca969a96-7586-4543-8161-a8c48134083d,Fensterheberarm
Bodysystem,Karosseriesteuerungssystem,Fensterhebersteuerungssystem,ce7d4dbd-6146-43f9-9d02-15ba97e45515,Fensterheberrollen
Bodysystem,Karosseriesteuerungssystem,Fensterhebersteuerungssystem,d37a5110-3f11-4cc7-96ea-e5b807f02a85,Fensterheberabdeckung
Bodysystem,Karosseriesteuerungssystem,Fensterhebersteuerungssystem,80f2b476-291a-485a-9839-79c7f42519ce,Fensterheberrahmen
Bodysystem,Karosseriesteuerungssystem,Fensterhebersteuerungssystem,6eeb71cc-7b55-42c1-99e9-99e3acdd52c3,Fensterheberverkleidung
Bodysystem,Karosseriesteuerungssystem,Fensterhebersteuerungssystem,086691b4-be04-42ef-ba39-6afd44314727,Fensterheberglasführung
Bodysystem,Karosseriesteuerungssystem,Fensterhebersteuerungssystem,a8efc4bf-1dcf-44e7-bafb-e2efaa054ecb,Fensterheberglas.
Bodysystem,Karosseriesteuerungssystem,Fensterhebersteuerungssystem,63882951-ab5d-4134-bb88-7c4970a62b59,Fensterhebersteuerungssoftware
