Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Fahrsystem,Rekuperationssystem,GeneratorischesBremssystem,4b6b9cd3-1c0d-4527-9743-d0fa28c104e3,Sensor für Bremsdruck
Fahrsystem,Rekuperationssystem,GeneratorischesBremssystem,141f8f2a-bf3e-4368-a5f1-a485f4e448cf,Sensor für Bremskraft
Fahrsystem,Rekuperationssystem,GeneratorischesBremssystem,5b3be361-f4a6-417a-8386-8dfc115c9806,Sensor für Radgeschwindigkeit
Fahrsystem,Rekuperationssystem,GeneratorischesBremssystem,42986911-95ba-4dbf-9134-cdd9afe57dba,Sensor für Pedalstellung
Fahrsystem,Rekuperationssystem,GeneratorischesBremssystem,241a53a0-899d-4a8e-8b25-9dbbbdd4c729,Sensor für Fahrzeuggeschwindigkeit
Fahrsystem,Rekuperationssystem,GeneratorischesBremssystem,00bf9871-9832-4c6f-a305-9de2f2a10109,Sensor für Fahrzeugneigung
Fahrsystem,Rekuperationssystem,GeneratorischesBremssystem,cbc22e6a-48c1-40e9-b091-c4d86817d8f8,Sensor für Reibungskoeffizient
Fahrsystem,Rekuperationssystem,GeneratorischesBremssystem,81574007-14e3-4b8e-b946-e0fec92f4e82,Sensor für Temperatur
Fahrsystem,Rekuperationssystem,GeneratorischesBremssystem,1918af54-02a2-4429-af64-b28e8dde762c,Sensor für Bremsflüssigkeitsstand
Fahrsystem,Rekuperationssystem,GeneratorischesBremssystem,910fd147-efd4-4d1c-8e3e-4371c6b9a4d4,Sensor für Bremsflüssigkeitsdruck
Fahrsystem,Rekuperationssystem,GeneratorischesBremssystem,b0107afc-adcb-490a-af10-aa26852073e8,Sensor für Bremsflüssigkeitsqualität
Fahrsystem,Rekuperationssystem,GeneratorischesBremssystem,f2822e7b-6831-491d-8369-cb633fb44c13,Sensor für Bremsbelagverschleiß
Fahrsystem,Rekuperationssystem,GeneratorischesBremssystem,5977e103-f013-40de-bb81-826c7c776289,Sensor für Bremsrotortemperatur
Fahrsystem,Rekuperationssystem,GeneratorischesBremssystem,bb12e001-7672-46f2-bfa1-13598bc455ce,Sensor für Bremsrotorverschleiß
Fahrsystem,Rekuperationssystem,GeneratorischesBremssystem,cd7cdb14-10ab-4fc3-9bdb-02231e2d10a9,Sensor für Bremsleitungsdruck
Fahrsystem,Rekuperationssystem,GeneratorischesBremssystem,af991552-851e-400d-b5c5-4e315fcf6d97,Sensor für Bremsleitungstemperatur
Fahrsystem,Rekuperationssystem,GeneratorischesBremssystem,8a48ec2a-8786-448f-9feb-60d213462da2,Sensor für Bremsleitungsvibration
Fahrsystem,Rekuperationssystem,GeneratorischesBremssystem,5f2e7468-9b2b-4431-a6c4-aedb63bc1d53,Sensor für Bremsleitungsspannung
Fahrsystem,Rekuperationssystem,GeneratorischesBremssystem,589663e3-6973-44b9-9d44-a5c3a6e54626,Sensor für Bremsleitungskorrosion
Fahrsystem,Rekuperationssystem,GeneratorischesBremssystem,c60022bf-a690-4446-8968-d26c66d38747,Sensor für Bremsleitungsmaterialermüdung
Fahrsystem,Rekuperationssystem,GeneratorischesBremssystem,f76e6a25-73b2-4d6d-bb3b-52912a7b8f66,Sensor für Bremsleitungsausdehnung
Fahrsystem,Rekuperationssystem,GeneratorischesBremssystem,88b6ae94-eeee-43c8-8073-fc14f23b98d3,Sensor für Bremsleitungsknick
Fahrsystem,Rekuperationssystem,GeneratorischesBremssystem,b7289685-81ab-44f7-87a5-48c014c08881,Sensor für Bremsleitungslänge
Fahrsystem,Rekuperationssystem,GeneratorischesBremssystem,0076c052-18fb-48ad-8079-83188cc63456,Sensor für Bremsleitungskonfiguration
Fahrsystem,Rekuperationssystem,GeneratorischesBremssystem,1da2bab3-2169-4856-9093-4da2a1028d2e,Sensor für Bremsleitungsmontage
Fahrsystem,Rekuperationssystem,GeneratorischesBremssystem,cdabc886-cab1-4e91-933f-6ddca6648f6b,Sensor für Bremsleitungssicherung
Fahrsystem,Rekuperationssystem,GeneratorischesBremssystem,4d5b9b52-06f7-4d59-9a06-e1209c08dbca,Sensor für Bremsleitungsklemmung
Fahrsystem,Rekuperationssystem,GeneratorischesBremssystem,15cd769c-97fa-44fd-b678-e4b9c7715645,Sensor für Bremsleitungskupplung
Fahrsystem,Rekuperationssystem,GeneratorischesBremssystem,d49e7678-e24a-47df-998c-d9cbcfa62ce1,Sensor für Bremsleitungskontakt
Fahrsystem,Rekuperationssystem,GeneratorischesBremssystem,1169b5ce-6272-4e80-8ae8-56602b56dbb8,Sensor für Bremsleitungskabel.
Fahrsystem,Rekuperationssystem,GeneratorischesBremssystem,9ad26d41-d9f5-444b-94e7-f72263b665b9,Bremsdruckregelungssoftware
Fahrsystem,Rekuperationssystem,GeneratorischesBremssystem,62243d99-b965-40db-8c6d-e45a95c22a32,Bremskraftregelungssoftware
Fahrsystem,Rekuperationssystem,GeneratorischesBremssystem,32ad462f-965d-455f-9f96-f25de7215a70,Radgeschwindigkeitsregelungssoftware
Fahrsystem,Rekuperationssystem,GeneratorischesBremssystem,be7b6cba-5d66-4e60-84df-f9950782acc1,Pedalstellungsregelungssoftware
Fahrsystem,Rekuperationssystem,GeneratorischesBremssystem,bd52335a-c8e0-458d-8d3e-3f9e78eba7c1,Fahrzeuggeschwindigkeitsregelungssoftware
Fahrsystem,Rekuperationssystem,GeneratorischesBremssystem,cb6b820f-cb50-4be5-8e3a-0548e44f0abb,Fahrzeugneigungsregelungssoftware
