Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Bodysystem,Komfortsystem,Geräuschkomfortsystem,62afa620-c297-40f3-9fef-174dac618ece,Schallisolierungsmaterial
Bodysystem,Komfortsystem,Geräuschkomfortsystem,717a337b-4034-473d-b136-8a4e27335bb0,Akustikglas
Bodysystem,Komfortsystem,Geräuschkomfortsystem,328d2ff8-59a9-48ce-8936-7e2209777fdf,Geräuschdämpfende Türdichtungen
Bodysystem,Komfortsystem,Geräuschkomfortsystem,d815dffc-3596-47d2-89a1-1afb9de1a965,Schalldämpfende Teppiche
Bodysystem,Komfortsystem,Geräuschkomfortsystem,567aaf2f-047f-47bc-9df3-bda6459770e1,Akustikschaum
Bodysystem,Komfortsystem,Geräuschkomfortsystem,948d39a0-becd-467e-85c1-457b835328fa,Geräuschreduzierende Motorabdeckung
Bodysystem,Komfortsystem,Geräuschkomfortsystem,197ce77a-e26f-4bce-bf9a-679f8117f013,Schwingungsdämpfer
Bodysystem,Komfortsystem,Geräuschkomfortsystem,d5ac93a3-78f6-4dfa-b762-8a336ea37ff5,Geräuschabsorbierende Sitzpolster
Bodysystem,Komfortsystem,Geräuschkomfortsystem,c5ddb8f3-7468-44b5-9303-1db9e0f7f0a9,Akustikdämmung im Dachhimmel
Bodysystem,Komfortsystem,Geräuschkomfortsystem,7632af3d-c851-4af2-b290-13a3ed5a3e40,Geräuschisolierende Radhausverkleidungen
Bodysystem,Komfortsystem,Geräuschkomfortsystem,87d7e7b6-8630-42a4-9079-7b1dfdc6f1fc,Schalldämpfende Lüftungsgitter
Bodysystem,Komfortsystem,Geräuschkomfortsystem,a2122c3d-4614-43f0-a9d8-73f2d85465af,Geräuschreduzierende Reifen
Bodysystem,Komfortsystem,Geräuschkomfortsystem,f0a1d5c3-c922-4527-888e-4ec694e3c24c,Akustikdämmung im Kofferraum
Bodysystem,Komfortsystem,Geräuschkomfortsystem,330029c4-057f-44d8-ab93-15e5e913ace8,Geräuschdämpfende Fensterrahmen
Bodysystem,Komfortsystem,Geräuschkomfortsystem,d1f93848-01cd-44e5-a0fb-19fc567acc3f,Schalldämpfende Türverkleidungen
Bodysystem,Komfortsystem,Geräuschkomfortsystem,50ab46ec-ae5c-4165-9b18-5b704f936036,Geräuschisolierende Armaturenbrettverkleidung
Bodysystem,Komfortsystem,Geräuschkomfortsystem,c561b498-5536-41f1-9c16-f05d585fc2d2,Schwingungsdämpfende Lager
Bodysystem,Komfortsystem,Geräuschkomfortsystem,37c78a1a-3a7f-4e82-b78a-1c8fca131f40,Geräuschreduzierende Auspuffanlage
Bodysystem,Komfortsystem,Geräuschkomfortsystem,055beb1b-49e2-49b3-9bd8-25b80e0ff742,Akustikdämmung im Motorraum
Bodysystem,Komfortsystem,Geräuschkomfortsystem,7678f3cb-ed07-4252-8273-504fd7930893,Geräuschdämpfende Sitzschienen
Bodysystem,Komfortsystem,Geräuschkomfortsystem,4d6e2f40-d8dd-40cc-a706-8f63ec38551c,Schalldämpfende Klimaanlagenkomponenten
Bodysystem,Komfortsystem,Geräuschkomfortsystem,4053f583-3583-4f6f-979f-db8bd254c8ac,Geräuschisolierende Lautsprechergehäuse
Bodysystem,Komfortsystem,Geräuschkomfortsystem,2fc31efa-6314-44d5-8775-e4060fb0f19c,Akustikdämmung im Unterboden
Bodysystem,Komfortsystem,Geräuschkomfortsystem,65ee448b-6fb3-40bf-ab0d-0222fbc290bb,Geräuschreduzierende Lüfter
Bodysystem,Komfortsystem,Geräuschkomfortsystem,81f4b2c7-35c3-4d0a-9087-fe84f0252465,Schwingungsdämpfende Lenkradlager
Bodysystem,Komfortsystem,Geräuschkomfortsystem,d8d27ad2-a851-4b37-a2ff-26cbf8aaf6a5,Geräuschdämpfende Türschlösser
Bodysystem,Komfortsystem,Geräuschkomfortsystem,89e09a0f-179b-41df-914a-063ed285c552,Akustikdämmung in der Mittelkonsole
