Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Infotainmentsystem,Audiosystem,Geräuschkompensationssystem,3c6e4495-bd7e-4704-823e-90f9bd785bec,Mikrofone
Infotainmentsystem,Audiosystem,Geräuschkompensationssystem,d4858d76-3a41-4948-ab12-f44e8f95093f,Lautsprecher
Infotainmentsystem,Audiosystem,Geräuschkompensationssystem,b90ab579-6acc-4cc6-a1bf-50203a8d0919,Akustiksensoren
Infotainmentsystem,Audiosystem,Geräuschkompensationssystem,4dd0d497-be34-4972-bdbf-6c2e67f11b68,Geräuschdämpfungsmaterialien
Infotainmentsystem,Audiosystem,Geräuschkompensationssystem,5c77758e-d10e-47d8-80ab-602cae4002f0,Verstärker
Infotainmentsystem,Audiosystem,Geräuschkompensationssystem,de7ea246-1ead-484b-8fd7-1f2c178734a4,Signalprozessoren
Infotainmentsystem,Audiosystem,Geräuschkompensationssystem,649da345-9a23-421e-9256-0e1c463ad697,Steuergeräte
Infotainmentsystem,Audiosystem,Geräuschkompensationssystem,2e27d142-a936-4823-8236-f35e91085077,Schalldämmplatten
Infotainmentsystem,Audiosystem,Geräuschkompensationssystem,b3ad4c71-45ef-4401-a1fa-e032c3e65fdb,Vibrationssensoren
Infotainmentsystem,Audiosystem,Geräuschkompensationssystem,7124d9db-1892-47a7-8536-4da863df3e37,Membranen
Infotainmentsystem,Audiosystem,Geräuschkompensationssystem,a62c6974-d534-4802-a485-d4fa63c15c98,Audioverstärker
Infotainmentsystem,Audiosystem,Geräuschkompensationssystem,29372828-6709-4531-b271-74f77d4bbab9,Akustikisolatoren
Infotainmentsystem,Audiosystem,Geräuschkompensationssystem,04826e14-a0c1-4ea0-af50-905fbcf0e26c,Schwingungsdämpfer
Infotainmentsystem,Audiosystem,Geräuschkompensationssystem,f602597e-c891-4ada-a811-f7bc44a7d67c,Elektromagnetische Abschirmungen
Infotainmentsystem,Audiosystem,Geräuschkompensationssystem,6415a4b6-99d6-46de-a295-bd5faa98b161,Verbindungskabel
