Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Infotainmentsystem,Anzeige- und Bedienungssystem,Gesteninteraktionssystem,22d5523a-024e-46ca-b9e6-8f137c0d18f2,Kamera
Infotainmentsystem,Anzeige- und Bedienungssystem,Gesteninteraktionssystem,2f4a0846-41c4-4acd-a24d-395044ce9cb5,Infrarotsensor
Infotainmentsystem,Anzeige- und Bedienungssystem,Gesteninteraktionssystem,202a84d5-af6c-4f3a-bfb1-8c3209ca1625,Ultraschallsensor
Infotainmentsystem,Anzeige- und Bedienungssystem,Gesteninteraktionssystem,31b5babe-5fa2-4d5a-bbe9-b9b98561c371,Gestenerkennungssensor
Infotainmentsystem,Anzeige- und Bedienungssystem,Gesteninteraktionssystem,9b30ab4f-96e2-4621-9d33-1426f08b87b3,Prozessor
Infotainmentsystem,Anzeige- und Bedienungssystem,Gesteninteraktionssystem,b50180ff-b7ca-4311-9b28-ce9b49673817,Touchscreen
Infotainmentsystem,Anzeige- und Bedienungssystem,Gesteninteraktionssystem,58ef7cf9-50ff-4329-b42e-7bf5bda110c4,Displaymodul
Infotainmentsystem,Anzeige- und Bedienungssystem,Gesteninteraktionssystem,d691f560-f9d8-46e9-9e27-77d5ec949225,LED-Anzeige
Infotainmentsystem,Anzeige- und Bedienungssystem,Gesteninteraktionssystem,77b6eb53-ad54-411b-aea7-00b68e16c148,Steuergerät
Infotainmentsystem,Anzeige- und Bedienungssystem,Gesteninteraktionssystem,86fbea48-2f8b-4b77-8344-507d0eeb7035,Kommunikationsmodul
Infotainmentsystem,Anzeige- und Bedienungssystem,Gesteninteraktionssystem,cfeba665-dc56-4f3d-b9e5-d838c038caa8,Bewegungssensor
Infotainmentsystem,Anzeige- und Bedienungssystem,Gesteninteraktionssystem,2e880d76-e16c-4692-9fe7-ceee8d7c9488,3D-Kamera
Infotainmentsystem,Anzeige- und Bedienungssystem,Gesteninteraktionssystem,ed75b0f2-26bf-4b51-a17e-f0e931860797,Optischer Sensor
Infotainmentsystem,Anzeige- und Bedienungssystem,Gesteninteraktionssystem,3b5bbda5-5d5a-44aa-8964-9a04d628d6a9,IR-Emitter
Infotainmentsystem,Anzeige- und Bedienungssystem,Gesteninteraktionssystem,f619d0d4-eff2-46c7-909b-9bb47f1b0f09,IR-Empfänger
Infotainmentsystem,Anzeige- und Bedienungssystem,Gesteninteraktionssystem,1bf4c4a6-d7fc-4152-a2c1-68a4992f0ea1,Sensorhalterung
