Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Fahrsystem,Antriebssystem,Getriebemanagementsystem,736d578d-c73e-44a9-9ebb-9c308129b7ec,Sensor für Drehzahlmessung
Fahrsystem,Antriebssystem,Getriebemanagementsystem,652f21d1-721e-4f5c-9446-adbb25957aca,Sensor für Gangposition
Fahrsystem,Antriebssystem,Getriebemanagementsystem,3aad4e2d-13ec-4c82-83fd-a3538bdb110b,Sensor für Kupplungsstellung
Fahrsystem,Antriebssystem,Getriebemanagementsystem,44966165-d2a6-4f76-9088-aaa7665d03f7,Sensor für Getriebetemperatur
Fahrsystem,Antriebssystem,Getriebemanagementsystem,6f473079-02be-4d10-aab4-5ac1de096444,Sensor für Getriebedruck
Fahrsystem,Antriebssystem,Getriebemanagementsystem,bef21115-b994-42e7-802c-8801000c54c5,Sensor für Schaltvorgänge
Fahrsystem,Antriebssystem,Getriebemanagementsystem,744b15a8-2e24-4aff-adbb-4915337b02d4,Sensor für Vibrationserkennung
Fahrsystem,Antriebssystem,Getriebemanagementsystem,fd93d906-161d-4f4a-bf64-ea71accde59d,Sensor für Ölstand
Fahrsystem,Antriebssystem,Getriebemanagementsystem,fad1754d-6543-44d3-ae03-075594ab725f,Sensor für Ölqualität
Fahrsystem,Antriebssystem,Getriebemanagementsystem,f87fffcb-6dc1-4734-b785-6d411148f609,Sensor für Lastzustand
Fahrsystem,Antriebssystem,Getriebemanagementsystem,1f46f703-5a33-4001-b236-93f89bd1f143,Sensor für Fahrzeuggeschwindigkeit
Fahrsystem,Antriebssystem,Getriebemanagementsystem,60db910d-3d25-48c4-987e-09c8ae185d38,Sensor für Motordrehmoment
Fahrsystem,Antriebssystem,Getriebemanagementsystem,6465bb1f-29cc-4e26-b553-688f1e520cce,Sensor für Achslast
Fahrsystem,Antriebssystem,Getriebemanagementsystem,3c16b55a-0a33-4df3-a86a-04fd731d04cf,Sensor für Schaltlogik
Fahrsystem,Antriebssystem,Getriebemanagementsystem,8f8074e8-a728-43ce-b271-c8a8909caed4,Sensor für Getriebeverschleiß
Fahrsystem,Antriebssystem,Getriebemanagementsystem,5e63a88b-24c8-4238-8778-1478db2f2d5d,Sensor für Schaltkraft
Fahrsystem,Antriebssystem,Getriebemanagementsystem,b8811ad4-3b0a-4080-9072-e4cf9fdf80cf,Sensor für Schaltzeit
Fahrsystem,Antriebssystem,Getriebemanagementsystem,ef9345d4-4f6e-4cc2-b577-48dfce6150da,Sensor für Schaltpräzision
Fahrsystem,Antriebssystem,Getriebemanagementsystem,5e844c44-af9a-4465-a460-21555b176c66,Sensor für Schaltkomfort
