Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Energiesystem,Spannungswandlungssystem,HV-LV-Wandlungssystem,d8c98d53-1d46-4d88-82e1-7950580a05eb,Leistungstransformator
Energiesystem,Spannungswandlungssystem,HV-LV-Wandlungssystem,f4ba30de-fcb3-453d-8838-22774399e6ac,DC-DC-Wandler
Energiesystem,Spannungswandlungssystem,HV-LV-Wandlungssystem,29f512fa-9c3a-4bc3-a3b7-24e3e1b06838,AC-DC-Wandler
Energiesystem,Spannungswandlungssystem,HV-LV-Wandlungssystem,f0bbfbf8-7592-4ac5-8dd1-15d4dd2d2732,Spannungsregler
Energiesystem,Spannungswandlungssystem,HV-LV-Wandlungssystem,392e1357-c99c-4233-8714-5b4060c0a4a0,Induktive Spule
Energiesystem,Spannungswandlungssystem,HV-LV-Wandlungssystem,fbcc04f1-e891-453a-b9ef-aed4a2959dd6,Kondensator
Energiesystem,Spannungswandlungssystem,HV-LV-Wandlungssystem,403ebf60-c0a9-482f-83a1-ed0e0ccc3ccc,Leistungshalbleiter
Energiesystem,Spannungswandlungssystem,HV-LV-Wandlungssystem,18b77b6f-b1ad-4487-8425-48582b2d9271,Schutzdiode
Energiesystem,Spannungswandlungssystem,HV-LV-Wandlungssystem,d0cfc701-ef23-41ad-9d1d-b3eb049c7f1e,Leistungsschalter
Energiesystem,Spannungswandlungssystem,HV-LV-Wandlungssystem,bcbe37cd-3667-4bec-a9f5-0ab55ddb834c,Relais
Energiesystem,Spannungswandlungssystem,HV-LV-Wandlungssystem,18b593cf-aff1-436b-9c19-ad00dc133921,Temperatursensor
Energiesystem,Spannungswandlungssystem,HV-LV-Wandlungssystem,7451d56b-4ccc-4347-9ff0-9f78901cb8d6,Stromsensor
Energiesystem,Spannungswandlungssystem,HV-LV-Wandlungssystem,bfb969ef-4c56-467c-9383-640cb4ae9272,Spannungssensor
Energiesystem,Spannungswandlungssystem,HV-LV-Wandlungssystem,cf315fbf-891a-4085-bd58-77475bdfb909,Isolationsüberwachungseinheit
Energiesystem,Spannungswandlungssystem,HV-LV-Wandlungssystem,93ae042e-a678-4daf-bdfc-a88c3460f7e7,Kühlkörper
Energiesystem,Spannungswandlungssystem,HV-LV-Wandlungssystem,a571c95f-aadb-440f-b331-03630fdbf31a,Leistungsmodul
Energiesystem,Spannungswandlungssystem,HV-LV-Wandlungssystem,a1f2fd51-c160-4abd-8dbe-625651d5e3bc,Steckverbinder
Energiesystem,Spannungswandlungssystem,HV-LV-Wandlungssystem,9983f5e4-c85f-4c22-824d-0306080d2f9d,Leiterplatte
Energiesystem,Spannungswandlungssystem,HV-LV-Wandlungssystem,f49380d6-1a54-4461-a947-468725062317,EMV-Filter
Energiesystem,Spannungswandlungssystem,HV-LV-Wandlungssystem,e7ab713b-2d33-4a7f-b2ad-186703f4435a,Schutzgehäuse
Energiesystem,Spannungswandlungssystem,HV-LV-Wandlungssystem,6e476973-1026-4748-aad7-5c8de3c30b7a,Signalverstärker
Energiesystem,Spannungswandlungssystem,HV-LV-Wandlungssystem,581351fc-6756-437f-91b0-7d9df4830b28,Transformator
Energiesystem,Spannungswandlungssystem,HV-LV-Wandlungssystem,d34f0fe4-ca0f-44a8-8481-935b39629fa1,Schutzschaltung
Energiesystem,Spannungswandlungssystem,HV-LV-Wandlungssystem,d9069af1-bde2-406e-b563-777572dd45fb,Schaltkreis
Energiesystem,Spannungswandlungssystem,HV-LV-Wandlungssystem,849ce9b0-7d6e-4918-bf87-167f39b1eab7,Leistungsverteiler
Energiesystem,Spannungswandlungssystem,HV-LV-Wandlungssystem,ca14275d-b693-4254-8496-14abbc03b153,Busbar
Energiesystem,Spannungswandlungssystem,HV-LV-Wandlungssystem,b9593d48-287a-4b43-93d4-d6121a7764d5,Schutzsicherung
Energiesystem,Spannungswandlungssystem,HV-LV-Wandlungssystem,5323fb22-3289-469e-afe0-92b8fbaacf34,Kommunikationsschnittstelle
Energiesystem,Spannungswandlungssystem,HV-LV-Wandlungssystem,ee7869fc-35a0-4e6d-b5f6-758a5aa19aa9,Diagnoseanschluss
Energiesystem,Spannungswandlungssystem,HV-LV-Wandlungssystem,017c8554-dd07-4748-b095-2147c8d57498,Leistungsüberwachungseinheit
