Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Bodysystem,Karosseriesteuerungssystem,Heckklappensteuerungssystem,67aafd85-49e3-4cfb-a934-24c18dc30f05,Sensor für Heckklappenposition
Bodysystem,Karosseriesteuerungssystem,Heckklappensteuerungssystem,f2b58631-5ecf-4f47-83f0-7e67b5724f32,Heckklappenmotor
Bodysystem,Karosseriesteuerungssystem,Heckklappensteuerungssystem,56129b09-df7d-4f00-a78e-0d8a5b7abba8,Endlagenschalter
Bodysystem,Karosseriesteuerungssystem,Heckklappensteuerungssystem,73b98216-d049-47ac-9dbd-1cad9f72e12e,Heckklappenverriegelung
Bodysystem,Karosseriesteuerungssystem,Heckklappensteuerungssystem,d898255a-cda9-4d60-9273-3bcbde3c2963,Heckklappensteuergerät
Bodysystem,Karosseriesteuerungssystem,Heckklappensteuerungssystem,77f501a4-d061-4d22-a70b-c65ce1eb9250,Heckklappenöffnungssensor
Bodysystem,Karosseriesteuerungssystem,Heckklappensteuerungssystem,aed75faa-2b6c-4838-ad02-28a2332197a0,Kabelbaum für Heckklappe
Bodysystem,Karosseriesteuerungssystem,Heckklappensteuerungssystem,7a63a57f-2f23-429f-923c-1f3fbd29102b,Heckklappenhydraulikpumpe
Bodysystem,Karosseriesteuerungssystem,Heckklappensteuerungssystem,35c184a2-c844-4778-9b18-b7b9020d5765,Heckklappenhydraulikzylinder
Bodysystem,Karosseriesteuerungssystem,Heckklappensteuerungssystem,44a3817e-2ed6-4807-afc1-67652d7b519b,Heckklappenantrieb
Bodysystem,Karosseriesteuerungssystem,Heckklappensteuerungssystem,411bc08f-7c82-4033-85fb-d9d9dcd50dab,Heckklappenmechanik
Bodysystem,Karosseriesteuerungssystem,Heckklappensteuerungssystem,91ec79b6-8f6a-41de-9a0c-dfeb614fbd62,Heckklappenbeleuchtung
Bodysystem,Karosseriesteuerungssystem,Heckklappensteuerungssystem,85d720c8-efd2-45f6-96c2-5e5d0309be07,Heckklappenwarnsensor
Bodysystem,Karosseriesteuerungssystem,Heckklappensteuerungssystem,b23a3c90-d514-41d5-a2ea-573bad902157,Heckklappenstoßdämpfer
Bodysystem,Karosseriesteuerungssystem,Heckklappensteuerungssystem,01a6ac90-8489-4ac2-8d0b-0005c73ba5cd,Heckklappenisolierung
Bodysystem,Karosseriesteuerungssystem,Heckklappensteuerungssystem,2187bfde-1349-4e34-9a2f-eeb7dc641f64,Heckklappenheizung
Bodysystem,Karosseriesteuerungssystem,Heckklappensteuerungssystem,ce77dc0f-a5bb-4376-b903-c81149134fe4,Heckklappenverkleidung
Bodysystem,Karosseriesteuerungssystem,Heckklappensteuerungssystem,923cc4ca-30cf-49ab-8409-954627e58f04,Heckklappenanschlag
Bodysystem,Karosseriesteuerungssystem,Heckklappensteuerungssystem,c7db5058-e254-48ba-a75e-21fa6d2c0d9a,Heckklappenmagnet
Bodysystem,Karosseriesteuerungssystem,Heckklappensteuerungssystem,925d3232-a7a1-495f-b26a-46e78705ff65,Heckklappenpositionsgeber
Bodysystem,Karosseriesteuerungssystem,Heckklappensteuerungssystem,ba049577-bb1c-4a10-9b41-8c3d04dd8304,Heckklappensteuerungsschalter
Bodysystem,Karosseriesteuerungssystem,Heckklappensteuerungssystem,d7a915b6-1f48-4152-ae2c-f7f98716548e,Heckklappenentriegelungstaster
Bodysystem,Karosseriesteuerungssystem,Heckklappensteuerungssystem,39ef5a38-6a5e-48c0-94c6-999353ea1bd2,Heckklappenöffnungstaster
Bodysystem,Karosseriesteuerungssystem,Heckklappensteuerungssystem,0c1f8ea9-d14e-43ea-8683-ec69b881c892,Heckklappenverriegelungssensor
Bodysystem,Karosseriesteuerungssystem,Heckklappensteuerungssystem,9d641cae-7f40-4ea7-8498-d5c7bb879a65,Heckklappenstromversorgungseinheit
Bodysystem,Karosseriesteuerungssystem,Heckklappensteuerungssystem,f3083f08-ac82-48d2-a69c-d7cd082be63c,Heckklappensteuerungskabel
Bodysystem,Karosseriesteuerungssystem,Heckklappensteuerungssystem,b1d4544b-424c-4ee9-8132-4c274ec44cee,Heckklappensteuerungssicherung
Bodysystem,Karosseriesteuerungssystem,Heckklappensteuerungssystem,fe321059-39e5-4814-a337-bda57963515f,Heckklappensteuerungskonnektor
Bodysystem,Karosseriesteuerungssystem,Heckklappensteuerungssystem,210cdffd-45bd-49b5-bbcb-b2ec06d17262,Heckklappensteuerungsschnittstelle
Bodysystem,Karosseriesteuerungssystem,Heckklappensteuerungssystem,57dd7b74-5a6e-4f8c-9271-3ffb7e180b6d,Heckklappensteuerungssignalverstärker
Bodysystem,Karosseriesteuerungssystem,Heckklappensteuerungssystem,6349a751-c40d-448c-a46d-663ef9f19e0e,Heckklappensteuerungssoftware
Bodysystem,Karosseriesteuerungssystem,Heckklappensteuerungssystem,9f3d93d1-e978-45fd-b9ea-6ef232d8f16d,Heckklappenpositionsüberwachungssoftware
Bodysystem,Karosseriesteuerungssystem,Heckklappensteuerungssystem,c687043b-7ff4-4528-8b23-d6160fa4c236,Heckklappenmotorsteuerungssoftware
Bodysystem,Karosseriesteuerungssystem,Heckklappensteuerungssystem,d2a36c1f-84f1-4986-a6a3-f15e4bf8bd8b,Heckklappenverriegelungssoftware
Bodysystem,Karosseriesteuerungssystem,Heckklappensteuerungssystem,f2892c22-d921-4d98-bc29-7e8c811e331d,Heckklappenöffnungserkennungssoftware
Bodysystem,Karosseriesteuerungssystem,Heckklappensteuerungssystem,c7060856-e046-493b-9c84-5d52df5046ae,Heckklappenendlagenkalibrierungssoftware
Bodysystem,Karosseriesteuerungssystem,Heckklappensteuerungssystem,5bf0043b-dccc-400d-8899-259a487dd1ca,Heckklappenhydrauliksteuerungssoftware
Bodysystem,Karosseriesteuerungssystem,Heckklappensteuerungssystem,c80aaea4-0e72-43ec-a825-bcd097bba0f1,Heckklappenantriebsregelungssoftware
Bodysystem,Karosseriesteuerungssystem,Heckklappensteuerungssystem,0cfddd97-c40c-4c08-b7be-5b8bd3887d70,Heckklappenbeleuchtungssteuerungssoftware
Bodysystem,Karosseriesteuerungssystem,Heckklappensteuerungssystem,40b811c4-dd39-4489-8144-ac122d43593e,Heckklappenwarnmeldungssoftware
Bodysystem,Karosseriesteuerungssystem,Heckklappensteuerungssystem,cdd362e9-5913-42d6-95bf-b735d5257eca,Heckklappenstoßdämpferregelungssoftware
Bodysystem,Karosseriesteuerungssystem,Heckklappensteuerungssystem,465b3864-06eb-4c0b-be6f-eb6e3b6a7016,Heckklappenisolierungsüberwachungssoftware
