Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Fahrsystem,Antriebssystem,Hinterachsantriebssystem,fe507e7c-1681-4765-befa-31b554047f26,Achsantriebswelle
Fahrsystem,Antriebssystem,Hinterachsantriebssystem,1d206346-23c6-4673-a965-656bdbf99d06,Differentialgehäuse
Fahrsystem,Antriebssystem,Hinterachsantriebssystem,71a04a48-ea3f-4dd6-82e0-0819be7ebe08,Differentiallager
Fahrsystem,Antriebssystem,Hinterachsantriebssystem,f1fb2264-33de-4ee8-a286-ab800ead177d,Differentialritzel
Fahrsystem,Antriebssystem,Hinterachsantriebssystem,a8b14604-7605-4f3f-be37-67517ddaf171,Differentialausgangswelle
Fahrsystem,Antriebssystem,Hinterachsantriebssystem,46591b88-4047-4a34-aa8d-78e76085de82,Antriebsflansch
Fahrsystem,Antriebssystem,Hinterachsantriebssystem,cb3bf03f-fb5f-4248-bd3b-ddf4353406f8,Kardanwelle
Fahrsystem,Antriebssystem,Hinterachsantriebssystem,d2f56ffe-1809-4c23-a83b-cf72b97e49e4,Kardanlager
Fahrsystem,Antriebssystem,Hinterachsantriebssystem,27d75146-8ca3-435c-aba7-eba7874763e8,Kardangelenk
Fahrsystem,Antriebssystem,Hinterachsantriebssystem,693605f9-c0f4-4d4e-b440-d6497bd5330f,Kardanschrauben
Fahrsystem,Antriebssystem,Hinterachsantriebssystem,6786dfd3-0d15-4637-98cb-aa42e70034a4,Achsantriebsgehäuse
Fahrsystem,Antriebssystem,Hinterachsantriebssystem,e824d2ab-9a6f-4f51-96a3-f835ba9d5fa0,Achsantriebsölpumpe
Fahrsystem,Antriebssystem,Hinterachsantriebssystem,279d98a6-fc6b-42c4-ab76-8c72f5fb5356,Achsantriebsölfilter
Fahrsystem,Antriebssystem,Hinterachsantriebssystem,319dc78b-ffe8-486b-8cb8-d58ead492fad,Achsantriebsölkühler
Fahrsystem,Antriebssystem,Hinterachsantriebssystem,93ad43bf-ae11-40af-898d-6df5adbb6ad8,Achsantriebsölleitung
Fahrsystem,Antriebssystem,Hinterachsantriebssystem,d6d836b1-d135-4d5e-81fc-001de9baf885,Achsantriebsdichtung
Fahrsystem,Antriebssystem,Hinterachsantriebssystem,7d065667-a4d7-4101-be97-047723e620a5,Achsantriebssteuergerät
Fahrsystem,Antriebssystem,Hinterachsantriebssystem,889ad8ca-e945-45d9-84be-4fe3daac855f,Achsantriebsensoren
Fahrsystem,Antriebssystem,Hinterachsantriebssystem,04157ce7-e523-4d0f-8cd3-32343b43d37e,Achsantriebsventile
Fahrsystem,Antriebssystem,Hinterachsantriebssystem,08b450b9-181c-4e53-8228-34a531122c42,Achsantriebsaktuatoren
Fahrsystem,Antriebssystem,Hinterachsantriebssystem,2c909649-3e97-4b0c-949b-6482235536e4,Achsantriebshebel
Fahrsystem,Antriebssystem,Hinterachsantriebssystem,1bd5bbeb-406d-4ab8-b8b5-a565c554d2ac,Achsantriebsbuchsen
Fahrsystem,Antriebssystem,Hinterachsantriebssystem,59a5a15c-bfab-4c8e-aba5-3dad2257e9ee,Achsantriebsfedern
Fahrsystem,Antriebssystem,Hinterachsantriebssystem,e5b6594b-61c9-40ce-88d9-46816eeb9981,Achsantriebsbolzen
Fahrsystem,Antriebssystem,Hinterachsantriebssystem,c514edc9-f059-4bd5-8721-5b17212099b3,Achsantriebsabdeckung
Fahrsystem,Antriebssystem,Hinterachsantriebssystem,da5b6aef-722c-47d0-b87b-6c792443d4e2,Achsantriebswärmeschutz
Fahrsystem,Antriebssystem,Hinterachsantriebssystem,bcddabc6-88e7-4006-befb-98538b4f6043,Achsantriebsbefestigungselemente
Fahrsystem,Antriebssystem,Hinterachsantriebssystem,2346b355-9637-4b23-ac78-9e0ff0aa5866,Achsantriebsisolierung
Fahrsystem,Antriebssystem,Hinterachsantriebssystem,bb489f12-629d-40bd-ae79-357bd3bd2f58,Achsantriebsverkabelung
Fahrsystem,Antriebssystem,Hinterachsantriebssystem,bb9c352d-3909-4c90-876c-041945d5ace7,Achsantriebsstecker
Fahrsystem,Antriebssystem,Hinterachsantriebssystem,bd5fe1ef-d4ea-44bb-aaf0-fb6e2b3fd69d,Antriebssteuerungssoftware
Fahrsystem,Antriebssystem,Hinterachsantriebssystem,9b613fd2-0052-4ef8-982d-7f5fdae6a9f1,Differentialsteuerungssoftware
Fahrsystem,Antriebssystem,Hinterachsantriebssystem,2359e3bd-7787-4d1d-ac95-a9f381b38157,Drehmomentverteilungssoftware
Fahrsystem,Antriebssystem,Hinterachsantriebssystem,938c4734-fce3-42a4-a8cf-3c7a61b17137,Schlupfregelungssoftware
Fahrsystem,Antriebssystem,Hinterachsantriebssystem,7aa88c86-38b9-4a7e-9c80-927ef2ad4b5d,Diagnosesoftware
Fahrsystem,Antriebssystem,Hinterachsantriebssystem,baac9550-028a-4713-a576-4c9f5fd81035,Sensorsteuerungssoftware
Fahrsystem,Antriebssystem,Hinterachsantriebssystem,ea086771-2941-4193-bdec-85a4cab21751,Kommunikationssoftware
Fahrsystem,Antriebssystem,Hinterachsantriebssystem,1623cda7-d7f0-41ab-bf2f-34d2dc73f5db,Fehlererkennungssoftware
Fahrsystem,Antriebssystem,Hinterachsantriebssystem,a8645ce1-cdf0-4459-ac8a-e46aee26795e,Fehlerbehebungssoftware
Fahrsystem,Antriebssystem,Hinterachsantriebssystem,e3216d01-8798-4dda-b078-fd8b67c8bead,Software für Echtzeitsteuerung
Fahrsystem,Antriebssystem,Hinterachsantriebssystem,f60cfd64-b704-4922-9579-e2d9c97e7508,Software für Aktuatorsteuerung
