Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Energiesystem,Energiespeichersystem,Hochvoltbatteriediagnosesystem,02469fe7-a9a1-4e60-bff9-27acdbd022f7,Batteriezellen
Energiesystem,Energiespeichersystem,Hochvoltbatteriediagnosesystem,3079ea8b-4776-4a3e-a726-dd57f797889f,Spannungssensoren
Energiesystem,Energiespeichersystem,Hochvoltbatteriediagnosesystem,c29bfc24-8419-446f-88b8-ea4fca755b65,Temperatursensoren
Energiesystem,Energiespeichersystem,Hochvoltbatteriediagnosesystem,a196f36b-0b1c-40ea-8228-a40f8fd38670,Stromsensoren
Energiesystem,Energiespeichersystem,Hochvoltbatteriediagnosesystem,adf83b07-21a6-4b4e-96ca-45f5e9b37d6f,Leistungsschalter
Energiesystem,Energiespeichersystem,Hochvoltbatteriediagnosesystem,34031e25-3023-4df3-b104-cefa798cec5c,Relais
Energiesystem,Energiespeichersystem,Hochvoltbatteriediagnosesystem,ed196fe3-78c8-4a57-b8d3-2f254eca2b7f,Kommunikationsschnittstellen
Energiesystem,Energiespeichersystem,Hochvoltbatteriediagnosesystem,6cbc0eb3-5e36-4e5c-bd83-54b8039364cb,Diagnoseanschluss
Energiesystem,Energiespeichersystem,Hochvoltbatteriediagnosesystem,3100ce70-5f44-46b6-98c8-697a4354bf9a,Isolationsüberwachungseinheit
Energiesystem,Energiespeichersystem,Hochvoltbatteriediagnosesystem,9dae1cf9-44e1-4122-9613-61c5915fd481,Leistungselektronikmodule
Energiesystem,Energiespeichersystem,Hochvoltbatteriediagnosesystem,05c99c3d-fca4-4c88-ba69-2b25b8317b3b,Kabelbaum
Energiesystem,Energiespeichersystem,Hochvoltbatteriediagnosesystem,e8324c12-2a6c-4b3e-b817-97af4dc3353b,Steckverbinder
Energiesystem,Energiespeichersystem,Hochvoltbatteriediagnosesystem,9d05864b-1764-4b09-9b08-05ac4bedf495,Schutzgehäuse
Energiesystem,Energiespeichersystem,Hochvoltbatteriediagnosesystem,b22cac15-76ce-4bec-8b45-f69a867dd399,Kühlplatten
Energiesystem,Energiespeichersystem,Hochvoltbatteriediagnosesystem,0d9be95a-0e41-4e01-8b0d-3b777b260a55,Wärmeleitpads
Energiesystem,Energiespeichersystem,Hochvoltbatteriediagnosesystem,2376d269-ff80-406c-ad99-e50f02a09d8a,Heizelemente
Energiesystem,Energiespeichersystem,Hochvoltbatteriediagnosesystem,fc8b3e1e-ab68-4c0e-b662-99e774831c12,Temperaturfühler
Energiesystem,Energiespeichersystem,Hochvoltbatteriediagnosesystem,01f94e48-a6e0-42f9-8498-f79b95c90701,Feuchtigkeitssensoren
Energiesystem,Energiespeichersystem,Hochvoltbatteriediagnosesystem,ecc3a142-a3f9-43bd-8ff0-e1fc6f8c81b4,Überstromschutzmodule
Energiesystem,Energiespeichersystem,Hochvoltbatteriediagnosesystem,f2aa2be7-fe6e-4643-9ec3-698c390ad326,Überspannungsschutzmodule
Energiesystem,Energiespeichersystem,Hochvoltbatteriediagnosesystem,b1969251-4dcd-4603-bcd8-a428ab5526a9,Diagnose-LEDs
Energiesystem,Energiespeichersystem,Hochvoltbatteriediagnosesystem,1245dd42-325e-4659-b9a3-b09d3eea35cb,Diagnoseanschlussbuchsen
Energiesystem,Energiespeichersystem,Hochvoltbatteriediagnosesystem,58d99aad-09a6-4cf9-af35-18aae87cf48c,EMV-Filter
Energiesystem,Energiespeichersystem,Hochvoltbatteriediagnosesystem,7e07a294-0e84-41d6-8af5-05d1683b6c7e,Schutzschalter
Energiesystem,Energiespeichersystem,Hochvoltbatteriediagnosesystem,7c89d975-489d-47ec-9b9c-2f14acf4c7a8,Diagnosekabel
Energiesystem,Energiespeichersystem,Hochvoltbatteriediagnosesystem,054ce100-ab61-4b42-af4f-57700d754c79,Diagnoseadapter
Energiesystem,Energiespeichersystem,Hochvoltbatteriediagnosesystem,a088dbff-dacf-4739-97ba-7d9624be99c0,Diagnosemodule
Energiesystem,Energiespeichersystem,Hochvoltbatteriediagnosesystem,774f384c-5bdd-4b00-9848-58274d662a34,Diagnosewerkzeuge
Energiesystem,Energiespeichersystem,Hochvoltbatteriediagnosesystem,b83b010e-dd64-4deb-ab02-546cbe16755a,Diagnosegehäuse
