Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Bodysystem,Klimatisierungssystem,Innenraumheizungssystem,7370f025-9ee0-488c-93b4-96c252c0091a,Heizlüfter
Bodysystem,Klimatisierungssystem,Innenraumheizungssystem,167f404a-8c73-4773-9b1c-7fb363e6ee60,Heizwiderstand
Bodysystem,Klimatisierungssystem,Innenraumheizungssystem,fd5fc616-d0bc-4520-a61d-22ee97f420d4,Temperatursensor
Bodysystem,Klimatisierungssystem,Innenraumheizungssystem,d44ddd7b-2ce4-459b-aac2-27394c079ab7,Innenraumtemperaturfühler
Bodysystem,Klimatisierungssystem,Innenraumheizungssystem,b4d5da04-cb16-47ee-bc10-a5f9752f187a,Klimasteuergerät
Bodysystem,Klimatisierungssystem,Innenraumheizungssystem,d5c1e97b-03c2-4d5f-b668-0ee96bcd947a,Heizungssteuergerät
Bodysystem,Klimatisierungssystem,Innenraumheizungssystem,669944bb-8f74-4c6d-b668-550e64d3d5fb,Luftauslassklappen
Bodysystem,Klimatisierungssystem,Innenraumheizungssystem,eb1c66a4-fc5b-4856-95dc-aad6b7cae76f,Heizungswärmetauscher
Bodysystem,Klimatisierungssystem,Innenraumheizungssystem,e78ba0c0-cfc4-4042-9ac4-e2b764927126,Heizungsventil
Bodysystem,Klimatisierungssystem,Innenraumheizungssystem,b5fcdf2e-7be3-4374-96a7-f069cd3fd4c8,Heizungsrohrleitungen
Bodysystem,Klimatisierungssystem,Innenraumheizungssystem,f250177b-a1c3-4e87-ab6f-41d2400f44b6,Heizungsgebläsemotor
Bodysystem,Klimatisierungssystem,Innenraumheizungssystem,6c6ad46a-c0f7-40e9-822a-650cc01986cc,Heizungsgebläse
Bodysystem,Klimatisierungssystem,Innenraumheizungssystem,f60a5165-0f5f-47e7-88d8-38ad64f4d5dd,Heizungsfilter
Bodysystem,Klimatisierungssystem,Innenraumheizungssystem,ac4a58da-2b0a-4a2a-9570-f36b6adb678a,Heizungsdichtung
Bodysystem,Klimatisierungssystem,Innenraumheizungssystem,55e431c5-ebe8-4f88-a8a1-85d9dcfa241d,Heizungsgehäuse
Bodysystem,Klimatisierungssystem,Innenraumheizungssystem,338d7d72-1edc-4904-907b-6663c18133cb,Heizungssteuerungskabelbaum
Bodysystem,Klimatisierungssystem,Innenraumheizungssystem,6ea5d599-bad4-4738-8c12-8fb0545cf91a,Heizungsstromversorgungseinheit
Bodysystem,Klimatisierungssystem,Innenraumheizungssystem,198d14a5-918c-47a2-a52a-68fa0ee5d8c2,Heizungsregelventil
Bodysystem,Klimatisierungssystem,Innenraumheizungssystem,93bded2a-bb2b-479a-a537-e8f6866a9307,Heizungsdrucksensor
Bodysystem,Klimatisierungssystem,Innenraumheizungssystem,827d898e-9bc9-49fb-b171-8707341eb06d,Heizungswärmeisolierung
Bodysystem,Klimatisierungssystem,Innenraumheizungssystem,573871bb-37d9-454e-827b-a23549d5c24c,Heizungssteuerungsmodul
Bodysystem,Klimatisierungssystem,Innenraumheizungssystem,6a48e4d3-ba23-4ac2-a394-b4aaefc56350,Heizungsanschlussstecker
Bodysystem,Klimatisierungssystem,Innenraumheizungssystem,f92bc6f2-8141-4fdd-81a8-e64734d60997,Heizungsregelklappenmotor
Bodysystem,Klimatisierungssystem,Innenraumheizungssystem,dbd14bf8-fdc0-41f5-aabc-09c2428d4968,Heizungsregelklappen
Bodysystem,Klimatisierungssystem,Innenraumheizungssystem,20d9cd45-cd44-4537-8457-ff2950f7800c,Heizungswärmeleitung
Bodysystem,Klimatisierungssystem,Innenraumheizungssystem,eafe823d-ab12-4541-bbeb-7b8c8258b263,Heizungswärmeisolationsmaterial
Bodysystem,Klimatisierungssystem,Innenraumheizungssystem,8b0b5aef-16e6-4c1c-86a9-79c225ec137c,Heizungswärmeübertragungseinheit
Bodysystem,Klimatisierungssystem,Innenraumheizungssystem,f37c1a8b-e69c-49f5-81bf-1aaee684a889,Heizungswärmeverteilungseinheit
Bodysystem,Klimatisierungssystem,Innenraumheizungssystem,b48fcd0b-af8f-4bb0-af08-253260c4668e,Heizungswärmeabgabeeinheit
Bodysystem,Klimatisierungssystem,Innenraumheizungssystem,705bbb1d-4b95-4b49-86b8-58148e80b7c4,Heizungswärmeaufnahmeeinheit
Bodysystem,Klimatisierungssystem,Innenraumheizungssystem,55c7c879-177c-49c3-af5b-8b36301c2d8b,Temperaturregelungssoftware
Bodysystem,Klimatisierungssystem,Innenraumheizungssystem,7c944c33-1a63-439a-8a6e-426eee921cf7,Heizungssteuerungssoftware
Bodysystem,Klimatisierungssystem,Innenraumheizungssystem,a0843f46-7fab-471f-abcd-1921f3486822,Innenraumklimatisierungssoftware
Bodysystem,Klimatisierungssystem,Innenraumheizungssystem,99de3ec5-2261-4ec2-a0ce-9ed39af60689,Heizungsdiagnosesoftware
Bodysystem,Klimatisierungssystem,Innenraumheizungssystem,a045fffb-df8f-4175-8314-e00addb3f847,Heizungsregelungsalgorithmus
Bodysystem,Klimatisierungssystem,Innenraumheizungssystem,3c998a18-d9d6-403e-9d80-51c653c5b19b,Heizungsleistungsmanagementsoftware
Bodysystem,Klimatisierungssystem,Innenraumheizungssystem,138817b3-e4dc-4dc9-a9f2-298542b77ab1,Heizungsventilsteuerungssoftware
Bodysystem,Klimatisierungssystem,Innenraumheizungssystem,ddf4821f-dc7b-4672-90a9-eef033469b42,Heizungsgebläsemanagementsoftware
Bodysystem,Klimatisierungssystem,Innenraumheizungssystem,81664b77-ca8c-41c2-9282-58f2af0f007a,Heizungswärmeverteilungssystemsoftware
Bodysystem,Klimatisierungssystem,Innenraumheizungssystem,f6dddf18-cf54-4ebe-9b48-5f9cc8dc762d,Heizungswärmeoptimierungssoftware
Bodysystem,Klimatisierungssystem,Innenraumheizungssystem,84bfa197-685e-4274-89b6-6243f2e8533e,Heizungswärmeprognosesoftware
Bodysystem,Klimatisierungssystem,Innenraumheizungssystem,0a95a3d0-9386-4051-a455-739585b2f399,Heizungswärmeüberwachungssystemsoftware
Bodysystem,Klimatisierungssystem,Innenraumheizungssystem,ca063e80-bf9f-4c8a-9532-8fd91e951cfb,Heizungswärmepriorisierungssystemsoftware
Bodysystem,Klimatisierungssystem,Innenraumheizungssystem,c73dd882-b0af-498e-ae5d-28b8e2eb7e9b,Heizungswärmeflusssteuerungssoftware
Bodysystem,Klimatisierungssystem,Innenraumheizungssystem,94cb4d3a-b272-4b69-b2c8-cb4b9a15ea59,Heizungswärmeflussüberwachungssystemsoftware
Bodysystem,Klimatisierungssystem,Innenraumheizungssystem,2666855e-fca1-4383-aa68-94d45cefccef,Heizungswärmeflussoptimierungssoftware
Bodysystem,Klimatisierungssystem,Innenraumheizungssystem,b3656448-748c-48a8-883c-c492871ffd76,Heizungswärmeflussdiagnosesoftware
Bodysystem,Klimatisierungssystem,Innenraumheizungssystem,40db3b2f-a61f-4506-b7be-e6f401349f97,Heizungswärmeflussregelungssoftware
Bodysystem,Klimatisierungssystem,Innenraumheizungssystem,160804e0-4e31-4d0e-bf25-3ce36c2022dc,Heizungswärmeflussmanagementsoftware
Bodysystem,Klimatisierungssystem,Innenraumheizungssystem,fb649bf8-e8e9-4fb0-8023-9e3ee4e2b3b5,Heizungswärmeflusskontrollsoftware
Bodysystem,Klimatisierungssystem,Innenraumheizungssystem,dc23ec1e-5d4b-4710-a4bd-c6b66c9534d4,Heizungswärmeflussanpassungssoftware
Bodysystem,Klimatisierungssystem,Innenraumheizungssystem,cdacb8be-f44a-4e5e-9ca1-e4e12486471d,Heizungswärmeflusskalibrierungssoftware
Bodysystem,Klimatisierungssystem,Innenraumheizungssystem,2cd353aa-4fe9-4146-8cdf-a1cacdf90107,Heizungswärmeflussmodellierungssoftware
Bodysystem,Klimatisierungssystem,Innenraumheizungssystem,18a5549c-4b69-411c-aa1f-97424d224d40,Heizungswärmeflussanalysealgorithmus
Bodysystem,Klimatisierungssystem,Innenraumheizungssystem,0f8de3b9-a93c-4aa0-a087-f3c58cb3f2dd,Heizungswärmeflussprognosealgorithmus
