Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Bodysystem,Klimatisierungssystem,Innenraumkühlsystem,e0107f0b-666f-4d01-a561-8e50ed26cb58,Kondensator
Bodysystem,Klimatisierungssystem,Innenraumkühlsystem,bb565b46-6e05-4eef-924f-deda014cb95d,Lüftermotor
Bodysystem,Klimatisierungssystem,Innenraumkühlsystem,28e1614e-af9d-407f-b342-c3066ac81e21,Kühlmittelpumpe
Bodysystem,Klimatisierungssystem,Innenraumkühlsystem,39ce91e9-84af-44bb-bfba-3192cb53b097,Kühlmittelventil
Bodysystem,Klimatisierungssystem,Innenraumkühlsystem,da000a51-08f8-4e96-9fb3-154082c22a28,Kühlmittelsensor
Bodysystem,Klimatisierungssystem,Innenraumkühlsystem,77158913-0d18-42d9-b072-63147dc57621,Kühlmittelleitung
Bodysystem,Klimatisierungssystem,Innenraumkühlsystem,aeb95d22-a161-4e1c-b73f-6116ef5ad166,Kühlmittelbehälter
Bodysystem,Klimatisierungssystem,Innenraumkühlsystem,3f296ced-0b31-434e-8c36-0218bc12ccc2,Kühlmittelkühler
Bodysystem,Klimatisierungssystem,Innenraumkühlsystem,243f9995-da93-4e43-84c9-34ce72da2bf0,Kühlmittelverdampfer
Bodysystem,Klimatisierungssystem,Innenraumkühlsystem,37a7c82d-3be8-49e4-9026-3c2808e588f2,Kühlmittelkompressor
Bodysystem,Klimatisierungssystem,Innenraumkühlsystem,cd9c9f12-24bb-44a4-babd-0d817a9a7179,Kühlmittelfilter
Bodysystem,Klimatisierungssystem,Innenraumkühlsystem,43e594b2-1092-4463-8cf2-e55ad030f25b,Kühlmittelanschluss
Bodysystem,Klimatisierungssystem,Innenraumkühlsystem,138432ad-a6a5-4aa8-80a5-c137c83ee74a,Kühlmittelrückschlagventil
Bodysystem,Klimatisierungssystem,Innenraumkühlsystem,658cd9b2-23a2-44f1-b750-bba18d74cc18,Kühlmittelwärmetauscher
Bodysystem,Klimatisierungssystem,Innenraumkühlsystem,a1f7fb78-3ffb-4c7c-acfc-453252bde8a4,Kühlmittelregelventil
Bodysystem,Klimatisierungssystem,Innenraumkühlsystem,17e2c016-16f4-487c-a819-9045841d3f82,Kühlmittelüberdruckventil
Bodysystem,Klimatisierungssystem,Innenraumkühlsystem,236bd636-ff80-4ec3-9d66-6ebd147f8aba,Kühlmittelentlüftungsventil
Bodysystem,Klimatisierungssystem,Innenraumkühlsystem,94f9dc5e-a301-4f8c-8fa2-6ab161e42b6f,Kühlmitteltemperatursensor
Bodysystem,Klimatisierungssystem,Innenraumkühlsystem,37a67bb4-47a7-4de3-bba5-e8663f32646b,Kühlmittelströmungssensor
Bodysystem,Klimatisierungssystem,Innenraumkühlsystem,1a35a0c8-18d1-48ab-afa9-ce46c9430d33,Kühlmittelstandsensor
Bodysystem,Klimatisierungssystem,Innenraumkühlsystem,4c53975f-434c-47e4-bf34-ff35259317b5,Kühlmittelkreislaufsteuerung
Bodysystem,Klimatisierungssystem,Innenraumkühlsystem,359d5090-e5e2-46a6-bb8b-6d5ca22441de,Kühlmittelkreislaufanschluss
Bodysystem,Klimatisierungssystem,Innenraumkühlsystem,17ebcd94-5d6b-431a-a255-174c50d95c13,Kühlmittelkreislaufventil
Bodysystem,Klimatisierungssystem,Innenraumkühlsystem,ab60a51f-a107-4483-9943-ffae33ae807c,Kühlmittelkreislaufleitung
Bodysystem,Klimatisierungssystem,Innenraumkühlsystem,0391e5ef-3307-4541-97f0-11eee935cd03,Kühlmittelkreislaufkühler
Bodysystem,Klimatisierungssystem,Innenraumkühlsystem,0493c15a-c439-486f-a60b-85142c787596,Kühlmittelkreislaufkompressor
Bodysystem,Klimatisierungssystem,Innenraumkühlsystem,aeb05681-85db-4906-ab71-32d2e0d13838,Kühlmittelkreislauffilter
Bodysystem,Klimatisierungssystem,Innenraumkühlsystem,4c1eec75-9794-4ca4-9a84-10f72251fd53,Kühlmittelkreislaufbehälter
Bodysystem,Klimatisierungssystem,Innenraumkühlsystem,ad564053-d9bb-4f7a-9a71-7fb6048168fb,Kühlmittelkreislaufmotor
Bodysystem,Klimatisierungssystem,Innenraumkühlsystem,852d2fb8-d6c9-4d1b-9736-3ab8b46ddc00,Kühlmittelkreislaufverdampfer
Bodysystem,Klimatisierungssystem,Innenraumkühlsystem,9c3806d9-484f-486b-a4c4-688fe67834cb,Temperaturregelungssoftware
Bodysystem,Klimatisierungssystem,Innenraumkühlsystem,4fded50f-5d4c-46e0-b4d4-05c664e82af3,Kühlmittelkreislaufsteuerungssoftware
Bodysystem,Klimatisierungssystem,Innenraumkühlsystem,c969684e-a8a5-40b0-b2af-0def56c81fca,Kühlmitteltemperaturüberwachungssoftware
Bodysystem,Klimatisierungssystem,Innenraumkühlsystem,68dc203a-501c-4b81-8a84-e8f2c62a654d,Kühlmittelströmungsüberwachungssoftware
Bodysystem,Klimatisierungssystem,Innenraumkühlsystem,4ec0bc93-cd39-4d4a-9930-94650ae722af,Kühlmittelstandüberwachungssoftware
Bodysystem,Klimatisierungssystem,Innenraumkühlsystem,7ab1d51a-440b-4499-bbd8-f492f441cd96,Kühlmittelkompressorsteuerungssoftware
Bodysystem,Klimatisierungssystem,Innenraumkühlsystem,386d143a-da1d-4264-b32e-0c5800d7ffa9,Kühlmittelventilsteuerungssoftware
Bodysystem,Klimatisierungssystem,Innenraumkühlsystem,bb611b39-8d7c-4d83-a66e-c2ee7eba5a24,Kühlmittelpumpesteuerungssoftware
Bodysystem,Klimatisierungssystem,Innenraumkühlsystem,038b21d7-009a-4517-b41b-22acbe0dd235,Kühlmittelkühlersteuerungssoftware
Bodysystem,Klimatisierungssystem,Innenraumkühlsystem,d1674d07-cea0-4569-9c38-d02d60a3d4be,Kühlmittelverdampfersteuerungssoftware
Bodysystem,Klimatisierungssystem,Innenraumkühlsystem,e7f00c6d-6447-4719-928b-bb61f70dce81,Kühlmittelwärmetauschersoftware
Bodysystem,Klimatisierungssystem,Innenraumkühlsystem,1919c8b0-684e-492d-b116-12255621fb5a,Kühlmittelregelventilsoftware
Bodysystem,Klimatisierungssystem,Innenraumkühlsystem,48b24ec7-32a2-4e50-8065-cb136f7d42fa,Kühlmittelüberdruckventilsoftware
Bodysystem,Klimatisierungssystem,Innenraumkühlsystem,abe93114-d04e-4ace-a345-58c16a78f63e,Kühlmittelentlüftungsventilsoftware
Bodysystem,Klimatisierungssystem,Innenraumkühlsystem,cc58b671-cfb9-4a36-b88b-6cf1635e6867,Kühlmittelanschlusssoftware
Bodysystem,Klimatisierungssystem,Innenraumkühlsystem,4cb84b0c-4e5b-4ab7-960f-fc465cd7994d,Kühlmittelrückschlagventilsoftware
Bodysystem,Klimatisierungssystem,Innenraumkühlsystem,a4b83d24-158e-45ec-b3f7-d48dd2710229,Kühlmittelkreislaufüberwachungssoftware
