Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Infotainmentsystem,Kommunikationssystem,Internetzugangssystem,0bf6a0d9-fef4-4af2-8d35-fe4a96e166d3,Modem
Infotainmentsystem,Kommunikationssystem,Internetzugangssystem,9aa7d8e1-4fbb-439b-86d2-2e0725cfe381,Router
Infotainmentsystem,Kommunikationssystem,Internetzugangssystem,9b446df4-05a2-4c2d-a88b-15aa6bb8caa0,Antennenmodul
Infotainmentsystem,Kommunikationssystem,Internetzugangssystem,a27eed16-2b6b-4bfd-8c8b-c24e56225b6b,Signalverstärker
Infotainmentsystem,Kommunikationssystem,Internetzugangssystem,a83268a0-d349-4ddd-8369-686332c8b8e6,Netzwerkprozessor
Infotainmentsystem,Kommunikationssystem,Internetzugangssystem,3636acc3-09d5-4e45-b746-1a695dccf2f8,Kommunikationschip
Infotainmentsystem,Kommunikationssystem,Internetzugangssystem,4157fecc-d9d9-4361-9878-6c097fa2e940,Sim-Kartenhalter
Infotainmentsystem,Kommunikationssystem,Internetzugangssystem,0335ebd1-6fbd-458b-80ce-131b96a5a1b5,Steuergerät
Infotainmentsystem,Kommunikationssystem,Internetzugangssystem,4f57c7de-d319-4fae-9b70-03d5a00a214f,Verbindungskabel
Infotainmentsystem,Kommunikationssystem,Internetzugangssystem,73d0fed5-e0cb-43f9-b80b-669d9874c34a,EMV-Abschirmung
Infotainmentsystem,Kommunikationssystem,Internetzugangssystem,e8e28949-9101-4b56-9ded-f63b805caeeb,Stromversorgungseinheit
Infotainmentsystem,Kommunikationssystem,Internetzugangssystem,2c057bc2-f3ed-4a27-8aa3-5cf06dbf52e1,Diagnoseanschluss
Infotainmentsystem,Kommunikationssystem,Internetzugangssystem,eef422df-2654-48af-92ed-eda7cee0b4bb,USB-Anschluss
Infotainmentsystem,Kommunikationssystem,Internetzugangssystem,12972887-9fcb-441c-b8f8-fa84296b79c6,SD-Kartenleser
Infotainmentsystem,Kommunikationssystem,Internetzugangssystem,2c2de418-a9ef-4649-8143-a5f12a8223da,Wi-Fi-Modul
Infotainmentsystem,Kommunikationssystem,Internetzugangssystem,95d67925-ae86-4c91-885d-ef07d51874ac,Bluetooth-Modul
Infotainmentsystem,Kommunikationssystem,Internetzugangssystem,3c3fbe6c-b640-4066-a470-f7586cc7d903,GPS-Modul
Infotainmentsystem,Kommunikationssystem,Internetzugangssystem,6d8f9f6d-4c16-4b17-a0e3-4328eff33780,RFID-Modul
Infotainmentsystem,Kommunikationssystem,Internetzugangssystem,4fdb5dcd-74a7-4698-8259-67a1f1219d51,Signalfilter
Infotainmentsystem,Kommunikationssystem,Internetzugangssystem,258942a4-8f47-47f5-abf9-7c71f6016e5f,Signalwandler
Infotainmentsystem,Kommunikationssystem,Internetzugangssystem,eb43e5b5-e3aa-45c5-b394-0fd5f04d492c,Speichermodul
Infotainmentsystem,Kommunikationssystem,Internetzugangssystem,ff0ce1e9-1b8c-464e-8cb1-941d4a32e55b,Temperatursensor
Infotainmentsystem,Kommunikationssystem,Internetzugangssystem,afd79291-3b7a-49b2-8517-4a19ac8ba7ad,Gehäuse
Infotainmentsystem,Kommunikationssystem,Internetzugangssystem,6aaa015e-de23-4e21-a9bf-8a6d8b4fc312,Montagehalterung
Infotainmentsystem,Kommunikationssystem,Internetzugangssystem,432ef1d9-8bc2-4786-900b-d938a9321e99,Kühlkörper
Infotainmentsystem,Kommunikationssystem,Internetzugangssystem,5a9c4ed5-ce0b-4bcc-ab0b-3358855afaa8,LED-Anzeige
Infotainmentsystem,Kommunikationssystem,Internetzugangssystem,62e4ba4e-1ad9-4f03-904e-cd39acb9680c,Statusanzeige
Infotainmentsystem,Kommunikationssystem,Internetzugangssystem,6a077aa1-1ff5-4a70-a30e-ef1774621d08,Schutzschaltung
Infotainmentsystem,Kommunikationssystem,Internetzugangssystem,db8840d6-5a87-419c-9b2f-68d43e3fbd30,Relais
Infotainmentsystem,Kommunikationssystem,Internetzugangssystem,5349c632-58b1-4b86-b2e1-8ddfc810fa33,Schraubverbindungen
Infotainmentsystem,Kommunikationssystem,Internetzugangssystem,b9881f42-5635-417e-b248-857a446a77f5,Netzwerkprotokollstack
Infotainmentsystem,Kommunikationssystem,Internetzugangssystem,c7e8b550-f325-458b-a3a1-84c9e86150f8,Firewall-Software
Infotainmentsystem,Kommunikationssystem,Internetzugangssystem,0d5788b4-8bba-4ab1-8ddc-93d8d2dde3cd,VPN-Client
Infotainmentsystem,Kommunikationssystem,Internetzugangssystem,0c085ae3-076d-49c4-ac86-fcb84fd350f6,Diagnosesoftware
Infotainmentsystem,Kommunikationssystem,Internetzugangssystem,be55f5c3-f575-465d-8c6f-da8d543a96e1,Netzwerkmanagementsoftware
Infotainmentsystem,Kommunikationssystem,Internetzugangssystem,3be535ed-c849-46d7-b418-fbe17753e889,Authentifizierungssoftware
Infotainmentsystem,Kommunikationssystem,Internetzugangssystem,feba9001-26d1-4619-8476-7c444cfb53c3,Update-Management-Software
Infotainmentsystem,Kommunikationssystem,Internetzugangssystem,b62828b8-f2a4-43fd-b1d7-d10e1b522595,Fehlerprotokollierungssoftware
Infotainmentsystem,Kommunikationssystem,Internetzugangssystem,12f784fa-8a3f-46ca-b6df-80e0b9617e15,Signalverarbeitungssoftware
Infotainmentsystem,Kommunikationssystem,Internetzugangssystem,433481fb-9b40-4a91-a68b-1866ca45e2b6,Wi-Fi-Treiber
Infotainmentsystem,Kommunikationssystem,Internetzugangssystem,1c6029f4-f6c6-4665-9fc9-218368ff2b7d,Bluetooth-Treiber
Infotainmentsystem,Kommunikationssystem,Internetzugangssystem,b2080550-3658-4dd8-9a28-6260b88dbddc,GPS-Treiber
Infotainmentsystem,Kommunikationssystem,Internetzugangssystem,82bcc4c8-3e3b-49f7-956b-2ce8d3c37c68,RFID-Treiber
Infotainmentsystem,Kommunikationssystem,Internetzugangssystem,729fc027-9006-4ff2-8569-590aeda93c95,Cloud-Synchronisationssoftware
Infotainmentsystem,Kommunikationssystem,Internetzugangssystem,2ad3b4bc-8d52-48c7-ba5f-4ba7e726fbd0,App-Integrationssoftware
Infotainmentsystem,Kommunikationssystem,Internetzugangssystem,187923c3-db75-441f-852a-ceb42e18194c,OTA-Update-Software
Infotainmentsystem,Kommunikationssystem,Internetzugangssystem,74a72a0b-8735-4718-a9d1-4d2da914b936,Netzwerkverschlüsselungssoftware
Infotainmentsystem,Kommunikationssystem,Internetzugangssystem,fae9418a-6a08-45b5-ae6f-11051fb287a7,IP-Adressmanagementsoftware
Infotainmentsystem,Kommunikationssystem,Internetzugangssystem,e98f1273-04cc-481f-a7ab-b64b59d592da,Routing-Software
Infotainmentsystem,Kommunikationssystem,Internetzugangssystem,1d8d8bf7-3127-48e7-b376-7d54915f1709,Verbindungsüberwachungssoftware
Infotainmentsystem,Kommunikationssystem,Internetzugangssystem,2b8fd65a-702d-4124-bba9-1453a4034ede,Netzwerkoptimierungssoftware
Infotainmentsystem,Kommunikationssystem,Internetzugangssystem,1d2eef00-cded-4338-9689-2bc34f8c9d10,Diagnose-Tool
Infotainmentsystem,Kommunikationssystem,Internetzugangssystem,82ca396e-2c8f-46e9-8999-57ce78d3bcdd,Fehlerbehebungssoftware
Infotainmentsystem,Kommunikationssystem,Internetzugangssystem,0630ba19-2016-470e-98df-01103040a2be,Remote-Zugriffssoftware
Infotainmentsystem,Kommunikationssystem,Internetzugangssystem,b0a7cd54-ab6e-4515-86ad-46b811585199,Netzwerk-Sicherheitssoftware
