Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Energiesystem,Energiespeichersystem,Kapazitätsprognosesystem,a7335f71-0e10-4519-a25f-80e139cdf75f,Sensor für Batteriezellenkapazität
Energiesystem,Energiespeichersystem,Kapazitätsprognosesystem,a076bf69-f9d7-49a8-9327-cd4f06b2530c,Batteriezellenmodul
Energiesystem,Energiespeichersystem,Kapazitätsprognosesystem,64b27989-61da-4deb-874e-38a36dee548a,Temperatursensor
Energiesystem,Energiespeichersystem,Kapazitätsprognosesystem,b7a1708f-978f-4947-aa8e-d928eac39e3f,Batteriemanagementcontroller
Energiesystem,Energiespeichersystem,Kapazitätsprognosesystem,7cfaf603-14c8-4eaf-8b42-39ec58b08097,Spannungssensor
Energiesystem,Energiespeichersystem,Kapazitätsprognosesystem,bc64d6c8-fd0d-427d-816f-5dd0faab97ca,Stromsensor
Energiesystem,Energiespeichersystem,Kapazitätsprognosesystem,8e0a9f9f-ef28-48b3-bc14-e2e376a25350,Kommunikationsbus
Energiesystem,Energiespeichersystem,Kapazitätsprognosesystem,1902927b-5937-4f1a-b523-53167500ad03,Leistungselektronikmodul
Energiesystem,Energiespeichersystem,Kapazitätsprognosesystem,750bbb72-a35b-4e8e-8aa0-814027b8bf7e,Diagnoseanschluss
Energiesystem,Energiespeichersystem,Kapazitätsprognosesystem,d31d5763-e58a-4d9d-ba75-878f05f53488,HV-Steuergerät
Energiesystem,Energiespeichersystem,Kapazitätsprognosesystem,d0ab48a1-90b8-44ad-8d40-b8a4bdfd6b54,LV-Steuergerät
Energiesystem,Energiespeichersystem,Kapazitätsprognosesystem,a440444c-0ce8-4ccb-8e77-d2a769e73e19,Relaismodul
Energiesystem,Energiespeichersystem,Kapazitätsprognosesystem,b734c3d6-795c-43dd-981a-0348f55fd37b,Isolationsüberwachungssensor
Energiesystem,Energiespeichersystem,Kapazitätsprognosesystem,eda529ea-2008-4624-982f-32e7f3277282,Prognosealgorithmus-Chip
Energiesystem,Energiespeichersystem,Kapazitätsprognosesystem,6a46aa4c-da08-43f7-993b-97dfb7d70f92,Speicherchip
Energiesystem,Energiespeichersystem,Kapazitätsprognosesystem,ae9c46dc-3fb6-485a-a4ac-17994d32deb5,Signalverstärker
Energiesystem,Energiespeichersystem,Kapazitätsprognosesystem,5aae9483-d9df-4ec9-8dbc-09d04663b38f,Leistungswandler
Energiesystem,Energiespeichersystem,Kapazitätsprognosesystem,cbfad54f-ae99-480a-8122-ec291e7ff14b,Diagnoseinterface
Energiesystem,Energiespeichersystem,Kapazitätsprognosesystem,96d39499-601e-4c20-b8f9-5170ddc16c37,Steckverbinder
Energiesystem,Energiespeichersystem,Kapazitätsprognosesystem,b1a3b642-24fc-44c0-a082-ea29484a88c5,Leitungsschutzschalter
Energiesystem,Energiespeichersystem,Kapazitätsprognosesystem,376f20fa-eedd-446e-a8b8-0b5dc673901c,HV-Kabelbaum
