Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Infotainmentsystem,Navigationssystem,Kartenupdatesystem,34298e55-decd-48ac-b2f6-14595267a422,GPS-Antenne
Infotainmentsystem,Navigationssystem,Kartenupdatesystem,0ea40067-dcff-4393-bd16-4d8a5ce5efb4,GPS-Empfänger
Infotainmentsystem,Navigationssystem,Kartenupdatesystem,660f06de-b505-4f3d-adc9-04e476fae8d9,GNSS-Modul
Infotainmentsystem,Navigationssystem,Kartenupdatesystem,7d344014-9fff-479e-8c42-41043b12bbae,SD-Kartenleser
Infotainmentsystem,Navigationssystem,Kartenupdatesystem,e86a09ec-4c4d-4fc7-994f-26e62dfb2d7d,Flash-Speicher
Infotainmentsystem,Navigationssystem,Kartenupdatesystem,e526a554-9959-48d7-a63a-a7a20f231ed7,Microcontroller
Infotainmentsystem,Navigationssystem,Kartenupdatesystem,4c7c2998-f43b-47f1-b1f1-1fd27e9bb389,Display-Treiber
Infotainmentsystem,Navigationssystem,Kartenupdatesystem,3363b4c5-0262-4230-b18c-007d012685de,Touchscreen-Sensor
Infotainmentsystem,Navigationssystem,Kartenupdatesystem,ac4e7284-7270-402d-9b74-645f896c9363,Signalverstärker
Infotainmentsystem,Navigationssystem,Kartenupdatesystem,87843d23-8c6f-4ccc-96c7-9a0e929bb781,Kommunikationsmodul
Infotainmentsystem,Navigationssystem,Kartenupdatesystem,840f23e7-9c5d-4fa0-b0f3-738d977f446e,Wi-Fi-Chip
Infotainmentsystem,Navigationssystem,Kartenupdatesystem,88e7420c-9302-4fe3-958c-3a16daee61c2,Bluetooth-Modul
Infotainmentsystem,Navigationssystem,Kartenupdatesystem,0c7207b0-5b8c-469e-8a1b-620bb55468af,USB-Anschluss
Infotainmentsystem,Navigationssystem,Kartenupdatesystem,ad8b90bc-7912-40fa-b90a-fa059771e5e2,Spannungsregler
Infotainmentsystem,Navigationssystem,Kartenupdatesystem,f1272417-7dfd-4a7e-983c-5f6536cc7c9d,Backup-Batterie
Infotainmentsystem,Navigationssystem,Kartenupdatesystem,20d1b5c0-1fad-41dc-8b13-736928f7ea38,Temperatursensor
Infotainmentsystem,Navigationssystem,Kartenupdatesystem,3786d81c-311e-4fba-85db-70c1337ffe78,Feuchtigkeitssensor
Infotainmentsystem,Navigationssystem,Kartenupdatesystem,42e93e98-8186-48ad-82b8-112e189ca10e,LED-Anzeige
Infotainmentsystem,Navigationssystem,Kartenupdatesystem,6ffe218b-48bb-4e68-81c9-b7d3f42fc78c,Steuerplatine
Infotainmentsystem,Navigationssystem,Kartenupdatesystem,52846af5-013a-4769-96c5-a4006b43e3b1,Speicherchip
Infotainmentsystem,Navigationssystem,Kartenupdatesystem,114ca25d-a576-4de0-9421-44e9ac0aa510,Prozessorchip
Infotainmentsystem,Navigationssystem,Kartenupdatesystem,0f7b08ac-f255-4383-b00d-7ea3e3baa1a0,Netzwerkadapter
Infotainmentsystem,Navigationssystem,Kartenupdatesystem,d0e9d505-b0ec-4b8f-b68c-4d153c7239a4,Bus-Interface-Chip
Infotainmentsystem,Navigationssystem,Kartenupdatesystem,a253c13b-91b1-42fb-a552-00b6f7d98a4d,Spannungswandler
Infotainmentsystem,Navigationssystem,Kartenupdatesystem,1f6de10f-76f3-40aa-a8dc-38b36ae5a38a,Stromversorgungseinheit
Infotainmentsystem,Navigationssystem,Kartenupdatesystem,e9159d57-a63f-4220-ad84-35a4864490b8,Schutzgehäuse
Infotainmentsystem,Navigationssystem,Kartenupdatesystem,015f2a57-2f98-49dc-8ec6-2ed8c08a4af8,Kühlkörper
Infotainmentsystem,Navigationssystem,Kartenupdatesystem,2a6d8105-bb6e-4034-b38b-33a051ccf67b,Montagehalterung
Infotainmentsystem,Navigationssystem,Kartenupdatesystem,eef2855a-49b4-4b7b-9dab-5b9697be4795,Verbindungskabel
Infotainmentsystem,Navigationssystem,Kartenupdatesystem,44579430-3407-472a-a2e4-7ba66905b8ed,Diagnoseanschluss
Infotainmentsystem,Navigationssystem,Kartenupdatesystem,d38f2cba-1751-4b76-83fc-227b4b8cd45a,Navigationssoftware
Infotainmentsystem,Navigationssystem,Kartenupdatesystem,80dac1e1-1e48-478b-80f5-da59358ea3c8,Kartenmanagement-Software
Infotainmentsystem,Navigationssystem,Kartenupdatesystem,73eef20d-4d22-4712-a710-4e927ebd92f7,Update-Manager
Infotainmentsystem,Navigationssystem,Kartenupdatesystem,c5fe384e-89e8-4808-b4af-4e18f2ad9491,Routing-Algorithmus
Infotainmentsystem,Navigationssystem,Kartenupdatesystem,b9e58c9a-5ef0-4c54-8f0e-00370018de75,Verkehrsdaten-Integration
Infotainmentsystem,Navigationssystem,Kartenupdatesystem,d5e7044a-b7e5-481e-b9e0-c24df1103b7a,Geodatenbank
Infotainmentsystem,Navigationssystem,Kartenupdatesystem,25e23b17-9057-44fd-bae1-18918eb84581,Sprachsteuerungsmodul
Infotainmentsystem,Navigationssystem,Kartenupdatesystem,9cdd9943-b244-4f9a-836d-14030ffdc25b,GUI-Framework
Infotainmentsystem,Navigationssystem,Kartenupdatesystem,dd6b46c2-969b-423a-a3d7-aee0dab60ecd,Fehlerprotokollierungssoftware
Infotainmentsystem,Navigationssystem,Kartenupdatesystem,137aa80b-0695-4192-947f-63518dd2b0c4,OTA-Update-Client
Infotainmentsystem,Navigationssystem,Kartenupdatesystem,e928204c-67db-48eb-ae37-350dc4e864b7,Authentifizierungssoftware
Infotainmentsystem,Navigationssystem,Kartenupdatesystem,18bd79ec-4986-4131-a03b-d9b922433a39,Netzwerkprotokoll-Stack
Infotainmentsystem,Navigationssystem,Kartenupdatesystem,3da5ccf6-6623-4165-af8e-f7282b444e85,Kompatibilitätsprüfungssoftware
Infotainmentsystem,Navigationssystem,Kartenupdatesystem,fe03a887-306d-4dd7-8a09-ffd668f7ddfc,Backup-Software
Infotainmentsystem,Navigationssystem,Kartenupdatesystem,8fbee1d7-9798-4065-97c5-811be5c32864,Speicherverwaltungssystem
Infotainmentsystem,Navigationssystem,Kartenupdatesystem,068a22fe-aba6-4e3c-8e0d-730402bc96d7,Diagnosesoftware
Infotainmentsystem,Navigationssystem,Kartenupdatesystem,7ab731b3-fefa-4089-992c-3ecea204074a,Cloud-Synchronisationsmodul
Infotainmentsystem,Navigationssystem,Kartenupdatesystem,505959a3-4f92-46e6-9692-c3f5f524f576,Rechenoptimierungssoftware
Infotainmentsystem,Navigationssystem,Kartenupdatesystem,e7165ae3-33b4-4267-aeb0-c9b76362bcef,Positionsberechnungssoftware
Infotainmentsystem,Navigationssystem,Kartenupdatesystem,fce96716-b80a-40fa-9ee0-863a7e68f270,Sensor-Datenfusion
Infotainmentsystem,Navigationssystem,Kartenupdatesystem,5d7e4f0b-a01b-4940-beb7-bfbc80f26772,Software-API
Infotainmentsystem,Navigationssystem,Kartenupdatesystem,203686c2-5630-4c28-b3fc-314e71b11dda,Kommunikationsprotokoll
Infotainmentsystem,Navigationssystem,Kartenupdatesystem,37cb5f2c-6f55-4be1-9b82-03dc228a4393,Fehlerkorrekturmodul
Infotainmentsystem,Navigationssystem,Kartenupdatesystem,07611159-2b69-473a-aa59-9a363aab4f7d,Softwareverschlüsselung
Infotainmentsystem,Navigationssystem,Kartenupdatesystem,024152af-4566-402b-bc42-a595eaf96489,Software-Validierungssystem
Infotainmentsystem,Navigationssystem,Kartenupdatesystem,1d39a4ae-f9f9-46b9-97e7-7bbd410cc16d,Software-Installationsmodul
Infotainmentsystem,Navigationssystem,Kartenupdatesystem,6560a0f7-37eb-48ba-bcd8-08828431b8a6,Rollback-Software
Infotainmentsystem,Navigationssystem,Kartenupdatesystem,7ff22c6d-d2eb-41d1-bf1d-7311a20e9e71,Test-Framework
Infotainmentsystem,Navigationssystem,Kartenupdatesystem,cdd3760c-d17f-464c-90ec-71e31bba1044,Software-Update-Planer
Infotainmentsystem,Navigationssystem,Kartenupdatesystem,06176a85-02b4-4319-bcf1-c0c36b38b96a,Software-Integrationsmodul
