Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Infotainmentsystem,Audiosystem,Klangverarbeitungssystem,d33a2b36-7856-4199-bc36-cacaf8cf1d7c,DSP-Chip
Infotainmentsystem,Audiosystem,Klangverarbeitungssystem,99da2541-3e04-401e-834d-a74cc07e09d2,Audio-Codec
Infotainmentsystem,Audiosystem,Klangverarbeitungssystem,d043f88a-e86b-494c-a713-aa3b9d6ddd9a,Verstärker
Infotainmentsystem,Audiosystem,Klangverarbeitungssystem,c65136a0-9320-48ac-8f10-a25cf78370c5,Equalizer-Hardware
Infotainmentsystem,Audiosystem,Klangverarbeitungssystem,f1fcfd2d-ca37-4aa4-8ae1-a216a1110e59,Digital-Analog-Wandler
Infotainmentsystem,Audiosystem,Klangverarbeitungssystem,7f128888-47c4-4abd-8a86-dff3cd4fcf04,Analog-Digital-Wandler
Infotainmentsystem,Audiosystem,Klangverarbeitungssystem,f0e2a1cf-3702-47f3-9998-32531e1f6811,Lautsprecher
Infotainmentsystem,Audiosystem,Klangverarbeitungssystem,f2da8aa3-c755-44e4-afaa-f5ebbdf6ef6e,Subwoofer
Infotainmentsystem,Audiosystem,Klangverarbeitungssystem,c0e6ac0f-f302-4ace-b6d4-08b437b1ce00,Hochtöner
Infotainmentsystem,Audiosystem,Klangverarbeitungssystem,8876c7f9-c456-4214-8f84-69a12dee6a0a,Mikrofon
Infotainmentsystem,Audiosystem,Klangverarbeitungssystem,10e7f475-2d88-4d27-a0e0-88cfa3e96011,Audio-Kabelbaum
Infotainmentsystem,Audiosystem,Klangverarbeitungssystem,38bbf9e5-61c0-4f32-ac2b-56b6c80b0f20,EMV-Filter
Infotainmentsystem,Audiosystem,Klangverarbeitungssystem,54d86687-0935-4551-8315-721e349b47e9,Audio-Steuergerät
Infotainmentsystem,Audiosystem,Klangverarbeitungssystem,0624b4b0-d597-4f2b-b7da-6c7c234e7860,Signalprozessor
Infotainmentsystem,Audiosystem,Klangverarbeitungssystem,f2e77392-ee0a-4ad6-b2bf-f11e64c06744,Audio-Filtermodule
Infotainmentsystem,Audiosystem,Klangverarbeitungssystem,8f307af0-a5c2-41b2-ac3f-9be600253742,Audio-Relais
