Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Bodysystem,Klimatisierungssystem,Klimavorkonditionierungssystem,20cdd024-3b92-46cb-9f4d-3058a781473b,Temperatursensor
Bodysystem,Klimatisierungssystem,Klimavorkonditionierungssystem,d8888f8a-21e6-4bf7-aeea-b96de5ece309,Kühlmittelpumpe
Bodysystem,Klimatisierungssystem,Klimavorkonditionierungssystem,34969bd8-a305-46de-a8ee-b50d50644487,Heizwiderstand
Bodysystem,Klimatisierungssystem,Klimavorkonditionierungssystem,0cd4c1fc-22ef-4be0-bc99-e8d8cb230011,Klimakompressor
Bodysystem,Klimatisierungssystem,Klimavorkonditionierungssystem,0fdff4ca-7700-44cb-ba43-29fc1f376914,Kondensator
Bodysystem,Klimatisierungssystem,Klimavorkonditionierungssystem,7f201589-ffe3-4be6-b2b3-542c1873b120,Lüftermotor
Bodysystem,Klimatisierungssystem,Klimavorkonditionierungssystem,9c5f391a-6b45-4166-99bd-07293f594d7e,Kühlmittelventil
Bodysystem,Klimatisierungssystem,Klimavorkonditionierungssystem,07815a55-5705-4b47-b457-80e2384605a8,Expansionsventil
Bodysystem,Klimatisierungssystem,Klimavorkonditionierungssystem,32f418b0-fc65-453d-b3cf-8f9ba142ef3d,Kältemittelleitung
Bodysystem,Klimatisierungssystem,Klimavorkonditionierungssystem,d42888c6-ef70-49cf-98c0-420f73e3308b,Innenraumtemperatursensor
Bodysystem,Klimatisierungssystem,Klimavorkonditionierungssystem,daf92e0e-1826-4a61-ad92-4f687f415f9b,Außentemperatursensor
Bodysystem,Klimatisierungssystem,Klimavorkonditionierungssystem,1a9f1f1c-c993-4145-a91b-0226b635bf08,Luftfeuchtigkeitssensor
Bodysystem,Klimatisierungssystem,Klimavorkonditionierungssystem,a5eaccc6-1a74-4b2c-8549-4494d2e14283,Luftstromsensor
Bodysystem,Klimatisierungssystem,Klimavorkonditionierungssystem,5cd8e928-b077-40c9-8cd8-2f58113c5e1d,Heizungssteuergerät
Bodysystem,Klimatisierungssystem,Klimavorkonditionierungssystem,2f83b731-e9b0-4cdd-acf2-9627e8189289,Klimasteuergerät
Bodysystem,Klimatisierungssystem,Klimavorkonditionierungssystem,501a7925-957b-444f-a280-508c13f5f12f,Wärmetauscher
Bodysystem,Klimatisierungssystem,Klimavorkonditionierungssystem,dc6c755d-989f-4ca7-9f2a-b3d0b9eb72d8,Kühlmittelbehälter
Bodysystem,Klimatisierungssystem,Klimavorkonditionierungssystem,7142a0cb-1d50-47c9-b119-e973d2b9bd67,Kühlmittelrohr
Bodysystem,Klimatisierungssystem,Klimavorkonditionierungssystem,a2d11977-119e-48cc-8927-b8f841454cd9,Kühlmittelanschluss
Bodysystem,Klimatisierungssystem,Klimavorkonditionierungssystem,8a9675b3-7e61-417b-8da9-0b8f9afd890e,Kühlmittelfilter
Bodysystem,Klimatisierungssystem,Klimavorkonditionierungssystem,d3714fa2-c8d1-47d1-be96-a7a01f47cf35,Kühlmittelheizmodul
Bodysystem,Klimatisierungssystem,Klimavorkonditionierungssystem,f0618319-bb1d-42a7-aa79-3bcc2f10e616,Kühlmittelkühler
Bodysystem,Klimatisierungssystem,Klimavorkonditionierungssystem,8469f134-4085-4f6c-b00c-b67a59ad6e2b,Kühlmittelverteiler
Bodysystem,Klimatisierungssystem,Klimavorkonditionierungssystem,9e25fe6e-a82e-42c1-87e8-747e1a34c406,Luftkanal
Bodysystem,Klimatisierungssystem,Klimavorkonditionierungssystem,105d9376-eaa5-479a-9405-3488f9cc81cf,Luftklappenmotor
Bodysystem,Klimatisierungssystem,Klimavorkonditionierungssystem,b79018dc-7e81-4e76-b2b3-964da52636c5,Luftfilter
Bodysystem,Klimatisierungssystem,Klimavorkonditionierungssystem,de2331de-a758-43be-81e9-44a4eea68e47,Luftauslassdüse
Bodysystem,Klimatisierungssystem,Klimavorkonditionierungssystem,7f18d9d1-6546-477b-ab22-4bf4c22c1cbe,Luftansaugdüse
Bodysystem,Klimatisierungssystem,Klimavorkonditionierungssystem,0662f477-82a0-4055-9edb-9ceb785a0af9,Luftverteiler
Bodysystem,Klimatisierungssystem,Klimavorkonditionierungssystem,59ad8ecf-fe9a-4cd0-9e36-2cc42ea333a0,Luftstromregler
Bodysystem,Klimatisierungssystem,Klimavorkonditionierungssystem,432229f0-3f7d-45e5-9ca6-88807e88e6e8,Temperaturregelungsalgorithmus
Bodysystem,Klimatisierungssystem,Klimavorkonditionierungssystem,08d13b23-40db-4c52-8819-275c6a2ca27a,Kühlmittelflusssteuerungssoftware
Bodysystem,Klimatisierungssystem,Klimavorkonditionierungssystem,edc8fb46-6eb8-4340-a69c-5a7924aa7fda,Heizungssteuerungssoftware
Bodysystem,Klimatisierungssystem,Klimavorkonditionierungssystem,d59bdb6e-ed64-441e-a45b-d86c85cd3b5d,Klimakompressorsteuerung
Bodysystem,Klimatisierungssystem,Klimavorkonditionierungssystem,fefef3a5-2479-4a7d-a20f-ef4397b0dcce,Sensor-Datenverarbeitung
Bodysystem,Klimatisierungssystem,Klimavorkonditionierungssystem,d3c5c0e7-5a05-4827-a11f-f402bdaac954,Feuchtigkeitsregelungssoftware
Bodysystem,Klimatisierungssystem,Klimavorkonditionierungssystem,cc72cc1d-c2c2-4f65-bec8-a8e364b676dc,Luftstromregelungssoftware
