Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Infotainmentsystem,Anzeige- und Bedienungssystem,Kombiinstrumentsystem,c3353c27-9c0e-43bf-9eb5-79c69c4c4209,Displaypanel
Infotainmentsystem,Anzeige- und Bedienungssystem,Kombiinstrumentsystem,b9c31a15-df64-4b49-9002-0216596d6393,TFT-Bildschirm
Infotainmentsystem,Anzeige- und Bedienungssystem,Kombiinstrumentsystem,5c6c2e74-ed57-4ec0-95f8-df26e598321d,OLED-Bildschirm
Infotainmentsystem,Anzeige- und Bedienungssystem,Kombiinstrumentsystem,1565de9b-1146-42e7-96fd-04c52dff7536,LED-Hintergrundbeleuchtung
Infotainmentsystem,Anzeige- und Bedienungssystem,Kombiinstrumentsystem,a5602966-aeb0-4ef2-a354-7a6d1c8a9e5d,Touchscreen-Sensor
Infotainmentsystem,Anzeige- und Bedienungssystem,Kombiinstrumentsystem,97a4beec-97f0-4edf-961a-76281278f1c1,Glasabdeckung
Infotainmentsystem,Anzeige- und Bedienungssystem,Kombiinstrumentsystem,42f213b4-194e-4057-98e6-9050adc82f76,Displaycontroller
Infotainmentsystem,Anzeige- und Bedienungssystem,Kombiinstrumentsystem,6df4018c-bcd8-4e3e-9db9-76ffd6540435,Flexkabel
Infotainmentsystem,Anzeige- und Bedienungssystem,Kombiinstrumentsystem,e6bb9a3e-089b-471b-a3c8-222ab12e3476,Steckverbinder
Infotainmentsystem,Anzeige- und Bedienungssystem,Kombiinstrumentsystem,31bcf929-4aec-439a-b575-88fa91771f81,PCB-Board
Infotainmentsystem,Anzeige- und Bedienungssystem,Kombiinstrumentsystem,3a61ea0a-3b03-4808-984e-f0d54a4c0449,Spannungsregler
Infotainmentsystem,Anzeige- und Bedienungssystem,Kombiinstrumentsystem,fd30b7c0-c0d7-4347-9441-ef3126fdfcd2,Temperatursensor
Infotainmentsystem,Anzeige- und Bedienungssystem,Kombiinstrumentsystem,a6c02e6d-2a49-4a32-9f3b-b7bdaa54647c,Umgebungslichtsensor
Infotainmentsystem,Anzeige- und Bedienungssystem,Kombiinstrumentsystem,de71fd34-b0b0-4d73-bd0a-f624aaf19161,Gyroskop
Infotainmentsystem,Anzeige- und Bedienungssystem,Kombiinstrumentsystem,211b313b-d7f7-4573-b408-0a402c88520e,Beschleunigungssensor
Infotainmentsystem,Anzeige- und Bedienungssystem,Kombiinstrumentsystem,c58b85bf-38d9-44f1-8e24-35fdb040d287,Microcontroller
Infotainmentsystem,Anzeige- und Bedienungssystem,Kombiinstrumentsystem,45f9b445-ae53-49e1-a5e1-2b080c1cb706,Speicherchip
Infotainmentsystem,Anzeige- und Bedienungssystem,Kombiinstrumentsystem,c01bed5d-781d-4781-968c-ff7fd491fe7a,Signalprozessor
Infotainmentsystem,Anzeige- und Bedienungssystem,Kombiinstrumentsystem,b601b0d7-4cf3-4948-a03f-83fcff32c752,Kommunikationsmodul
Infotainmentsystem,Anzeige- und Bedienungssystem,Kombiinstrumentsystem,664247a6-b228-45e9-ace1-d8dd4c71f88f,Stromversorgungseinheit
Infotainmentsystem,Anzeige- und Bedienungssystem,Kombiinstrumentsystem,5a328ce4-4873-4372-93a2-b34dfa58b1ec,Kühlkörper
Infotainmentsystem,Anzeige- und Bedienungssystem,Kombiinstrumentsystem,8e1d24eb-fc65-42dc-90a5-4396aea7e76b,Montagerahmen
