Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Energiesystem,Energiesicherheitsabschaltsystem,Kurzschlussschutzsystem,b83a1ea0-eef6-4f46-80ff-3ba26a551eb2,Sicherung
Energiesystem,Energiesicherheitsabschaltsystem,Kurzschlussschutzsystem,95b48ac5-66c0-49fa-8bc0-e7ea3ef9b61f,Relais
Energiesystem,Energiesicherheitsabschaltsystem,Kurzschlussschutzsystem,bca9341b-a04a-44e7-8bce-8b8e10279df8,Leistungsschalter
Energiesystem,Energiesicherheitsabschaltsystem,Kurzschlussschutzsystem,af270fb0-d301-4c02-b53c-bf3c546d7fd7,Schmelzsicherung
Energiesystem,Energiesicherheitsabschaltsystem,Kurzschlussschutzsystem,6bcea558-c3db-4b1c-861e-cc0975f63d31,Halbleiter-Schutzmodul
Energiesystem,Energiesicherheitsabschaltsystem,Kurzschlussschutzsystem,c1b31136-5526-433b-acf3-1cfc209abef6,Stromsensor
Energiesystem,Energiesicherheitsabschaltsystem,Kurzschlussschutzsystem,a3d9c8d2-3c22-457f-879f-f8adaacd2c02,Spannungssensor
Energiesystem,Energiesicherheitsabschaltsystem,Kurzschlussschutzsystem,b79060f8-1a2c-4267-ac9d-877bf2362d78,Temperatursensor
Energiesystem,Energiesicherheitsabschaltsystem,Kurzschlussschutzsystem,0e1ff424-7082-4c73-a738-cb49d8a18e45,Isolationsüberwachungseinheit
Energiesystem,Energiesicherheitsabschaltsystem,Kurzschlussschutzsystem,c0d589f5-d6a3-481a-acf5-9fb64c05cb86,Leiterplatte
Energiesystem,Energiesicherheitsabschaltsystem,Kurzschlussschutzsystem,d98d5a61-408a-4ddd-8ce1-395b3f5d0d9e,Steckverbinder
Energiesystem,Energiesicherheitsabschaltsystem,Kurzschlussschutzsystem,838781d0-cf7a-4e3f-bc23-33b68c76c45a,Kabelbaum
Energiesystem,Energiesicherheitsabschaltsystem,Kurzschlussschutzsystem,571fe39c-e462-4359-af8e-b516b6c1d6ef,Hochstromkabel
Energiesystem,Energiesicherheitsabschaltsystem,Kurzschlussschutzsystem,2c11767a-7a58-4180-9bdb-cfef54b525ac,Schutzgehäuse
Energiesystem,Energiesicherheitsabschaltsystem,Kurzschlussschutzsystem,3c978309-5059-4583-85ee-6c28bf8c84cf,EMV-Filter
