Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Energiesystem,Energiemanagementsystem,Lade-Entladeplanungssystem,fe50a7a9-06b5-4a00-a7ba-b2aee9c3e793,Batteriemodul
Energiesystem,Energiemanagementsystem,Lade-Entladeplanungssystem,ac5bf46c-6534-4f6a-b358-a17d408dc39a,Leistungselektronik
Energiesystem,Energiemanagementsystem,Lade-Entladeplanungssystem,c2351453-d732-46e7-91af-ce30a1b63a7a,Spannungswandler
Energiesystem,Energiemanagementsystem,Lade-Entladeplanungssystem,ebc7e9ce-f118-4ec1-90d4-6b3d88e350ce,Temperatursensor
Energiesystem,Energiemanagementsystem,Lade-Entladeplanungssystem,5bb320f5-46db-4fd5-b512-e8fe83fe8def,Hochvoltkabel
Energiesystem,Energiemanagementsystem,Lade-Entladeplanungssystem,ae087b0d-fb1d-4b5f-a6a3-ae6fb675fe13,Relais
Energiesystem,Energiemanagementsystem,Lade-Entladeplanungssystem,fc65c43d-b428-4492-9f24-0054480d329b,Steckverbinder
Energiesystem,Energiemanagementsystem,Lade-Entladeplanungssystem,16a38426-04aa-468a-b164-70c62ae068dd,Leistungsverteiler
Energiesystem,Energiemanagementsystem,Lade-Entladeplanungssystem,582782c9-d10a-47dc-86fa-19a44645cf5f,Schutzschalter
Energiesystem,Energiemanagementsystem,Lade-Entladeplanungssystem,f89758b8-3ec4-4aef-bd8d-7e2494c8747c,Kommunikationsschnittstelle
Energiesystem,Energiemanagementsystem,Lade-Entladeplanungssystem,46ee62a8-3fa8-4c5a-afa4-0bdec1936dcb,DC-DC-Wandler
Energiesystem,Energiemanagementsystem,Lade-Entladeplanungssystem,dd530e4a-263d-49a0-90b7-deeb7be17554,AC-DC-Wandler
Energiesystem,Energiemanagementsystem,Lade-Entladeplanungssystem,b0e985d8-a99b-46f8-bbdc-111ccbff2ae4,Ladeanschluss
Energiesystem,Energiemanagementsystem,Lade-Entladeplanungssystem,10733cd3-3dc3-44bd-a3ad-098b55268811,Isolationsüberwachungseinheit
Energiesystem,Energiemanagementsystem,Lade-Entladeplanungssystem,96749b19-3ec5-4a43-8114-989e32e42607,Stromsensor
Energiesystem,Energiemanagementsystem,Lade-Entladeplanungssystem,d42cacfd-ade7-40f6-a453-7b60671fa339,Spannungssensor
