Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Energiesystem,Ladesystem,Ladeauthentifizierungssystem,a40acd9a-b5dd-4ace-babe-d9b62baaef5e,RFID-Lesegerät
Energiesystem,Ladesystem,Ladeauthentifizierungssystem,025fbdc3-a1d5-4a63-bb2b-5588bbc01682,RFID-Antenne
Energiesystem,Ladesystem,Ladeauthentifizierungssystem,c5a13f14-eafa-47ac-b9bf-85046e80e939,Smartcard-Leser
Energiesystem,Ladesystem,Ladeauthentifizierungssystem,4b57c15d-5652-4054-9c0f-3e0cc7e4e039,NFC-Modul
Energiesystem,Ladesystem,Ladeauthentifizierungssystem,9c3f969f-3603-4ad2-9d95-fa0721fbdd44,Bluetooth-Modul
Energiesystem,Ladesystem,Ladeauthentifizierungssystem,036b0b57-a82d-4c0d-9c45-008a6bdaa0c7,WiFi-Modul
Energiesystem,Ladesystem,Ladeauthentifizierungssystem,0a361396-0a9b-4bcf-918a-617281848b39,USB-Schnittstelle
Energiesystem,Ladesystem,Ladeauthentifizierungssystem,cc3684fb-ed3a-4280-82ee-1278b65fada7,Microcontroller
Energiesystem,Ladesystem,Ladeauthentifizierungssystem,ce04120d-6085-430e-9f6c-150da04fbe9a,Secure-Element-Chip
Energiesystem,Ladesystem,Ladeauthentifizierungssystem,d3000249-1f7f-4850-9b77-e212087ef729,TPM-Chip
Energiesystem,Ladesystem,Ladeauthentifizierungssystem,094a78aa-5417-4a60-9081-b38c7a868c2c,LED-Anzeige
Energiesystem,Ladesystem,Ladeauthentifizierungssystem,6e965300-7699-4977-87c3-307b12cdab8d,Touchscreen
Energiesystem,Ladesystem,Ladeauthentifizierungssystem,e05ec014-11c1-455d-964f-df8c240a13c6,Keypad
Energiesystem,Ladesystem,Ladeauthentifizierungssystem,07cec2c5-cb59-4fac-99df-6c7d8dc53581,Relaismodul
Energiesystem,Ladesystem,Ladeauthentifizierungssystem,79d6e258-dce5-4939-8fcd-4a1a6b9ec4b4,Spannungsregler
Energiesystem,Ladesystem,Ladeauthentifizierungssystem,03235c8a-6f9c-453c-892d-f79b12ceb068,DC-DC-Wandler
