Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Infotainmentsystem,Navigationssystem,Ladeinfrastrukturplanungssystem,1f2c91b5-c4b1-459d-9fce-2300ac4de413,Ladestecker
Infotainmentsystem,Navigationssystem,Ladeinfrastrukturplanungssystem,8137d141-b39a-42b0-b00b-ebeb4b185b5a,DC-Ladeanschluss
Infotainmentsystem,Navigationssystem,Ladeinfrastrukturplanungssystem,26b9a877-2083-4f37-968c-1144ebab1d78,AC-Ladeanschluss
Infotainmentsystem,Navigationssystem,Ladeinfrastrukturplanungssystem,6b1fefb3-ecfb-4054-88c6-ea3b02a983b4,Ladekabel
Infotainmentsystem,Navigationssystem,Ladeinfrastrukturplanungssystem,4fe9d312-5c89-4ed8-b7d1-a07fe462db2c,Ladestation
Infotainmentsystem,Navigationssystem,Ladeinfrastrukturplanungssystem,1ec44860-2345-4a33-a001-bed0a3030e40,Leistungselektronikmodul
Infotainmentsystem,Navigationssystem,Ladeinfrastrukturplanungssystem,771809cc-536d-457a-b17c-7c0c1b30c7d1,Spannungswandler
Infotainmentsystem,Navigationssystem,Ladeinfrastrukturplanungssystem,0a921d85-7e67-4537-93b6-13da156ce50f,Temperatursensor
Infotainmentsystem,Navigationssystem,Ladeinfrastrukturplanungssystem,301e6c07-cef8-40cc-8775-094e34850e1a,Ladekontrollmodul
Infotainmentsystem,Navigationssystem,Ladeinfrastrukturplanungssystem,95670881-1a11-4acd-9524-a75aab0b1464,Kommunikationsmodul
Infotainmentsystem,Navigationssystem,Ladeinfrastrukturplanungssystem,6673c334-c4db-4bea-bf69-ab56fa2b01b6,HV-Batterieanschluss
Infotainmentsystem,Navigationssystem,Ladeinfrastrukturplanungssystem,f4301c0f-24f5-4411-b15b-edb136c174ea,Relaismodul
Infotainmentsystem,Navigationssystem,Ladeinfrastrukturplanungssystem,ae519ebd-bcbe-43d4-aa9b-cb8aa9e3e366,Schutzschalter
Infotainmentsystem,Navigationssystem,Ladeinfrastrukturplanungssystem,e4110e3a-466b-410b-8a9c-5661cf234f9f,Stromsensor
Infotainmentsystem,Navigationssystem,Ladeinfrastrukturplanungssystem,e101bbb7-7f9e-4b00-9511-95c41e7b63bd,Spannungssensor
Infotainmentsystem,Navigationssystem,Ladeinfrastrukturplanungssystem,56322964-21e7-4619-9961-09b8484858a4,Isolationsüberwachungseinheit
Infotainmentsystem,Navigationssystem,Ladeinfrastrukturplanungssystem,fa42ff9b-4a3c-4162-ba56-34952e32ea09,Displaymodul
Infotainmentsystem,Navigationssystem,Ladeinfrastrukturplanungssystem,6b10af91-90f1-40ad-9911-356222abd3a1,LED-Anzeige
Infotainmentsystem,Navigationssystem,Ladeinfrastrukturplanungssystem,c5b3ec7c-0b5e-480b-bbee-8efdbef36e1f,RFID-Lesegerät
