Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Energiesystem,Ladesystem,Ladekommunikationssystem,8eb39103-1040-443b-97b8-947cb0db7bda,Ladeanschluss
Energiesystem,Ladesystem,Ladekommunikationssystem,4476b038-8c22-4b38-8767-530fac12e798,Steckerhalterung
Energiesystem,Ladesystem,Ladekommunikationssystem,8918cb53-42ad-45b0-9179-cb447d5dcfc6,Steckerpins
Energiesystem,Ladesystem,Ladekommunikationssystem,a90b3d2a-d0a2-4525-9b54-dab7d26c94ef,Leiterplatten
Energiesystem,Ladesystem,Ladekommunikationssystem,227de8b0-29bb-4a4a-9eea-15c323707ca1,Kommunikationsmodul
Energiesystem,Ladesystem,Ladekommunikationssystem,329e5dee-48eb-4023-a1c7-1fdb509aac85,Spannungswandler
Energiesystem,Ladesystem,Ladekommunikationssystem,07b79485-bc32-447a-aa3f-72d7736269e9,Temperatursensor
Energiesystem,Ladesystem,Ladekommunikationssystem,c8c2803f-f891-4ab8-a7d0-093129ba1afe,Stromsensor
Energiesystem,Ladesystem,Ladekommunikationssystem,a8a48875-4bb7-43f4-8b03-e70870006172,Isolationsüberwachungseinheit
Energiesystem,Ladesystem,Ladekommunikationssystem,427b761b-4c9e-44d7-bddc-354c10d036da,EMV-Filter
Energiesystem,Ladesystem,Ladekommunikationssystem,9d96b5fe-ad86-4ccd-87c9-e16b035c47a9,Relais
Energiesystem,Ladesystem,Ladekommunikationssystem,f8344f10-723f-45b7-b44f-62ffaac7a2b5,Schutzschalter
Energiesystem,Ladesystem,Ladekommunikationssystem,280599fa-99f3-4ec0-98e3-8e1c8b67a14b,LED-Anzeigen
Energiesystem,Ladesystem,Ladekommunikationssystem,5fb3d58b-d71b-4db2-881f-1054b52799d6,Displaymodul
Energiesystem,Ladesystem,Ladekommunikationssystem,aac0bda6-52dd-4088-b013-089f0f8e5878,Gehäuse
Energiesystem,Ladesystem,Ladekommunikationssystem,5e18d89d-fe93-4ed5-9345-a535df84941a,Steckverbindung
Energiesystem,Ladesystem,Ladekommunikationssystem,2b23a4cc-d6fe-4c67-9f12-0d0ecae84cae,DC-DC-Wandler
Energiesystem,Ladesystem,Ladekommunikationssystem,d5c6405c-8f74-4385-b95a-882eb99ba3f1,Kabelbaum
Energiesystem,Ladesystem,Ladekommunikationssystem,8e6bbd26-45ff-409e-9c14-7333b2072d2c,Signalverstärker
Energiesystem,Ladesystem,Ladekommunikationssystem,964dea19-e24d-4e6f-adb8-026f5e2bccb3,Antennenmodul
Energiesystem,Ladesystem,Ladekommunikationssystem,b69a3cc8-6657-41fa-a2f9-b4fefe33e269,Schraubverbindungen
