Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Energiesystem,Ladesystem,Ladeleistungssteuerungssystem,e02878aa-1de5-4607-95df-5e0fb12061bc,Ladestecker
Energiesystem,Ladesystem,Ladeleistungssteuerungssystem,70dcc94e-5d95-4968-98c3-0ca4c8834e94,Leistungselektronikmodul
Energiesystem,Ladesystem,Ladeleistungssteuerungssystem,471a74b1-361d-46b5-994d-ffa51c2bc788,DC-DC-Wandler
Energiesystem,Ladesystem,Ladeleistungssteuerungssystem,d03e3f2a-5d67-4e3f-8eac-727f1b63f434,AC-DC-Wandler
Energiesystem,Ladesystem,Ladeleistungssteuerungssystem,06750634-679a-4337-a7c2-5bd5090d420c,Ladekabel
Energiesystem,Ladesystem,Ladeleistungssteuerungssystem,2e1057f2-e53e-4469-b10c-40d8af2b4671,Ladeanschluss
Energiesystem,Ladesystem,Ladeleistungssteuerungssystem,140fa8c3-c34a-4671-b869-0f09f74df9c6,Ladeportabdeckung
Energiesystem,Ladesystem,Ladeleistungssteuerungssystem,e818b9d5-d83b-4770-8687-8a3a2c570afe,Temperatursensor
Energiesystem,Ladesystem,Ladeleistungssteuerungssystem,9905121c-ffde-4d7f-803e-531816068066,Spannungssensor
Energiesystem,Ladesystem,Ladeleistungssteuerungssystem,a8c05593-a482-4ce4-9299-4b1064717cfd,Stromsensor
Energiesystem,Ladesystem,Ladeleistungssteuerungssystem,32a15c92-7863-4aff-9c96-a0a2d4500238,Kommunikationsmodul
Energiesystem,Ladesystem,Ladeleistungssteuerungssystem,d8e7164c-d16a-44bf-80e5-5c658a55b36a,Relaismodul
Energiesystem,Ladesystem,Ladeleistungssteuerungssystem,4ca9a473-398e-4534-9a39-60d1cf0f78da,Sicherungseinheit
Energiesystem,Ladesystem,Ladeleistungssteuerungssystem,823b3fbf-96d8-4fcf-8852-df1b4ddd2599,Kühlkörper
Energiesystem,Ladesystem,Ladeleistungssteuerungssystem,f45b0738-dec6-485f-92a8-4e28bd5faacb,Leistungswandler
Energiesystem,Ladesystem,Ladeleistungssteuerungssystem,2ae02e96-4b31-4697-a9aa-fec2914df020,InduktiveLadespule
Energiesystem,Ladesystem,Ladeleistungssteuerungssystem,d032c6a0-63da-47da-b326-257975219060,Steckverbindermodul
Energiesystem,Ladesystem,Ladeleistungssteuerungssystem,3fbbf840-0054-4028-9aff-e657ce5e012a,Isolationsüberwachungseinheit
Energiesystem,Ladesystem,Ladeleistungssteuerungssystem,69f2c578-b52a-4a17-8b1c-cb947432dff8,Schutzgehäuse
Energiesystem,Ladesystem,Ladeleistungssteuerungssystem,fd7e05d2-ff59-40d0-b3b4-1e0745ef0224,Leistungsfilter
Energiesystem,Ladesystem,Ladeleistungssteuerungssystem,0df75007-0851-4096-a707-4e5648440213,Transformator
Energiesystem,Ladesystem,Ladeleistungssteuerungssystem,c424e1ef-2086-429b-aeda-cff6d34b1014,Ladecontroller
Energiesystem,Ladesystem,Ladeleistungssteuerungssystem,7468b5a7-3d3e-41f2-af15-05ba5f01bf08,Leistungsverteiler
Energiesystem,Ladesystem,Ladeleistungssteuerungssystem,0595b172-3670-4bbb-badf-7603a40825a3,EMV-Filter
Energiesystem,Ladesystem,Ladeleistungssteuerungssystem,bd418fc6-1636-46ac-a3e5-7ccda2f1512d,Ladegerätgehäuse
Energiesystem,Ladesystem,Ladeleistungssteuerungssystem,58e9c631-54e2-4074-927f-b42b29d875fb,Schutzschalter
Energiesystem,Ladesystem,Ladeleistungssteuerungssystem,3edb04a5-f632-4572-a8a7-1c99b24bbe4b,Leistungsmodul
Energiesystem,Ladesystem,Ladeleistungssteuerungssystem,eda57d2c-bd2d-4b38-ac0a-92df287b31a9,Signalverstärker
Energiesystem,Ladesystem,Ladeleistungssteuerungssystem,8a1fa364-7065-4c43-85d2-a792ca049545,Leistungsüberwachungseinheit
Energiesystem,Ladesystem,Ladeleistungssteuerungssystem,3241e2a7-6f84-47e7-b442-b7420267d63e,Diagnoseanschluss
Energiesystem,Ladesystem,Ladeleistungssteuerungssystem,1320f199-5ad5-47fb-98d9-27097b99f3c9,Ladeleistungssteuerungssoftware
Energiesystem,Ladesystem,Ladeleistungssteuerungssystem,973c3e32-e196-4167-91d5-76cbc9e7d0e8,Ladeprotokollmanagement
Energiesystem,Ladesystem,Ladeleistungssteuerungssystem,f9fef34d-a7a5-46e0-83b7-43528184ba56,Ladezustandsüberwachung
Energiesystem,Ladesystem,Ladeleistungssteuerungssystem,256fe05b-03cc-49ec-8cbb-55f400f0d877,Leistungsregelungsalgorithmus
Energiesystem,Ladesystem,Ladeleistungssteuerungssystem,52354760-3a89-466a-9ffa-4cd85bcd7227,Temperaturmanagementsoftware
Energiesystem,Ladesystem,Ladeleistungssteuerungssystem,94294986-1ea1-4368-a7b7-7008ab437f6c,Spannungsüberwachungssystem
Energiesystem,Ladesystem,Ladeleistungssteuerungssystem,17d988d1-1c7e-4879-84cb-d41edd287de2,Stromüberwachungssystem
Energiesystem,Ladesystem,Ladeleistungssteuerungssystem,bfe0647a-d257-4bd7-8b01-be9407b97d39,Kommunikationsprotokollsoftware
Energiesystem,Ladesystem,Ladeleistungssteuerungssystem,061c6d23-ed02-4ef7-a762-d23204b21b2e,Fehlerdiagnosesoftware
Energiesystem,Ladesystem,Ladeleistungssteuerungssystem,09aa1c3b-dc7b-4754-98e5-3823caa6051a,Isolationsüberwachungssoftware
Energiesystem,Ladesystem,Ladeleistungssteuerungssystem,9ea25de2-655e-44de-b839-d4756ed71635,EMV-Filtersoftware
Energiesystem,Ladesystem,Ladeleistungssteuerungssystem,1a201631-7f6a-43b8-b0ff-3a53b0a2794c,Leistungsoptimierungssoftware
Energiesystem,Ladesystem,Ladeleistungssteuerungssystem,7f9287df-a9dc-4991-b75e-9cffff5c44e3,Transformatorsteuerung
Energiesystem,Ladesystem,Ladeleistungssteuerungssystem,4eba3d16-0fa5-4fdd-9e80-3b7fa973c842,Relaissteuerungssoftware
Energiesystem,Ladesystem,Ladeleistungssteuerungssystem,ff14a5b3-e32c-4103-ab4e-193a274390b5,Sicherheitsabschaltungssoftware
Energiesystem,Ladesystem,Ladeleistungssteuerungssystem,4bf36314-3578-4ebb-8e8a-f2e3af48040d,Softwareaktualisierungsmodul
Energiesystem,Ladesystem,Ladeleistungssteuerungssystem,c201c210-bd31-475c-b335-ce2c38517ba1,Diagnoseschnittstellenmodul
Energiesystem,Ladesystem,Ladeleistungssteuerungssystem,3d23b2d9-f393-401e-b1ca-f1c15ef37aea,Leistungsflusssteuerung
Energiesystem,Ladesystem,Ladeleistungssteuerungssystem,08327231-9e83-4dc3-8d00-abb19d623fec,Effizienzoptimierungssoftware
Energiesystem,Ladesystem,Ladeleistungssteuerungssystem,d3988cc8-ac63-403b-bc46-226c2184aa83,Lastmanagementsoftware
Energiesystem,Ladesystem,Ladeleistungssteuerungssystem,f7df0b9d-f96e-433f-9bed-1f8db50a9a23,Netzkommunikationssoftware
Energiesystem,Ladesystem,Ladeleistungssteuerungssystem,9ce71fb8-b578-4958-a41f-cb7d2e1f0318,InduktivesLadesystemmanagement
Energiesystem,Ladesystem,Ladeleistungssteuerungssystem,7a51de2b-5aa6-47cd-997e-e19c59c92882,SoftwarefürLadeprotokollauthentifizierung
Energiesystem,Ladesystem,Ladeleistungssteuerungssystem,badad727-7776-4760-b008-c56c39f392cc,SoftwarefürLadeleistungsverteilung
Energiesystem,Ladesystem,Ladeleistungssteuerungssystem,aa501b51-ef13-42ff-ba11-5a875b39cd85,SoftwarefürLadeleistungspriorisierung
Energiesystem,Ladesystem,Ladeleistungssteuerungssystem,1330f2df-4043-4053-9c76-e84dc891c6f0,SoftwarefürLadeleistungsprognose
Energiesystem,Ladesystem,Ladeleistungssteuerungssystem,3600890e-02ab-41b5-9218-f648583a08cb,SoftwarefürLadeleistungsüberwachung
Energiesystem,Ladesystem,Ladeleistungssteuerungssystem,153fb93d-7455-49c0-8d12-9f6eb1fd8259,SoftwarefürLadeleistungsdiagnose
Energiesystem,Ladesystem,Ladeleistungssteuerungssystem,e60f4bac-b452-4371-8cf4-39e38f7c69d0,SoftwarefürLadeleistungsoptimierung
Energiesystem,Ladesystem,Ladeleistungssteuerungssystem,4adbec03-7462-4f60-8753-80d5b4e4821b,SoftwarefürLadeleistungsregelung
