Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Infotainmentsystem,Audiosystem,Lautsprechermanagementsystem,49fc3752-49a1-4de8-9878-7dcc237bcc25,Lautsprecher
Infotainmentsystem,Audiosystem,Lautsprechermanagementsystem,9eac76ea-4946-4471-97eb-ca2c5d3d3579,Verstärker
Infotainmentsystem,Audiosystem,Lautsprechermanagementsystem,e94a5048-25e0-4a35-ab69-6b60e4335d80,Audio-DSP
Infotainmentsystem,Audiosystem,Lautsprechermanagementsystem,877a052e-5594-474a-8113-32d7a83b5d58,Equalizer-Modul
Infotainmentsystem,Audiosystem,Lautsprechermanagementsystem,3c989a6f-4593-4bf3-94cb-5e79eb7f95e4,Audio-Controller
Infotainmentsystem,Audiosystem,Lautsprechermanagementsystem,b807ae97-4f49-40f4-8d25-8fb3a66ef57c,Signalprozessor
Infotainmentsystem,Audiosystem,Lautsprechermanagementsystem,af682609-e64c-462b-a3a2-411805d0b948,Stromversorgungseinheit
Infotainmentsystem,Audiosystem,Lautsprechermanagementsystem,0fd62220-d53a-4363-a1ad-38146c14ef55,EMV-Filter
Infotainmentsystem,Audiosystem,Lautsprechermanagementsystem,d2269e15-cdce-4a23-9d03-cecfe3501a2a,Audio-Kabelbaum
Infotainmentsystem,Audiosystem,Lautsprechermanagementsystem,a2c36bc8-6a05-45b2-aa40-2feddc537013,Steckverbinder
Infotainmentsystem,Audiosystem,Lautsprechermanagementsystem,f0127387-74db-475a-a5bf-0f9bea465df4,Schalldämmmaterial
Infotainmentsystem,Audiosystem,Lautsprechermanagementsystem,af6b3e4f-507f-467d-beda-b0af2d74a9d2,Chassis-Montagehalterung
Infotainmentsystem,Audiosystem,Lautsprechermanagementsystem,e9561e4b-8959-4481-ad4a-8e04621aa82a,Temperatursensor
Infotainmentsystem,Audiosystem,Lautsprechermanagementsystem,3ad1cccc-e721-4977-b8c8-0a337098bf44,Feuchtigkeitssensor
Infotainmentsystem,Audiosystem,Lautsprechermanagementsystem,c0bdb843-e1ce-40c3-bc5a-0f0c2a0747c7,Schwingungsdämpfer
Infotainmentsystem,Audiosystem,Lautsprechermanagementsystem,56fe315d-f1c4-4ae4-8349-0b220ad2b519,Magnetspule
Infotainmentsystem,Audiosystem,Lautsprechermanagementsystem,90173aad-4377-41a9-ae2e-5a27968ffd5c,Schwingspule
Infotainmentsystem,Audiosystem,Lautsprechermanagementsystem,5e9c8966-9751-436d-91f7-0cfaefb40dd5,Membran
Infotainmentsystem,Audiosystem,Lautsprechermanagementsystem,1851b11b-0b21-4611-b0d3-bf29a9b9894c,Staubschutzkappe
Infotainmentsystem,Audiosystem,Lautsprechermanagementsystem,de403f88-cbb4-4c24-9ee9-743c07a9add7,Schallführung
Infotainmentsystem,Audiosystem,Lautsprechermanagementsystem,a05edac9-7421-487b-b55d-546eeeffafad,Akustikgehäuse
Infotainmentsystem,Audiosystem,Lautsprechermanagementsystem,63ca89ec-cef9-4c77-8c46-68facc136341,Schutzgitter
Infotainmentsystem,Audiosystem,Lautsprechermanagementsystem,ef54b060-3393-4a0a-8348-8f26b3f3612e,Montageklammern
Infotainmentsystem,Audiosystem,Lautsprechermanagementsystem,ba60b315-7399-40ee-b111-fe62f324032a,Isolationsmaterial
Infotainmentsystem,Audiosystem,Lautsprechermanagementsystem,5d7dcf65-e232-4cc4-ab62-12b941a1bec7,Leiterplatte
Infotainmentsystem,Audiosystem,Lautsprechermanagementsystem,a3e82244-b06e-4a73-a06f-eefbd628dca3,Schrauben
