Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Fahrsystem,Antriebssystem,Leistungsverteilungssystem,8ac3547c-56b5-4d2c-9847-d6f6b26abc74,Steuergerät
Fahrsystem,Antriebssystem,Leistungsverteilungssystem,9f3e4efa-34ef-41c7-8de4-83dac790f0c1,Leistungsschalter
Fahrsystem,Antriebssystem,Leistungsverteilungssystem,06e1bda3-edb3-49cc-ac52-1c672e9decad,Relais
Fahrsystem,Antriebssystem,Leistungsverteilungssystem,71e9666b-80f9-4ee7-ba7b-602f42f6f400,Spannungswandler
Fahrsystem,Antriebssystem,Leistungsverteilungssystem,290ca8e4-07d2-4621-8721-8d066a31c5be,Leistungstransistor
Fahrsystem,Antriebssystem,Leistungsverteilungssystem,2639e519-a2bf-4266-9b60-f01006c966fa,Kabelbaum
Fahrsystem,Antriebssystem,Leistungsverteilungssystem,4af84ab7-a115-48af-81a7-18a0c32cb7b6,Steckverbinder
Fahrsystem,Antriebssystem,Leistungsverteilungssystem,e6ce82a9-1b9b-4c7b-bdc8-1fddbf68e29e,Sicherung
Fahrsystem,Antriebssystem,Leistungsverteilungssystem,6a487458-1c48-47c2-bca9-67cd33b0205c,Transformator
Fahrsystem,Antriebssystem,Leistungsverteilungssystem,8fcb2908-fcbd-4942-a95d-13abf893d2e2,Induktivität
Fahrsystem,Antriebssystem,Leistungsverteilungssystem,237e7a93-8787-41b5-9c4f-01e3259661cc,Leistungsdioden
Fahrsystem,Antriebssystem,Leistungsverteilungssystem,b909faba-118e-495a-8f29-524158445a94,Leistungswiderstände
Fahrsystem,Antriebssystem,Leistungsverteilungssystem,8482127c-d229-4096-a414-1f3a6e3d3b5e,Stromsensor
Fahrsystem,Antriebssystem,Leistungsverteilungssystem,26d4dd9b-b0d5-4695-8763-a1da3dbcb081,Temperatursensor
Fahrsystem,Antriebssystem,Leistungsverteilungssystem,a3366b15-9457-4136-ba2e-f38ee49ae886,Spannungssensor
Fahrsystem,Antriebssystem,Leistungsverteilungssystem,db6f8f84-0e69-496a-8c65-b1fec29b55b7,Leistungsverteilerplatine
Fahrsystem,Antriebssystem,Leistungsverteilungssystem,4ef59c8b-78cc-4ad3-ab78-323af3ea8c44,Leistungsmodul
Fahrsystem,Antriebssystem,Leistungsverteilungssystem,d2fdf049-5c13-4df7-b08c-4c8ad03cdf4e,Leistungsanschluss
Fahrsystem,Antriebssystem,Leistungsverteilungssystem,9f1ebf6d-48a8-43bb-9222-34caef33e4c6,Leistungsüberwachungseinheit
Fahrsystem,Antriebssystem,Leistungsverteilungssystem,10417cb1-46f1-4121-ba59-7e378c424df2,Leistungsfilter
Fahrsystem,Antriebssystem,Leistungsverteilungssystem,2716747a-9862-41b9-9a52-4f2143bee757,Leistungsregler
Fahrsystem,Antriebssystem,Leistungsverteilungssystem,69a14e17-b3ae-4474-9d69-0fbcd052d9c4,Leistungsverteilergehäuse
Fahrsystem,Antriebssystem,Leistungsverteilungssystem,ce22e14e-b0d7-4cdf-9f20-576b1d24bfa6,Leistungsverteilerkühlkörper
Fahrsystem,Antriebssystem,Leistungsverteilungssystem,5d03d085-6b51-4d6e-8b38-c6a5d9f58f20,Leistungsverteilerhalterung
Fahrsystem,Antriebssystem,Leistungsverteilungssystem,3031af90-3c90-473b-9f8a-be1a528fbaa7,Leistungsverteilerisolator
Fahrsystem,Antriebssystem,Leistungsverteilungssystem,30faf13d-bed2-4433-ae63-df86c8010fbb,Leistungsverteilerklemme
Fahrsystem,Antriebssystem,Leistungsverteilungssystem,243917c1-9b9d-4646-81ff-e6d0b80e65b6,Leistungsverteilerabdeckung
Fahrsystem,Antriebssystem,Leistungsverteilungssystem,5fdb0dc8-f18b-46de-ac7a-43fd620bcfda,Leistungsverteileradapter
Fahrsystem,Antriebssystem,Leistungsverteilungssystem,9612fe2b-e838-46c0-bece-76f151f21de3,Leistungsverteilerinterface
Fahrsystem,Antriebssystem,Leistungsverteilungssystem,a7dc445d-1fa5-40fc-b21b-51ca874d5253,Leistungsverteileranschluss
Fahrsystem,Antriebssystem,Leistungsverteilungssystem,ccff5b04-e5b4-41f4-9e29-a33726ca6ec7,Leistungsmanagementsoftware
Fahrsystem,Antriebssystem,Leistungsverteilungssystem,cffaf1dd-8ebd-46cc-ba8c-e2261c434571,Leistungssteuerungssoftware
Fahrsystem,Antriebssystem,Leistungsverteilungssystem,2e77a3ae-f1f0-41b8-832f-ae26eccb5f1c,Leistungsüberwachungssoftware
Fahrsystem,Antriebssystem,Leistungsverteilungssystem,c37b45c8-ad6b-42ed-8bd3-4714ef705621,Leistungsoptimierungssoftware
Fahrsystem,Antriebssystem,Leistungsverteilungssystem,0846027e-4219-4f8a-8722-1a754a9d01f8,Leistungsdiagnosesoftware
Fahrsystem,Antriebssystem,Leistungsverteilungssystem,4ea82039-bbd3-468d-9123-147990381ee9,Leistungsregelungssoftware
Fahrsystem,Antriebssystem,Leistungsverteilungssystem,a83f61f9-4205-4214-97ad-050e91c756c8,Leistungsverteiler-Firmware
Fahrsystem,Antriebssystem,Leistungsverteilungssystem,25b2bc4d-68dc-4643-ae5a-c89721adfa20,Leistungsverteiler-Update-Software
Fahrsystem,Antriebssystem,Leistungsverteilungssystem,0b595e43-cbcd-44af-ae96-813f794895e9,Leistungsverteiler-Kommunikationssoftware
