Ebene-1,Ebene-2,Ebene-3,SNS_number,Komponente
Fahrsystem,Lenkungssystem,Lenkassistenzsystem,b0c9ced2-94fa-4641-926c-7a42c102525d,Sensor für Lenkwinkel
Fahrsystem,Lenkungssystem,Lenkassistenzsystem,ec19d574-a4b8-440c-b144-b2b3af5f22b7,Sensor für Lenkmoment
Fahrsystem,Lenkungssystem,Lenkassistenzsystem,dc2e0a61-a5aa-4c39-861b-fea7e5d10751,Sensor für Fahrzeuggeschwindigkeit
Fahrsystem,Lenkungssystem,Lenkassistenzsystem,ed82067f-42d6-477b-911b-5679bc743011,Sensor für Querbeschleunigung
Fahrsystem,Lenkungssystem,Lenkassistenzsystem,98820f03-a792-4d2e-b734-e4657ac57c66,Sensor für Längsbeschleunigung
Fahrsystem,Lenkungssystem,Lenkassistenzsystem,2363e30c-a50f-4afa-ada3-a7ef80c159ec,Sensor für Radgeschwindigkeit
Fahrsystem,Lenkungssystem,Lenkassistenzsystem,e7756505-b76b-4282-9ab7-5745ba3832b2,Sensor für Lenkradposition
Fahrsystem,Lenkungssystem,Lenkassistenzsystem,7316e60d-d8cc-4526-9b69-2de43db5e586,Sensor für Lenkradkraft
Fahrsystem,Lenkungssystem,Lenkassistenzsystem,4579510a-ac0f-467e-9197-af0e4c40c3b6,Sensor für Fahrzeugneigung
Fahrsystem,Lenkungssystem,Lenkassistenzsystem,6c25cb0b-a5b8-44c5-b863-9201c4d1d431,Sensor für Fahrzeugyaw
Fahrsystem,Lenkungssystem,Lenkassistenzsystem,b7d635d8-64e2-4e8c-829f-1cdd4bdea589,Sensor für Reifendruck
Fahrsystem,Lenkungssystem,Lenkassistenzsystem,53b367ab-0e41-43c4-8995-68093afce6ae,Sensor für Straßenoberfläche
Fahrsystem,Lenkungssystem,Lenkassistenzsystem,6c8c7e00-d60f-407b-a157-1f99ddb6a0c6,Sensor für Fahrzeuglast
Fahrsystem,Lenkungssystem,Lenkassistenzsystem,462ff6c1-9851-4b26-8f29-0beb1add039e,Sensor für Lenksäulenposition
Fahrsystem,Lenkungssystem,Lenkassistenzsystem,a71ffb7f-f4f8-4618-bf12-4afe04ce63e6,Sensor für Lenksäulenmoment
Fahrsystem,Lenkungssystem,Lenkassistenzsystem,37fc6995-7278-4e07-8eb8-9f06b30a3994,Sensor für Lenksäulenwinkel
Fahrsystem,Lenkungssystem,Lenkassistenzsystem,4d685bc2-de52-44e6-9968-45b245a89ffb,Sensor für Lenksäulenbewegung
Fahrsystem,Lenkungssystem,Lenkassistenzsystem,8f4587b5-741e-4429-b7bd-32a62f7180f9,Sensor für Lenksäulenstabilität
Fahrsystem,Lenkungssystem,Lenkassistenzsystem,58329daf-aefd-4b46-971e-ce0c78140f7e,Sensor für Lenksäulenvibration
Fahrsystem,Lenkungssystem,Lenkassistenzsystem,a9dbc720-0ba5-4bb0-a59f-e75ff944bce0,Sensor für Lenksäulensteifigkeit
Fahrsystem,Lenkungssystem,Lenkassistenzsystem,f07f3b36-7cc6-4394-845f-c43f2038ec51,Sensor für Lenksäulenreibung
Fahrsystem,Lenkungssystem,Lenkassistenzsystem,3c5aa92a-b6e8-4d23-8df0-0113f4ba74ba,Sensor für Lenksäulenverformung
Fahrsystem,Lenkungssystem,Lenkassistenzsystem,217649e9-02be-4a4f-9325-abce8cedad6d,Sensor für Lenksäulenverschleiß
Fahrsystem,Lenkungssystem,Lenkassistenzsystem,feafc9db-7382-4864-aed8-567b15101e5c,Sensor für Lenksäulenmaterial
Fahrsystem,Lenkungssystem,Lenkassistenzsystem,9136efe1-f9d4-488f-9150-e89888b2a328,Sensor für Lenksäulenstruktur
Fahrsystem,Lenkungssystem,Lenkassistenzsystem,1e62b6c2-fd3f-47b0-9536-7b501ba10348,Sensor für Lenksäulenverbindung
Fahrsystem,Lenkungssystem,Lenkassistenzsystem,596a9444-9379-45e7-b67a-5b726d3feb8e,Sensor für Lenksäulenmontage
Fahrsystem,Lenkungssystem,Lenkassistenzsystem,871adc8b-bada-4efc-84ed-7b1766309b23,Sensor für Lenksäulenwartung
Fahrsystem,Lenkungssystem,Lenkassistenzsystem,a056bd7f-c0aa-489a-b315-d3a999209c05,Sensor für Lenksäulenprüfung
Fahrsystem,Lenkungssystem,Lenkassistenzsystem,9ac03fb8-bd00-43e2-8013-897e7c519e71,Sensor für Lenksäulenüberwachung
Fahrsystem,Lenkungssystem,Lenkassistenzsystem,96c08856-80a1-46a6-bd24-516c73f84480,Lenkassistenzsteuerungssoftware
Fahrsystem,Lenkungssystem,Lenkassistenzsystem,17703fbf-e0a2-4b02-a915-a106e0509b99,Lenkwinkelregelungssoftware
Fahrsystem,Lenkungssystem,Lenkassistenzsystem,38ff9ce7-ed42-4e44-ac1f-f64d63481fdc,Lenkmomentregelungssoftware
Fahrsystem,Lenkungssystem,Lenkassistenzsystem,4482a08b-3ac1-46b5-9f21-effc047ba727,Fahrzeuggeschwindigkeitsregelungssoftware
Fahrsystem,Lenkungssystem,Lenkassistenzsystem,662bdf98-4c35-4e2b-851c-e1705a329949,Querbeschleunigungsregelungssoftware
Fahrsystem,Lenkungssystem,Lenkassistenzsystem,c4ca5cc2-9c3f-4cf3-a30a-40e1aa2d6eae,Längsbeschleunigungsregelungssoftware
Fahrsystem,Lenkungssystem,Lenkassistenzsystem,a65ba889-80e9-47b4-90d3-5b8a38c496dc,Radgeschwindigkeitsregelungssoftware
